line_name,2019/5/1,2019/5/2,2019/5/3,2019/5/4,2019/5/5,2019/5/6,2019/5/7,2019/5/8,2019/5/9,2019/5/10,2019/5/12,2019/5/13,2019/5/14,2019/5/15,2019/5/16,2019/5/17,2019/5/18,2019/5/19,2019/5/20,2019/5/21,2019/5/22,2019/5/23,2019/5/24,2019/5/25,2019/5/26,2019/5/27,2019/5/28,2019/5/29,2019/5/30,2019/5/31
LINE 1,90.21,85.74,76.35,67.79,103.32,110.05,113.24,113.36,111.1,117.91,65.25,112.91,114.51,113.52,114.03,117.93,76.47,70.54,114.25,116.06,113.75,112.11,116.28,77.19,59.61,111.42,113.19,111.45,110.38,113.77
LINE 2,74.51,69.2,64.85,62.37,92.89,97.91,98.59,97.52,96.05,104.54,57.37,98.37,97.46,97.6,98.62,105.83,61.71,59.92,99.42,98.72,98.38,97.7,103.88,61.69,52,97.66,96.38,96.48,95.79,100.55
LINE 5,76.26,71.87,66.74,63.89,98.92,106.53,108.4,107.96,106.61,112.22,61.96,110.79,110.76,110.87,109.67,112.85,69.67,64.47,109.33,109.38,108.6,108.14,111.35,71.32,55.51,107.94,108.06,107.03,106.13,108.71
LINE 6,80.5,78.66,71.39,63.85,100.37,109.24,111.27,110.66,109.08,115.62,62.25,111.39,111.94,110.83,111.79,116.16,70.58,65.11,113.04,112.66,112.02,110.54,114.96,72.96,55.46,111.38,111.37,111.15,109.98,113.7
LINE 7,45.62,41.78,39.55,40.24,50.25,52.32,52.45,52.36,51.11,55.21,34.58,52.83,52.15,52.08,53.36,56.16,37.75,35.82,53.66,53.11,52.57,52.58,55.34,38.36,31.85,52.78,51.86,51.67,51.35,54.01
LINE 8,50.6,52.4,44.31,34.17,46.57,49.56,50.9,51.16,50.08,54.02,30.44,45.39,45.12,44.08,51.09,54.01,37.38,33.55,50.89,52.28,52.47,51.76,54.06,39.29,28.51,51.3,51.32,51.55,51.21,53.07
LINE 9,51.64,44.34,42.44,45.58,59.74,60.24,59,58.39,57.58,63.16,37.21,60.22,58.83,57.8,58.84,63.6,39.81,39.2,61.3,59.53,58.59,58.48,63.51,41.09,36.03,60.27,58.6,58.28,57.98,61.76
LINE 10,114.64,109.32,101.03,96.72,166.45,181.19,183.74,183.64,180.81,191.91,97.96,184.23,183.16,183,184.43,190.25,113.12,101.75,186.07,185.63,184.1,182.59,189.14,117.05,88.76,183.57,183.67,183.32,182.2,186.61
LINE 13,48.65,44.1,41.48,42.94,73.22,76.32,76.3,76.76,75.24,80.57,39.94,78.75,78.24,78.05,76.53,80.2,46.89,42.89,77.48,76.65,76.48,75.99,80.22,48.29,36.95,76.46,76.05,76.05,75.53,78.87
LINE 15,28.8,27.58,25.53,24.87,41.77,45.69,46.19,45.33,43.82,47.11,25.38,43.4,42.03,43.28,45.8,47.7,27.84,25.52,45.59,45.46,46.34,46.16,48.03,28.97,21.89,45.37,45.02,45.35,45.3,46.75
BATONG LINE,20.27,18.59,17.36,17.74,28.6,30.99,31.12,31.22,30.5,32.07,16.5,31.27,31.1,30.65,30.94,31.81,19.05,17.47,31.5,31.45,31.08,30.55,31.51,19.96,15.17,31.17,30.94,30.62,30.35,31.07
CHANGPING LINE,21.14,19.32,17.52,18.06,27.31,27.66,27.69,28.03,27.29,29.29,16.17,27.82,27.67,27.69,27.86,29.21,19.33,17.72,28.01,27.93,27.95,27.38,29.21,20.24,15.43,27.94,27.69,27.82,27.56,29.03
FANGSHAN LINE,14.83,13.73,12.36,12.4,17.83,18.36,18.28,18.19,17.91,19.35,10.93,18.62,18.17,17.93,18.1,19.43,11.73,11.51,18.92,18.5,18.3,18.13,19.57,13.57,11.59,18.97,18.37,18.35,18.23,19.28
AIRPORT EXPRESS,4.94,4.2,4.03,4.05,3.85,3.43,3.2,3.31,3.12,3.58,2.89,3.05,2.92,3.28,3.27,3.63,3.18,2.86,3.3,3.14,3.15,3.28,3.65,2.91,2.59,3.32,3,3.2,3.26,3.6
YIZHUANG LINE,16.64,14.91,14.05,14.81,22.66,24.04,23.86,23.73,23.3,24.71,14.5,23.82,23.5,23.44,23.67,24.36,15.43,14.31,24.31,23.89,23.42,23.44,24.62,15.98,12.54,24.11,23.6,23.58,23.27,23.88
LINE S1,2.08,1.99,1.8,1.73,2.6,2.79,2.82,2.79,2.75,2.86,1.72,2.88,2.84,2.84,2.86,2.95,1.88,1.85,3.02,3.02,2.96,2.91,2.99,2.07,1.63,3.08,3.02,3.02,3.01,3.04
