,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,8420.41210558
2,1,3,9833.21312398
3,1,4,12177.97933369
4,1,5,1412.85701358
5,1,6,1775.75794547
6,1,7,6502.55724916
7,1,8,14766.94000046
8,1,9,7931.94660676
9,1,10,5444.38739326
10,1,11,11380.25387639
11,1,12,2420.16513618
12,1,13,13256.75348705
13,1,14,14041.53669232
14,1,15,20661.07565406
15,1,16,8146.3677398
16,1,17,6354.01196387
17,1,18,3142.46798059
18,1,19,13115.78090435
19,1,20,9003.07242004
20,1,21,10946.70910231
21,1,22,7407.26243449
22,1,23,13894.10639759
23,1,24,4676.68849035
24,1,25,4120.93825577
25,1,26,9546.1947869
26,1,27,11818.58931083
27,1,28,10549.11941364
28,1,29,13374.40389111
29,1,30,15739.35467591
30,1,31,13201.74189171
31,1,32,11192.38570861
32,1,33,17023.71030906
33,1,34,18289.71518185
34,1,35,11724.13633126
35,1,36,9481.492296
36,1,37,19887.89588956
37,1,38,11253.96483228
38,1,39,23370.68084623
39,1,40,12377.02997746
40,1,41,11392.99655276
41,1,42,13822.79094375
42,1,43,12085.58529298
43,1,44,11275.6294205
44,1,45,9929.29850615
45,1,46,10094.90187409
46,1,47,24378.44518221
47,1,48,10531.3713203
48,1,49,28836.35661922
49,1,50,26381.55869011
50,1,51,24580.50552099
51,1,52,29882.17777607
52,1,53,31124.05596393
53,1,54,23946.91434791
54,1,55,22717.65688642
55,1,56,17051.09026355
56,1,57,13295.50569469
57,1,58,23273.48701891
58,1,59,10682.09915413
59,1,60,13384.30845071
60,1,61,24897.48801965
61,1,62,11972.96339376
62,1,63,21786.20874693
63,1,64,13161.02537489
64,1,65,17769.68338911
65,1,66,10279.54066661
66,1,67,17771.06081881
67,1,68,25184.25871603
68,1,69,13798.96891858
69,1,70,14057.16028536
70,1,71,8436.07506412
71,1,72,11597.03949794
72,1,73,16728.74234075
73,1,74,20792.95292943
74,1,75,15506.23683141
75,1,76,9431.95236317
76,1,77,7588.97468015
77,1,78,19296.51780089
78,1,79,16113.11117439
79,1,80,14974.76922738
80,1,81,18267.87278491
81,1,82,18909.38870402
82,1,83,20205.65959687
83,1,84,16447.14406219
84,1,85,9451.63179623
85,1,86,7976.46380827
86,1,87,8952.23760185
87,1,88,23542.75153977
88,1,89,10444.98812766
89,1,90,15145.30579272
90,1,91,35650.31477387
91,1,92,35317.64060182
92,1,93,20944.55082
93,1,94,35280.36848467
94,1,95,19246.97439685
95,1,96,16126.33700916
96,1,97,38077.04993129
97,1,98,28640.78655765
98,1,99,39703.71788872
99,1,100,34866.25108519
100,1,101,42165.81061903
101,1,102,21990.47410237
102,1,103,32364.49359693
103,1,104,37290.34907147
104,1,105,31039.40681965
105,1,106,26402.91109176
106,1,107,43460.106451
107,1,108,17613.0668551
108,1,109,36811.29944432
109,1,110,12700.16368131
110,1,111,13870.64814594
111,1,112,10684.48662932
112,1,113,8492.10647282
113,1,114,12116.17647019
114,1,115,14407.70102034
115,1,116,8443.43882172
116,1,117,12878.77013346
117,1,118,17758.28304189
118,1,119,10578.9874566
119,1,120,20068.41662143
120,1,121,7746.48657387
121,1,122,16258.35205984
122,1,123,7986.40319796
123,1,124,9895.60076726
124,1,125,10624.35670185
125,1,126,6930.39948134
126,1,127,12042.26362485
127,1,128,9760.21476285
128,1,129,14807.5995148
129,1,130,8469.88385975
130,1,131,13470.89133171
131,1,132,5350.00473862
132,1,133,5283.22308926
133,1,134,5411.0497705
134,1,135,28903.24498703
135,1,136,10815.98570653
136,1,137,30303.48515124
137,1,138,23905.34109808
138,1,139,26192.19477675
139,1,140,27792.45857597
140,1,141,21827.50792094
141,1,142,12817.69339699
142,1,143,17227.83186438
143,1,144,14960.32039103
144,1,145,9691.11510993
145,1,146,18202.79465753
146,1,147,19776.35678637
147,1,148,22518.35274079
148,1,149,5444.8828344
149,1,150,24092.41146218
150,1,151,13065.20905592
151,1,152,9128.71655146
152,1,153,16844.24066008
153,1,154,6694.34570177
154,1,155,22315.2823145
155,1,156,16926.83000174
156,1,157,25225.39795532
157,1,158,26168.59488923
158,1,159,21709.34500337
159,1,160,22338.42606467
160,1,161,11037.56934332
161,1,162,6126.77717627
162,1,163,22476.56800175
163,1,164,8081.5015539
164,1,165,6080.94236449
165,1,166,15406.01461306
166,1,167,12488.13086587
167,1,168,11882.48873463
168,1,169,10373.39636629
169,1,170,15267.46684218
170,1,171,11730.98655778
171,1,172,12367.74471264
172,1,173,5487.45474921
173,1,174,18517.71341497
174,1,175,18907.64734176
175,1,176,18812.24327581
176,1,177,6396.74951253
177,1,178,15258.63853455
178,1,179,5556.52757426
179,1,180,4428.09100029
180,1,181,8154.53693973
181,1,182,7971.88278428
182,1,183,8439.53643188
183,1,184,7174.72444022
184,1,185,15810.69556215
185,1,186,17370.14653491
186,1,187,10503.8948349
187,1,188,12678.12257172
188,1,189,23057.17445241
189,1,190,10398.88292968
190,1,191,14711.84408024
191,1,192,24353.73749671
192,1,193,19418.77620685
193,1,194,20685.40136457
194,1,195,20128.02956138
195,1,196,18902.89563116
196,1,197,21570.74435643
197,1,198,20295.03810766
198,1,199,3710.77795027
199,1,200,9218.7998638
200,1,201,7211.77404556
201,1,202,3233.80392098
202,1,203,6445.16141096
203,1,204,2982.53544462
204,1,205,11242.59250716
205,1,206,15249.18820031
206,1,207,7900.79221543
207,1,208,4327.74791704
208,1,209,15337.92662331
209,1,210,8463.8811549
210,1,211,15111.63454831
211,1,212,12629.84485599
212,1,213,9565.98798528
