,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,19869.2846911
2,1,3,11884.37513606
3,1,4,984.11447178
4,1,5,18663.52096799
5,1,6,13755.79230948
6,1,7,15525.30443365
7,1,8,2285.99178116
8,1,9,5924.05953142
9,1,10,3154.34283935
10,1,11,16991.49188261
11,1,12,9262.5482738
12,1,13,11196.33212747
13,1,14,4578.20175426
14,1,15,7860.89240373
15,1,16,1828.53674026
16,1,17,14526.74984907
17,1,18,12441.87189519
18,1,19,10124.50885521
19,1,20,8591.73653765
20,1,21,14153.52774925
21,1,22,12239.1210008
22,1,23,15337.54163129
23,1,24,15682.29860279
24,1,25,9628.15278663
25,1,26,15382.84280209
26,1,27,15545.30804945
27,1,28,12763.36003996
28,1,29,12621.34117248
29,1,30,12448.05722068
30,1,31,12433.45413831
31,1,32,12484.28127947
32,1,33,14915.36227596
33,1,34,12431.20778956
34,1,35,10902.22871913
35,1,36,15310.97110317
36,1,37,12514.49728283
37,1,38,11859.20892094
38,1,39,9901.30765757
39,1,40,13283.9773907
40,1,41,10264.98048829
41,1,42,12706.31621443
42,1,43,9647.89047338
43,1,44,21240.86245915
44,1,45,22278.58227402
45,1,46,6700.38938762
46,1,47,6081.6359622
47,1,48,16469.27047678
48,1,49,11572.9770415
49,1,50,10353.24082332
50,1,51,9805.18444127
51,1,52,19372.28364219
52,1,53,17300.16439876
53,1,54,15728.49702788
54,1,55,9408.96579491
55,1,56,21628.15817216
56,1,57,20440.74507961
57,1,58,17990.51440451
58,1,59,23026.30917636
59,1,60,8303.47055078
60,1,61,6481.13117705
61,1,62,10862.80896288
62,1,63,14039.54169447
63,1,64,10086.11869033
64,1,65,18361.72767057
65,1,66,12125.99993583
66,1,67,8747.96383358
67,1,68,20940.67559895
68,1,69,11605.67641493
69,1,70,12123.63295902
70,1,71,22725.31906089
71,1,72,15657.65597689
72,1,73,8847.24967535
73,1,74,9297.86820226
74,1,75,19149.0290043
75,1,76,10339.39821466
76,1,77,24378.20014369
77,1,78,17972.26407823
78,1,79,16782.93498431
79,1,80,8711.61985847
80,1,81,10162.02496353
81,1,82,23463.83971961
82,1,83,14136.05192923
83,1,84,9113.03720096
84,1,85,11974.16050086
85,1,86,11127.53836237
86,1,87,10138.63584252
87,1,88,16389.49037182
88,1,89,13599.58421084
89,1,90,8377.23354332
90,1,91,19426.91454084
91,1,92,14514.36455645
92,1,93,7067.01280495
93,1,94,17250.24633587
94,1,95,23025.66036364
95,1,96,4826.69167932
96,1,97,6137.48613727
97,1,98,7555.28149019
98,1,99,21079.67886254
99,1,100,16566.6658266
100,1,101,25546.60246082
101,1,102,10543.38001881
102,2,1,19869.2846911
