,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,15549.01804571
2,1,3,14167.41809503
3,1,4,7177.77529794
4,1,5,12860.8240572
5,1,6,8462.92364923
6,1,7,7679.00779815
7,1,8,12098.26821071
8,1,9,13257.7477129
9,1,10,2434.68293473
10,1,11,1131.11830745
11,1,12,1199.34437694
12,1,13,3811.5583675
13,1,14,14401.75935537
14,1,15,11335.4056126
15,1,16,4913.0711601
16,1,17,16698.7608763
17,1,18,9281.6939394
18,1,19,3543.99521724
19,1,20,2416.38914788
20,1,21,10082.09069084
21,1,22,18518.13423274
22,1,23,10203.46364356
23,1,24,6238.36543554
24,1,25,10419.31880235
25,1,26,9264.38982499
26,1,27,9637.6310283
27,1,28,9300.29829233
28,1,29,10095.72387746
29,1,30,9807.798981
30,1,31,10175.24587383
31,1,32,11434.01544582
32,1,33,9324.0299707
33,1,34,10029.38784579
34,1,35,13849.81898243
35,1,36,10036.54691107
36,1,37,12645.80865066
37,1,38,9568.86284713
38,1,39,7002.91026637
39,1,40,7156.84202084
40,1,41,5897.67251056
41,1,42,14971.66569548
42,1,43,17343.14284977
43,1,44,18925.28601648
44,1,45,16902.4762203
45,1,46,16557.88408834
46,1,47,16902.31354274
47,1,48,17313.12208426
48,1,49,21214.34985773
49,1,50,2644.23996969
50,1,51,19835.92943668
51,1,52,25710.76411569
52,1,53,5022.30826998
53,1,54,9384.50944945
54,1,55,11359.35143862
55,1,56,28375.13842022
56,1,57,3860.84635172
57,1,58,37606.57375808
58,1,59,14651.60243332
59,1,60,8122.66726513
60,1,61,28954.60224399
61,1,62,24232.17697828
62,1,63,33766.8793996
63,1,64,41763.55351569
64,1,65,43934.80183505
65,1,66,18410.30416827
66,1,67,20021.27850499
67,1,68,24222.48532791
68,1,69,41548.48225356
69,1,70,46474.01320206
70,1,71,45309.8979158
71,1,72,54037.8836049
72,1,73,56066.18929517
73,1,74,55400.52982787
74,1,75,26270.84503383
75,1,76,33988.54674062
76,1,77,49922.18620865
77,1,78,52319.29300865
78,2,1,15549.01804571
79,2,2,0.0
80,2,3,2227.10577492
81,2,4,8768.25206026
82,2,5,4644.2446069
83,2,6,8171.0716838
84,2,7,8601.6484423
85,2,8,5243.88616811
86,2,9,3581.70210253
87,2,10,17634.61962355
88,2,11,16609.35734844
89,2,12,14410.55179415
90,2,13,18882.347018
91,2,14,1323.5572032
92,2,15,5634.91137297
93,2,16,10754.3966853
94,2,17,1190.19342965
95,2,18,7316.08400321
96,2,19,12024.35583296
97,2,20,13156.78865636
98,2,21,6646.16080716
99,2,22,3108.67581789
100,2,23,9217.69441972
101,2,24,9914.12874418
102,2,25,12795.60047446
103,2,26,6502.73070123
104,2,27,7542.60501802
105,2,28,6796.10284193
106,2,29,11296.68267206
107,2,30,6085.59468294
108,2,31,8213.71727515
109,2,32,13800.42787773
110,2,33,6225.58606691
111,2,34,10731.91492978
112,2,35,15549.62001984
113,2,36,10131.77732355
114,2,37,14706.92745904
115,2,38,6073.05172043
116,2,39,11764.00896189
117,2,40,8963.15514955
