,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,2468.10949973
2,1,3,20193.25508555
3,1,4,19202.89975938
4,1,5,13151.13096518
5,1,6,21821.76218772
6,1,7,22288.99247012
7,1,8,19271.29911296
8,1,9,18060.4574514
9,1,10,13938.56202993
10,1,11,16412.2457374
11,1,12,13063.52218447
12,1,13,13738.00016738
13,1,14,15169.03818954
14,1,15,14154.30089308
15,1,16,11076.40224874
16,1,17,11845.10211481
17,1,18,7964.92469976
18,1,19,12065.34266035
19,1,20,12168.9912669
20,1,21,11291.34754735
21,1,22,9137.45453579
22,1,23,13854.61709366
23,1,24,11512.48482309
24,1,25,9425.8492775
25,1,26,15556.747178
26,1,27,17962.2292263
27,1,28,20514.42575076
28,1,29,20560.47477781
29,1,30,15632.08784449
30,1,31,19354.46550326
31,1,32,18650.79117016
32,1,33,10569.54217223
33,1,34,14834.32501995
34,1,35,9954.23202199
35,1,36,16234.44132326
36,1,37,17255.0243187
37,1,38,12331.42766319
38,1,39,12876.78479139
39,1,40,17018.81871208
40,1,41,15617.41729596
41,1,42,18698.67784231
42,1,43,14886.99422668
43,1,44,17434.66248513
44,1,45,19334.26766259
45,1,46,14913.22093337
46,1,47,17878.44871335
47,1,48,21470.87737
48,1,49,19871.61571315
49,1,50,16351.48475617
50,1,51,14160.42902557
51,1,52,12809.4623703
52,1,53,12936.70480662
53,1,54,12736.97929948
54,1,55,11182.14169449
55,1,56,10580.81857233
56,1,57,23175.32793165
57,1,58,22173.95927966
58,1,59,22575.31176703
59,1,60,21934.03485895
60,1,61,14674.39717432
61,1,62,13370.72632032
62,1,63,15260.19923691
63,1,64,14028.33228396
64,1,65,13386.00482109
65,1,66,13553.33054919
66,1,67,11508.22897199
67,1,68,21812.00117591
68,1,69,15956.5083881
69,1,70,13929.03372752
70,1,71,14808.92611728
71,1,72,24011.61038534
72,1,73,12573.63157054
73,1,74,16865.25503887
74,1,75,12654.81731982
75,1,76,18646.55849311
76,1,77,17946.45849155
77,1,78,22717.50670079
78,1,79,14517.62808115
79,1,80,8895.91493729
80,1,81,15984.39258482
81,1,82,21007.3196472
82,1,83,15229.19812478
83,1,84,14681.44939666
84,1,85,15042.14992049
85,1,86,9853.90412467
86,1,87,10286.13882989
87,1,88,9875.16162598
88,1,89,13236.62021015
89,1,90,11679.10918776
90,1,91,9744.63400426
91,1,92,10349.37721565
92,1,93,10877.44669443
93,1,94,12198.41195743
94,1,95,13095.43982954
95,2,1,2468.10949973
96,2,2,0.0
97,2,3,20731.52678849
98,2,4,18947.05098744
99,2,5,14824.53549323
100,2,6,21028.99584604
101,2,7,21341.40735602
102,2,8,19166.01407999
103,2,9,18756.90402101
104,2,10,16081.41795165
105,2,11,17221.49788152
106,2,12,15249.74570371
107,2,13,15185.06318654
108,2,14,16061.95007789
109,2,15,16059.28739504
110,2,16,10206.78317043
111,2,17,13575.60052556
112,2,18,8542.06983323
113,2,19,13979.73071789
114,2,20,14327.3832298
115,2,21,12883.78931365
116,2,22,10192.86852026
117,2,23,16034.39979358
118,2,24,13669.42751506
119,2,25,11717.08083806
120,2,26,17644.54688105
121,2,27,19984.60499326
122,2,28,22557.10965648
123,2,29,22691.19132266
124,2,30,17664.56420309
125,2,31,21398.21627661
126,2,32,20683.33207515
127,2,33,12770.50581712
128,2,34,16959.80522499
129,2,35,12192.78293207
130,2,36,18230.68386255
131,2,37,19262.72948305
132,2,38,14512.76205336
133,2,39,14397.27483005
134,2,40,18527.05854632
135,2,41,17026.05030606
136,2,42,20462.38056861
137,2,43,16338.03596243
138,2,44,19082.75234048
139,2,45,21139.5527451
140,2,46,16783.85962544
141,2,47,19611.59111392
142,2,48,23285.0199756
143,2,49,21755.52174718
144,2,50,17791.94333165
145,2,51,15993.0530351
146,2,52,14514.02553202
147,2,53,14728.83067995
148,2,54,14368.81186083
149,2,55,9702.96696434
150,2,56,8979.8262238
151,2,57,25049.06478886
152,2,58,23959.62958214
153,2,59,24292.02472158
154,2,60,23591.6637336
155,2,61,17045.36422982
156,2,62,15799.17548874
157,2,63,17610.2806914
158,2,64,16445.03168051
159,2,65,11951.21348345
160,2,66,15558.57038567
161,2,67,9041.92918548
162,2,68,22395.73613614
163,2,69,17505.40438076
164,2,70,14939.09389808
165,2,71,12830.26935782
166,2,72,24572.60967357
167,2,73,14481.90816712
168,2,74,17786.1375798
169,2,75,10227.14555035
170,2,76,19489.18196719
171,2,77,18829.29633391
172,2,78,23259.77857812
173,2,79,12655.42475174
174,2,80,9260.06738536
175,2,81,16894.63592487
176,2,82,21677.36665004
177,2,83,13055.02221961
178,2,84,16415.88328969
179,2,85,16663.58439356
180,2,86,11191.55394038
181,2,87,10798.54361251
182,2,88,10215.58235832
183,2,89,15217.22362618
184,2,90,13123.53550331
185,2,91,10595.34568907
186,2,92,11092.24858804
187,2,93,12267.2846019
188,2,94,13728.39432115
189,2,95,14994.59191662
190,3,1,20193.25508555
191,3,2,20731.52678849
192,3,3,0.0
193,3,4,6517.32747383
194,3,5,10915.28518474
195,3,6,11349.1469472
196,3,7,12839.40751757
197,3,8,5338.58680216
198,3,9,2425.66226547
199,3,10,15164.32629652
200,3,11,4222.09339944
201,3,12,15636.27401268
202,3,13,9185.57652716
203,3,14,5549.61875926
204,3,15,12615.09241909
205,3,16,30935.36344357
206,3,17,11785.59579628
207,3,18,12263.39281608
208,3,19,13033.74713902
209,3,20,15295.77612636
210,3,21,11252.70605476
211,3,22,11272.90607639
212,3,23,15619.40971586
213,3,24,15310.48792437
214,3,25,16900.01596201
215,3,26,14665.76243308
216,3,27,14328.87189657
217,3,28,15504.46281053
218,3,29,16837.46358289
219,3,30,14002.28112324
220,3,31,15059.46323694
221,3,32,14666.02937635
222,3,33,15839.95104285
223,3,34,15040.53224642
224,3,35,16285.04388449
225,3,36,13650.05621897
226,3,37,13969.73366201
227,3,38,15553.63385808
228,3,39,10040.33298471
229,3,40,8702.66142261
230,3,41,8167.42588392
231,3,42,11403.58517342
232,3,43,8727.66700421
233,3,44,10018.18103621
234,3,45,12035.19036644
235,3,46,12233.37413457
236,3,47,10930.50070411
237,3,48,12905.18657106
238,3,49,13149.25708513
239,3,50,8219.29990467
240,3,51,11946.18555999
241,3,52,11252.05074082
242,3,53,11856.28100807
243,3,54,10790.07301338
244,3,55,30201.27074095
245,3,56,29377.4317301
246,3,57,14483.41151856
247,3,58,12873.97776077
248,3,59,12241.19719408
249,3,60,11258.57918605
250,3,61,18909.83160072
