,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,10507.92430916
2,1,3,18909.78148965
3,1,4,10502.44738209
4,1,5,1418.31987163
5,1,6,3959.62118158
6,1,7,3587.52594618
7,1,8,15408.83042657
8,1,9,2333.31221355
9,1,10,18015.20439105
10,1,11,18431.46939171
11,1,12,9330.22012746
12,1,13,8026.10234233
13,1,14,3192.50956995
14,1,15,17647.80722456
15,1,16,19300.79837554
16,1,17,8501.14765159
17,1,18,18335.59792015
18,1,19,7403.45878856
19,1,20,9432.93601817
20,1,21,18914.10994726
21,1,22,17310.26905254
22,1,23,18701.78795142
23,1,24,12279.00848542
24,1,25,13327.60186373
25,1,26,17064.53847167
26,1,27,18097.00551979
27,1,28,17807.06156785
28,1,29,16874.63241891
29,1,30,17005.47132694
30,1,31,11573.47908208
31,1,32,2537.84184512
32,1,33,6841.06023058
33,1,34,22555.54512014
34,1,35,21422.66324876
35,1,36,17353.01676686
36,1,37,28727.05298389
37,1,38,22253.5610872
38,1,39,24749.26194051
39,1,40,20415.02577448
40,1,41,20977.69219982
41,1,42,12078.88065736
42,1,43,17833.71233064
43,1,44,24341.36893687
44,1,45,23368.10166489
45,1,46,12835.12755371
46,1,47,24405.52753059
47,1,48,30036.70788988
48,1,49,15144.12500326
49,1,50,12384.68480533
50,1,51,27037.74359909
51,1,52,16157.24311686
52,1,53,19604.59193797
53,1,54,18480.96980881
54,1,55,25355.23164625
55,1,56,15127.00145111
56,1,57,19528.95990371
57,1,58,19321.79373702
58,1,59,25825.81338062
59,1,60,14465.04515841
60,1,61,16446.67614099
61,1,62,24246.5519639
62,1,63,17017.30368383
63,1,64,12830.54064737
64,1,65,14113.63167227
65,1,66,18518.8452321
66,1,67,12177.96658745
67,1,68,14412.02345013
68,1,69,12666.51634117
69,1,70,12102.19999409
70,1,71,12667.4113581
71,1,72,19338.58585359
72,1,73,15769.96602296
73,1,74,13793.00512783
74,1,75,19391.59465025
75,1,76,13167.9098953
76,1,77,16437.74564979
77,1,78,18250.61848118
78,1,79,21870.02133794
79,1,80,15801.71064567
80,1,81,27120.93521856
81,1,82,14556.34945563
82,1,83,18171.32074056
83,1,84,14214.14315316
84,1,85,24966.84028506
85,1,86,14544.22280924
86,1,87,11804.15502883
87,1,88,13904.19642324
88,1,89,17940.82179471
89,1,90,21072.73395652
90,1,91,12148.14182348
91,1,92,23486.8551548
92,1,93,24473.04347171
93,1,94,12635.55437401
94,1,95,17245.20570223
95,1,96,20514.2512856
96,1,97,25259.84448921
97,1,98,14479.84571861
98,1,99,22387.37928564
99,1,100,16853.46185078
100,1,101,19513.26592387
101,1,102,24608.76247631
102,1,103,15208.26801675
103,1,104,23128.49002943
104,1,105,34067.59794828
105,1,106,21010.86285436
106,1,107,14998.65774511
107,1,108,15690.05561064
108,1,109,16897.74702847
109,1,110,17425.09620676
110,1,111,17411.31172214
111,1,112,19446.85556458
112,1,113,33995.06687428
113,1,114,32106.66164374
114,1,115,16539.09853191
115,1,116,31152.84221671
116,1,117,19431.08428956
117,1,118,26337.70667969
118,1,119,19369.48836219
119,1,120,29343.92121006
120,1,121,16039.86859015
121,1,122,20293.13180505
122,1,123,15916.77531725
123,1,124,33082.1153713
124,1,125,22858.60807189
125,1,126,27177.18031905
126,1,127,17286.25632775
127,1,128,15650.94511413
128,1,129,37222.68083064
129,1,130,16974.13494227
130,1,131,16730.93469178
131,1,132,19530.77418485
132,1,133,18350.01305781
133,1,134,22154.6883654
134,1,135,34870.62861981
135,1,136,48390.48911503
136,1,137,16172.76972234
137,1,138,49474.30382466
138,1,139,13819.4763653
139,1,140,29663.93948226
140,1,141,47495.06265183
141,1,142,18321.29953609
142,1,143,12767.43763927
143,1,144,39583.40242906
144,1,145,12753.48660285
145,1,146,34958.7321621
146,1,147,38104.71616734
147,1,148,21153.47500238
148,1,149,22067.83553707
149,1,150,25832.13215257
150,1,151,32475.3346211
151,1,152,28701.61366234
152,1,153,41489.98928133
153,1,154,46800.18088967
154,1,155,23173.03543891
155,1,156,33416.89066765
156,1,157,12975.41096526
157,1,158,13831.62865119
158,1,159,32279.22854679
159,1,160,33481.18963678
160,1,161,45465.67110803
161,1,162,42862.82330928
162,1,163,31335.69339942
163,1,164,14826.87434068
164,1,165,12632.86474613
165,1,166,12534.31936827
166,1,167,14327.66680303
167,1,168,13211.04709466
168,1,169,14041.47526117
169,1,170,13925.56589121
170,1,171,17351.34629327
171,1,172,12442.14191992
172,1,173,13820.74596087
173,1,174,19637.44278413
174,1,175,13813.47676745
175,1,176,14160.24724795
176,1,177,15157.19721301
177,1,178,12405.08131002
178,1,179,11581.98730679
179,1,180,12570.70541287
180,1,181,15245.29265802
181,1,182,12807.62518042
182,1,183,13748.70616906
183,1,184,15872.01658031
184,1,185,12398.46842857
185,1,186,15311.02675296
186,1,187,7983.50537364
187,1,188,4177.47748404
188,1,189,10405.99987773
189,1,190,18617.55193762
190,1,191,16618.55854057
191,1,192,15132.85411186
192,1,193,5985.65263155
193,1,194,7417.79340582
194,1,195,10465.42819022
195,1,196,11471.51478689
196,1,197,13286.5566026
197,1,198,17671.57314696
198,1,199,11685.50658361
199,1,200,13472.53470131
200,1,201,15166.997002
201,1,202,7574.00727279
202,1,203,8537.249036
203,1,204,16367.80435473
204,1,205,8041.26126507
205,1,206,9470.88854926
206,1,207,22611.11196775
207,1,208,22822.22633047
208,1,209,23966.00731705
209,1,210,22659.02952102
210,1,211,21183.07857127
211,1,212,23452.47116096
212,1,213,21376.61686567
213,1,214,57512.37542775
214,1,215,45871.96091205
215,1,216,50831.48237939
216,1,217,62612.01977691
217,1,218,43837.53070972
218,1,219,55440.121476
219,1,220,64013.64240775
220,1,221,38546.5770877
221,1,222,41079.07232629
222,1,223,37070.17471716
223,1,224,59269.3269374
224,1,225,21557.40166396
225,1,226,29882.48924801
226,1,227,18162.70561297
227,1,228,32400.29539683
228,1,229,37242.65240445
229,1,230,39755.70479902
230,1,231,14864.8232522
231,1,232,41790.50699386
232,1,233,11145.63077642
233,1,234,16238.00866857
234,1,235,24994.34329758
235,2,1,10507.92430916
236,2,2,0.0
237,2,3,26833.1789686
238,2,4,19880.34557209
239,2,5,11695.66379875
240,2,6,6601.90156848
241,2,7,13685.59810454
242,2,8,24233.55336178
243,2,9,12518.44400035
244,2,10,26741.72969078
245,2,11,22836.7929767
246,2,12,18944.33155881
247,2,13,17758.75914558
248,2,14,7500.31334864
249,2,15,22672.14511706
250,2,16,22519.70829079
251,2,17,2009.97078914
252,2,18,26825.24329585
253,2,19,3170.87689114
254,2,20,1249.3435738
255,2,21,26514.70411334
256,2,22,24373.47332849
257,2,23,26893.84947381
258,2,24,21420.14052278
259,2,25,22361.9710222
260,2,26,23803.79685453
261,2,27,22053.3399763
262,2,28,25257.53558058
263,2,29,25737.31111742
264,2,30,22478.10370276
265,2,31,2784.42778322
266,2,32,8510.06961015
267,2,33,16754.76004574
268,2,34,31374.69724161
269,2,35,30258.3219126
270,2,36,19578.04955975
271,2,37,38728.7980682
272,2,38,22711.87751308
273,2,39,34311.17223366
274,2,40,29247.45933639
275,2,41,21826.13828192
276,2,42,17554.84976154
277,2,43,26050.46602383
278,2,44,33329.98020553
279,2,45,32185.76199724
280,2,46,17329.13104255
281,2,47,33787.0541232
282,2,48,40010.37234573
283,2,49,18459.25716135
284,2,50,18491.87815174
285,2,51,36991.84824072
286,2,52,24020.57705429
287,2,53,20920.03477031
288,2,54,20224.72354936
289,2,55,35085.89150751
290,2,56,22905.41948025
291,2,57,28242.01060791
292,2,58,27761.89304018
293,2,59,35649.28572763
294,2,60,22087.66475012
295,2,61,19113.56225742
296,2,62,33458.62932855
297,2,63,25195.81558842
298,2,64,19298.32243689
299,2,65,17928.36787487
300,2,66,27525.9358053
301,2,67,22642.39181438
302,2,68,24609.95749344
303,2,69,23174.41720207
304,2,70,22418.84098528
305,2,71,23138.57312397
306,2,72,28759.36922914
307,2,73,25825.33886325
308,2,74,24077.7539876
309,2,75,28641.52906663
310,2,76,23561.42156513
311,2,77,26218.23889428
312,2,78,27896.34917709
313,2,79,31991.88487617
314,2,80,22796.05855147
315,2,81,36761.38570951
316,2,82,21897.21987628
317,2,83,24703.15439907
318,2,84,22718.78403392
319,2,85,30093.78847447
320,2,86,22608.95457964
321,2,87,21271.09981513
322,2,88,22809.99324718
323,2,89,28154.97665118
324,2,90,27437.31703732
325,2,91,21938.90233266
326,2,92,29173.35647609
327,2,93,34471.1984725
328,2,94,22591.91245678
329,2,95,27168.23622602
330,2,96,30716.15193469
331,2,97,30007.83388793
332,2,98,24381.35996051
333,2,99,28674.44086999
334,2,100,26978.56756825
335,2,101,25953.3831747
336,2,102,30035.79214982
337,2,103,22333.19025534
338,2,104,33214.21426363
339,2,105,42738.31615922
340,2,106,30632.50430813
341,2,107,14276.34290034
342,2,108,16089.66641317
343,2,109,25329.60117613
344,2,110,20964.07742495
345,2,111,25223.30609363
346,2,112,29059.64946719
347,2,113,42805.82018946
348,2,114,41082.02560056
349,2,115,25657.30635685
350,2,116,40176.12054308
351,2,117,23812.40334941
352,2,118,35417.48907041
353,2,119,26222.91083532
354,2,120,38454.90675298
355,2,121,17010.69163525
356,2,122,25048.48588399
357,2,123,18139.80259419
358,2,124,42008.75558486
359,2,125,32131.02861733
360,2,126,36265.85923526
361,2,127,26932.10098698
362,2,128,17544.01163964
363,2,129,45839.93337887
364,2,130,20177.16958156
365,2,131,26215.59529508
366,2,132,24922.35091008
367,2,133,25606.76123381
368,2,134,31574.33013847
369,2,135,43374.05122704
370,2,136,53579.4696254
371,2,137,21663.25615378
372,2,138,54339.68745635
373,2,139,23183.54141638
374,2,140,35115.64009154
375,2,141,52981.29913037
376,2,142,23751.6638878
377,2,143,21221.19934845
378,2,144,45726.29671789
379,2,145,21514.49615168
380,2,146,40844.64096579
381,2,147,44302.62068922
382,2,148,26570.09504337
383,2,149,27496.6983444
384,2,150,31160.43370891
385,2,151,37911.14251213
386,2,152,34114.51450181
387,2,153,47592.42773065
388,2,154,52523.59963928
389,2,155,28621.70948295
390,2,156,39138.77197722
391,2,157,22101.81484909
392,2,158,20034.93038088
393,2,159,37204.40757094
394,2,160,38109.16860609
395,2,161,51443.42103203
396,2,162,48873.58646245
397,2,163,36893.17875039
398,2,164,20656.66067091
399,2,165,20626.82837703
400,2,166,10366.03832284
401,2,167,3868.28592944
402,2,168,8282.03648651
403,2,169,8654.41899686
404,2,170,7592.53478271
405,2,171,24693.32063545
406,2,172,11812.69108176
407,2,173,4537.69604643
408,2,174,27058.96467176
409,2,175,5306.58249192
410,2,176,4021.6762554
411,2,177,19599.8877363
412,2,178,12715.43770176
413,2,179,5648.15161039
414,2,180,14547.8710317
415,2,181,20350.09776103
416,2,182,15501.41958726
417,2,183,6356.66743335
418,2,184,23241.26039267
419,2,185,5426.87816618
420,2,186,7304.40873252
421,2,187,4848.95573419
422,2,188,7356.65203489
423,2,189,4494.96481984
424,2,190,10352.06779936
425,2,191,8487.57601935
426,2,192,24568.76491183
427,2,193,16398.59795653
428,2,194,17924.10195433
429,2,195,20132.83020685
430,2,196,20927.63094496
431,2,197,22702.23263313
432,2,198,27042.55859448
433,2,199,19934.99918913
434,2,200,21278.28379735
435,2,201,22546.07438072
436,2,202,17242.58134598
437,2,203,17639.09754235
438,2,204,25774.30376474
439,2,205,18338.632698
440,2,206,19471.58797326
441,2,207,32295.46442852
442,2,208,32342.84688426
443,2,209,34278.81697658
444,2,210,32526.1959313
445,2,211,30483.60608139
446,2,212,33649.2163156
447,2,213,30384.59887794
448,2,214,66148.71738783
449,2,215,54346.35310445
450,2,216,59441.8379499
451,2,217,70984.07869805
452,2,218,52242.96867139
453,2,219,64123.29477747
454,2,220,72127.84604335
455,2,221,46906.4915983
456,2,222,49389.12653108
457,2,223,45603.55709991
458,2,224,67795.175249
459,2,225,21864.86253003
460,2,226,28432.11176872
461,2,227,20365.663865
462,2,228,30321.29587305
463,2,229,34620.97705654
464,2,230,36755.21217334
465,2,231,20485.37204387
466,2,232,38428.18512151
467,2,233,18655.04481652
468,2,234,19375.40856659
469,2,235,24397.41144003
470,3,1,18909.78148965
471,3,2,26833.1789686
472,3,3,0.0
473,3,4,8982.69420596
474,3,5,17546.80862395
475,3,6,21269.32013474
476,3,7,15555.25940161
477,3,8,4287.60532416
478,3,9,16693.12983697
479,3,10,2838.60135292
480,3,11,9278.73420614
481,3,12,10272.35829678
482,3,13,11481.52430039
483,3,14,21624.49136143
484,3,15,7998.57233304
485,3,16,11793.97383741
486,3,17,25233.04002492
487,3,18,1953.62430219
488,3,19,23950.90890736
489,3,20,26267.21572115
490,3,21,1036.19948126
491,3,22,3251.53613693
492,3,23,898.66488626
493,3,24,7206.13381207
494,3,25,6210.68875596
495,3,26,4174.35067217
496,3,27,10243.4616236
497,3,28,1981.62609312
498,3,29,3601.43891185
499,3,30,7151.20678677
500,3,31,26137.0521684
501,3,32,21348.88493289
502,3,33,12689.6628623
503,3,34,5390.82182532
504,3,35,4576.9217808
505,3,36,13602.57966938
506,3,37,15496.48003092
507,3,38,17795.20060478
508,3,39,9963.04699542
509,3,40,3913.84873177
510,3,41,16658.62202341
511,3,42,9926.6555564
512,3,43,1344.47341479
513,3,44,7420.65824412
514,3,45,6066.61554772
515,3,46,10951.6773489
516,3,47,8901.04308008
517,3,48,16423.64247367
518,3,49,11956.71010145
519,3,50,8736.74716285
520,3,51,13834.95671186
521,3,52,2826.95490819
522,3,53,15471.08117483
523,3,54,14526.01179719
524,3,55,11260.85353713
525,3,56,3935.6058714
526,3,57,3016.71568054
527,3,58,1915.74570872
528,3,59,12123.44570211
529,3,60,4745.54811308
530,3,61,12861.31529109
531,3,62,8107.0004536
532,3,63,1964.45451012
533,3,64,7822.934778
534,3,65,11441.5883167
535,3,66,3956.72604856
536,3,67,13112.45688302
537,3,68,10230.91752544
538,3,69,14672.57657959
539,3,70,17746.24464099
540,3,71,16062.24303161
541,3,72,6039.24828977
542,3,73,9171.88730809
543,3,74,10967.27633182
544,3,75,5238.21794357
545,3,76,12066.20699177
546,3,77,7528.92407325
547,3,78,6932.56406338
548,3,79,11500.7383767
549,3,80,4465.73621362
550,3,81,12237.32761006
551,3,82,4991.43762382
552,3,83,4257.10022396
553,3,84,4809.11249672
554,3,85,9745.57889898
555,3,86,4377.42559818
556,3,87,8160.77105534
557,3,88,5548.46287461
558,3,89,10679.58045274
559,3,90,4933.61294963
560,3,91,8839.89871041
561,3,92,7683.88844295
562,3,93,12207.63854127
563,3,94,9262.4118924
564,3,95,8394.34917418
565,3,96,11503.13855187
566,3,97,10698.52324189
567,3,98,8425.2573397
568,3,99,5746.5382363
569,3,100,9733.24293023
570,3,101,4374.26788938
571,3,102,8908.456531
572,3,103,4723.23916542
573,3,104,11953.76679981
574,3,105,15992.80286719
575,3,106,7798.11589101
576,3,107,18279.07424629
577,3,108,16645.70605672
578,3,109,2436.67467507
579,3,110,11129.61267325
580,3,111,1612.42223339
581,3,112,7071.09952589
582,3,113,16151.53040277
583,3,114,14630.48315506
584,3,115,4589.7650125
585,3,116,13818.70420292
586,3,117,9353.19487228
587,3,118,9460.48795116
588,3,119,3235.63268983
589,3,120,12320.85409594
590,3,121,15749.74972966
591,3,122,8617.57970023
592,3,123,13697.09156975
593,3,124,15476.53829922
594,3,125,7275.04221972
595,3,126,10248.08781999
596,3,127,6821.43923349
597,3,128,14282.11129173
598,3,129,19048.75023872
599,3,130,11819.39140413
600,3,131,6048.66285823
601,3,132,7032.87134898
602,3,133,2222.193066
603,3,134,7443.53467533
604,3,135,16560.16281465
605,3,136,30526.21219284
606,3,137,7412.95980821
607,3,138,31881.44766745
608,3,139,6615.55861625
609,3,140,12709.58799725
610,3,141,29397.61892627
611,3,142,6969.70018034
612,3,143,6163.72509207
613,3,144,21168.61684979
614,3,145,6348.81701049
615,3,146,16948.60571332
616,3,147,19688.78971498
617,3,148,7267.09693015
618,3,149,7558.58256502
619,3,150,9921.24468911
620,3,151,15190.31759873
621,3,152,11967.73273115
622,3,153,23058.53754044
623,3,154,28531.32380914
624,3,155,8028.09276198
625,3,156,15687.84763704
626,3,157,6639.78284705
627,3,158,7430.02118289
628,3,159,15744.79117615
629,3,160,17231.26481585
630,3,161,27040.4418459
631,3,162,24466.47396936
632,3,163,14009.03175588
633,3,164,7421.28300736
634,3,165,6348.15243554
635,3,166,20156.2776578
636,3,167,29752.63008284
637,3,168,23171.61774037
638,3,169,32753.93466456
639,3,170,32436.39212863
640,3,171,2558.20622465
641,3,172,18351.45346167
642,3,173,31180.54336519
643,3,174,1665.47429712
644,3,175,31577.34095171
645,3,176,30846.26167297
646,3,177,9906.17782123
647,3,178,17178.9881659
648,3,179,23867.23796387
649,3,180,14880.4981987
650,3,181,8603.20343881
651,3,182,13751.62327071
652,3,183,31942.86475858
653,3,184,3726.72246536
654,3,185,30604.78451509
655,3,186,33380.98310208
656,3,187,26382.28444787
657,3,188,22923.19505204
658,3,189,28637.5703906
659,3,190,36704.18167983
660,3,191,34697.40721438
661,3,192,23051.70447218
662,3,193,14650.82928341
663,3,194,15513.63108413
664,3,195,20498.56846044
665,3,196,21469.87928616
666,3,197,22289.52567931
667,3,198,24600.2567605
668,3,199,7235.93440301
669,3,200,5595.41613011
670,3,201,4361.07468171
671,3,202,11764.10386124
672,3,203,10459.73718629
673,3,204,23770.65991239
674,3,205,17570.11596834
675,3,206,19078.40547242
676,3,207,9067.96103074
677,3,208,8365.51834238
678,3,209,14552.98171932
679,3,210,10159.94135337
680,3,211,6300.03800203
681,3,212,13072.62119219
682,3,213,5184.57198286
