,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,1317.84636212
2,1,3,20102.69025348
3,1,4,12449.16456606
4,1,5,2879.68805844
5,1,6,15270.53613101
6,1,7,18343.59031931
7,1,8,9817.6658867
8,1,9,2292.6785813
9,1,10,11554.53783863
10,1,11,19110.15462892
11,1,12,1796.93188539
12,1,13,3297.60086621
13,1,14,16019.35341252
14,1,15,17547.21725833
15,1,16,4375.83191127
16,1,17,6395.86982012
17,1,18,13849.79874163
18,1,19,21231.43493184
19,1,20,913.90362519
20,1,21,2409.87279262
21,1,22,7107.72869305
22,1,23,28078.51694478
23,1,24,23537.12146717
24,1,25,24840.64268821
25,1,26,27454.03563881
26,1,27,25846.18447425
27,1,28,27267.99458115
28,1,29,26753.68448947
29,1,30,22917.39342537
30,1,31,25570.78140477
31,1,32,28149.10410927
32,1,33,22506.10627859
33,1,34,24008.62438261
34,1,35,22050.05094471
35,1,36,27421.42275073
36,1,37,23302.19428235
37,1,38,27644.52665973
38,1,39,20121.12771916
39,1,40,25085.5549659
40,1,41,21903.9278372
41,1,42,27393.84424879
42,1,43,25781.21898984
43,1,44,24512.01734882
44,1,45,27983.34422522
45,1,46,27507.0424614
46,1,47,19570.0919229
47,1,48,26547.89522854
48,1,49,26642.57175234
49,1,50,27922.42940535
50,1,51,27283.62025031
51,1,52,20513.64099252
52,1,53,21175.8661404
53,1,54,18990.97330477
54,1,55,25327.37947003
55,1,56,28313.0520859
56,1,57,22703.18872107
57,1,58,31682.57063067
58,1,59,964.25720723
59,1,60,5312.39474878
60,1,61,31047.67393994
61,1,62,13215.21305141
62,1,63,11955.08802762
63,1,64,10580.55894541
64,1,65,17951.12704941
65,1,66,6967.06762899
66,1,67,29258.73669267
67,1,68,6034.47288367
68,1,69,4436.18684638
69,1,70,16216.84509531
70,1,71,9529.8711421
71,1,72,26326.92920083
72,1,73,20380.34930436
73,1,74,6884.68753171
74,1,75,26928.16713699
75,1,76,5593.74094051
76,1,77,14844.53611846
77,1,78,19497.62075179
78,1,79,19942.37128883
79,1,80,21079.92746819
80,1,81,25677.54524721
81,1,82,24092.64646772
82,1,83,20336.06734653
83,2,1,1317.84636212
84,2,2,0.0
85,2,3,18797.7434078
86,2,4,11156.27029675
87,2,5,1985.52680961
88,2,6,13956.58013738
89,2,7,17038.73699402
90,2,8,8589.72379464
91,2,9,2068.45602751
92,2,10,10279.04470908
93,2,11,17804.8958963
94,2,12,940.77975845
95,2,13,4163.71719331
96,2,14,14712.78853223
97,2,15,16240.29067642
98,2,16,5388.06127726
99,2,17,7203.86440068
100,2,18,12540.03421917
101,2,19,19921.91663407
102,2,20,2159.61642411
103,2,21,2948.63640341
104,2,22,5951.33933569
105,2,23,26789.2064806
106,2,24,22220.40067704
107,2,25,23523.00529644
108,2,26,26151.51561225
109,2,27,24532.72005186
110,2,28,25986.52311033
111,2,29,25446.58805029
112,2,30,21601.95212966
113,2,31,24254.77093835
114,2,32,26851.93072597
115,2,33,21191.82584337
116,2,34,22690.87883494
117,2,35,20737.21284331
118,2,36,26240.81916258
119,2,37,21994.37513749
120,2,38,26408.22413819
121,2,39,18808.9226615
122,2,40,23785.01531457
123,2,41,20586.86335462
124,2,42,26114.53647989
125,2,43,24486.87684426
126,2,44,23207.07883411
127,2,45,26709.78406327
128,2,46,26292.89919644
129,2,47,18267.29065399
130,2,48,25420.24018174
131,2,49,25356.15701237
132,2,50,26672.47485189
133,2,51,26133.80113198
134,2,52,19197.42966581
135,2,53,19858.04216903
136,2,54,17707.50271146
137,2,55,24011.76899332
138,2,56,27005.79612336
139,2,57,21385.53134532
140,2,58,30371.95971689
141,2,59,2067.28839791
142,2,60,5211.75988586
143,2,61,29741.13934357
144,2,62,11898.22479116
145,2,63,10637.54814126
146,2,64,9273.9604017
147,2,65,16634.34048655
148,2,66,6037.55555941
149,2,67,27954.1700573
150,2,68,5289.27600754
151,2,69,4603.34455708
152,2,70,14905.64407276
153,2,71,8239.0526025
154,2,72,25014.3332442
155,2,73,19062.51501342
156,2,74,5815.79589453
157,2,75,25618.98310376
158,2,76,5030.68210712
159,2,77,13531.75393365
160,2,78,18179.80888809
161,2,79,18943.07928562
162,2,80,19763.15586304
163,2,81,24845.52732815
164,2,82,23218.71365289
165,2,83,19018.46159951
166,3,1,20102.69025348
167,3,2,18797.7434078
168,3,3,0.0
169,3,4,7692.66294536
170,3,5,17637.27836305
171,3,6,4952.36575334
172,3,7,1759.10006027
173,3,8,10701.95825358
174,3,9,18900.52025757
175,3,10,8693.92886721
176,3,11,993.22860248
177,3,12,18458.61652972
178,3,13,21711.76666683
179,3,14,4087.21776065
180,3,15,2564.54438656
181,3,16,23012.83187289
182,3,17,23576.47557755
183,3,18,6272.8492405
184,3,19,1253.92592141
185,3,20,20953.07825533
186,3,21,20358.05974917
187,3,22,13536.25160461
188,3,23,11306.71574602
189,3,24,4010.246416
190,3,25,5837.01446784
191,3,26,9917.8821761
192,3,27,7541.79141372
193,3,28,11118.89278097
194,3,29,8966.16766892
195,3,30,3260.7760343
196,3,31,6912.55863016
197,3,32,10871.73787392
198,3,33,2761.87296449
199,3,34,4752.99190685
200,3,35,2221.80937939
201,3,36,10371.04692765
202,3,37,3216.98273441
203,3,38,9015.16121652
204,3,39,4512.9185637
205,3,40,5008.561384
206,3,41,2796.44202999
207,3,42,7667.93690428
208,3,43,5786.60760912
209,3,44,4409.37160174
210,3,45,8366.10909035
211,3,46,9511.31406064
212,3,47,5589.82399341
213,3,48,11133.96575268
214,3,49,6784.48551215
215,3,50,8897.9746833
216,3,51,11096.11359459
217,3,52,3745.19168507
218,3,53,3098.99284072
219,3,54,7013.12861631
220,3,55,5517.75401233
221,3,56,8214.94212401
222,3,57,4154.68742458
223,3,58,11609.32128939
224,3,59,20622.47238579
225,3,60,19021.9719687
226,3,61,10946.40751899
227,3,62,7420.41348967
228,3,63,8340.27800649
229,3,64,9524.02461753
230,3,65,3940.25154768
231,3,66,14792.56498617
232,3,67,9156.43506256
233,3,68,16173.18463907
234,3,69,19907.75516106
235,3,70,5702.69833003
236,3,71,10598.28833313
237,3,72,6322.80775982
238,3,73,2669.00337895
239,3,74,14143.28901608
240,3,75,6847.33182611
241,3,76,17113.69755065
242,3,77,6474.24912432
243,3,78,2880.42878744
244,3,79,16030.73543382
245,3,80,2208.96947392
246,3,81,22541.32633505
247,3,82,20722.46305249
248,3,83,2373.74190525
249,4,1,12449.16456606
250,4,2,11156.27029675
251,4,3,7692.66294536
252,4,4,0.0
253,4,5,9944.61599383
254,4,6,3208.73199261
255,4,7,5940.66752539
256,4,8,3181.7764622
257,4,9,11210.67825125
258,4,10,1112.02646807
259,4,11,6707.06317796
260,4,12,10777.40622327
261,4,13,14039.50119888
262,4,14,3665.82898597
263,4,15,5175.77475572
264,4,16,15350.69605713
265,4,17,16043.70527839
266,4,18,1742.46410016
267,4,19,8867.43596891
268,4,20,13315.8612374
269,4,21,12674.88435003
270,4,22,5908.73674631
271,4,23,17211.24333211
272,4,24,11358.97219129
273,4,25,12887.49294175
274,4,26,16210.25686998
275,4,27,14203.83384594
276,4,28,16643.29136509
277,4,29,15367.81870581
278,4,30,10681.13106573
279,4,31,13776.53128571
280,4,32,17053.25989535
281,4,33,10233.00740293
282,4,34,11936.38341837
283,4,35,9742.13407374
284,4,36,15749.59088642
285,4,37,10908.41262144
286,4,38,15485.149033
287,4,39,8804.999465
288,4,40,12645.01850507
289,4,41,9777.33677368
290,4,42,14975.75126247
291,4,43,13332.05452578
292,4,44,12092.07712617
293,4,45,15588.19986513
294,4,46,15529.32800506
295,4,47,8779.07384072
296,4,48,15429.71143205
297,4,49,14203.2526634
298,4,50,15662.97432159
299,4,51,15915.97245657
300,4,52,8876.15743918
301,4,53,9254.47299614
302,4,54,9005.39453761
303,4,55,13075.89584242
304,4,56,15904.47381076
305,4,57,10793.69885581
306,4,58,19301.74739676
307,4,59,12939.35109925
308,4,60,11553.31741767
309,4,61,18631.1293434
310,4,62,2901.44380229
