,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,3194.95430653
2,1,3,14628.38798139
3,1,4,6210.40854708
4,1,5,19076.70362758
5,1,6,2229.29920967
6,1,7,5235.27867406
7,1,8,4978.81119717
8,1,9,8207.83757349
9,1,10,20970.63398601
10,1,11,8247.99723052
11,1,12,3139.28605731
12,1,13,12406.29296785
13,1,14,16416.77413211
14,1,15,11490.99728843
15,1,16,8119.6240429
16,1,17,13663.90046735
17,1,18,2108.0343641
18,1,19,10147.15445713
19,1,20,14215.45441318
20,1,21,15122.22390881
21,1,22,14381.98970976
22,1,23,1112.65196173
23,1,24,4282.83640133
24,1,25,9103.08636433
25,1,26,847.70871188
26,1,27,6964.96005657
27,1,28,12016.39266011
28,1,29,1871.22077784
29,1,30,14262.56064108
30,1,31,1252.16949726
31,1,32,6261.39112443
32,1,33,3900.70818413
33,1,34,14803.90509484
34,1,35,3581.64645841
35,1,36,13158.90020671
36,1,37,9476.99615915
37,1,38,6014.2793318
38,1,39,4907.42684696
39,1,40,8164.7234188
40,1,41,17738.18283503
41,1,42,2363.88932637
42,1,43,12712.73882043
43,1,44,2818.94206994
44,1,45,4965.73342761
45,1,46,15855.20109663
46,1,47,19556.30086907
47,1,48,13759.96219417
48,1,49,7310.97420795
49,1,50,7221.08435783
50,1,51,13318.01611138
51,1,52,1460.02312668
52,1,53,11763.10584504
53,1,54,8523.49388379
54,1,55,11186.9716009
55,1,56,10439.97906455
56,1,57,3040.60585212
57,1,58,1162.62934721
58,1,59,13730.27222455
59,1,60,8340.5405384
60,1,61,10325.20683921
61,1,62,4852.41893379
62,1,63,17735.67575028
63,1,64,6623.55200292
64,1,65,7281.86930777
65,1,66,20671.97800168
66,1,67,2076.3480727
67,1,68,15389.10602397
68,1,69,7378.8860277
69,1,70,14395.34944105
70,1,71,13827.6838911
71,1,72,12032.10334768
72,1,73,5284.18293449
73,1,74,3757.77045033
74,1,75,16410.50189582
75,1,76,10503.10798499
76,1,77,4257.51137792
77,1,78,6315.07635794
78,1,79,16452.66719669
79,1,80,12097.50951514
80,1,81,1434.56845472
81,1,82,12985.28607648
82,1,83,8947.02436625
83,1,84,17263.44860118
84,1,85,2167.81618017
85,1,86,1265.89655349
86,1,87,21328.08510229
