,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,5302.01113108
2,1,3,36971.25975858
3,1,4,2577.12462249
4,1,5,19065.49360386
5,1,6,1845.11875806
6,1,7,28901.37959814
7,1,8,42914.39069893
8,1,9,23032.41514895
9,1,10,10594.42908137
10,1,11,7209.86332362
11,1,12,31301.04288468
12,1,13,8160.45403379
13,1,14,1685.41313722
14,1,15,6365.8390499
15,1,16,13025.61692014
16,1,17,961.42532606
17,1,18,23842.96587167
18,1,19,38167.58622429
19,1,20,18052.11343973
20,1,21,4199.56260948
21,1,22,14411.03572501
22,1,23,17101.58973426
23,1,24,22117.0561982
24,1,25,4234.71826607
25,1,26,39263.31861946
26,1,27,35260.31398014
27,1,28,20609.3828969
28,1,29,26914.87759096
29,1,30,32455.75623307
30,1,31,41707.00472304
31,1,32,26088.06248474
32,1,33,30085.31549449
33,1,34,28021.48217739
34,1,35,40218.15655542
35,1,36,13504.1606532
36,1,37,15630.77617116
37,1,38,11908.60822507
38,1,39,24873.41886209
39,1,40,5554.27630516
40,1,41,21305.49052396
41,1,42,26278.43622282
42,1,43,22427.16366881
43,1,44,18217.94063338
44,1,45,27091.40668725
45,1,46,15484.3416535
46,1,47,15229.43663951
47,1,48,19169.48890335
48,1,49,14712.58683694
49,1,50,23911.42774836
50,1,51,24495.15760748
51,1,52,26309.27957729
52,1,53,24428.00894832
53,1,54,24789.56847132
54,1,55,17457.79641233
55,1,56,16719.15038779
56,1,57,20347.99759171
57,1,58,26295.01288672
58,1,59,15940.64144354
59,1,60,24412.41958243
60,1,61,24278.42484238
61,1,62,25515.5409577
62,1,63,13531.51069331
63,1,64,12344.69615516
64,1,65,20845.24961126
65,1,66,26209.94967153
66,1,67,23280.84166147
67,1,68,13699.01092628
68,1,69,17530.09086788
69,1,70,15203.28358788
70,1,71,26164.93628292
71,1,72,18056.60527846
72,1,73,25822.45965389
73,1,74,13086.92982935
74,1,75,17104.9957821
75,1,76,19647.25895561
76,1,77,18642.77330664
77,1,78,21693.70511123
78,1,79,49829.89200291
79,1,80,44911.91633333
80,1,81,39449.54999044
81,1,82,32557.51579908
82,1,83,29063.36751635
83,1,84,25390.32598134
84,1,85,24715.00482669
85,1,86,30896.30949892
86,1,87,28876.44633654
87,1,88,26091.18180694
88,1,89,50633.42644124
89,1,90,28646.62255884
90,1,91,47520.9638386
91,1,92,31032.50941958
92,1,93,58816.87524536
93,1,94,56098.37702307
94,1,95,66588.58075795
95,1,96,68761.32494633
96,1,97,70310.47933985
97,1,98,64708.20270784
98,1,99,37399.25361987
99,1,100,60194.17757274
100,1,101,40905.51741986
101,1,102,72854.37357415
102,1,103,33703.01928501
103,1,104,26205.01065168
104,1,105,25260.60454562
105,1,106,27450.72026446
106,1,107,61934.71971836
107,1,108,29260.73632463
108,1,109,20908.21940136
109,1,110,18282.34484722
110,1,111,10925.68878366
111,1,112,22034.71863485
112,1,113,49323.22113999
113,1,114,16343.50372534
114,1,115,34924.46696247
115,1,116,14732.44214814
116,1,117,8526.76036403
117,1,118,40105.51799752
118,1,119,27131.0455173
119,1,120,23435.09614816
120,1,121,47285.28376997
121,1,122,28905.99591714
122,1,123,12791.91809342
123,1,124,25802.1200608
124,1,125,53552.14213916
125,1,126,43954.66491436
126,1,127,51488.13635359
127,1,128,58041.85995732
128,2,1,5302.01113108
129,2,2,0.0
130,2,3,32854.22397565
131,2,4,7874.87242938
132,2,5,14338.38639963
133,2,6,3590.56574049
