,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,4360.36304719
2,1,3,11885.08226078
3,1,4,4443.23165012
4,1,5,7078.3490279
5,1,6,7977.2840704
6,1,7,2846.71430517
7,1,8,13069.16421073
8,1,9,5151.60741935
9,1,10,9010.45871045
10,1,11,6618.85727586
11,1,12,1079.77445351
12,1,13,5863.62171024
13,1,14,14134.8612295
14,1,15,11013.63509667
15,1,16,2057.18916653
16,1,17,946.12251069
17,1,18,9917.38617957
18,1,19,9274.00520405
19,1,20,5697.21533579
20,1,21,1957.56116667
21,1,22,10772.04850779
22,1,23,3642.03299471
23,1,24,8119.54190192
24,1,25,8482.90388491
25,1,26,7641.05684035
26,1,27,7311.62932753
27,1,28,6127.15921004
28,1,29,6714.37924896
29,1,30,10473.50010193
30,1,31,6616.48626921
31,1,32,5589.1179093
32,1,33,8958.48844286
33,1,34,11664.15873549
34,1,35,12463.80695087
35,1,36,7672.53756646
36,1,37,12079.20563682
37,1,38,11556.22658116
38,1,39,6612.50466219
39,1,40,5672.63124134
40,1,41,7170.69646635
41,1,42,9452.92513914
42,1,43,10444.99379502
43,1,44,12896.70168581
44,1,45,7119.97899433
45,1,46,8130.80168861
46,1,47,5523.76667673
47,1,48,5022.20700745
48,1,49,5604.02708265
49,1,50,6860.38664536
50,1,51,8756.96166511
51,1,52,9019.61079718
52,1,53,7579.50916633
53,1,54,13707.16871269
54,1,55,6794.59507776
55,1,56,4999.40176735
56,1,57,7322.10490825
57,1,58,6469.96843211
58,1,59,14358.82012181
59,1,60,3200.88423397
60,1,61,8758.46821961
61,1,62,10789.80378126
62,1,63,2545.94283997
63,1,64,4873.76934571
64,1,65,10236.77677943
65,1,66,3733.38543494
66,1,67,13543.08612633
67,1,68,4025.830886
68,1,69,13474.75784284
69,1,70,12477.33871403
70,1,71,13666.87604632
71,1,72,8234.41178669
72,1,73,7505.62716659
73,1,74,2090.86427261
74,1,75,9467.3447932
75,1,76,8989.2482364
76,1,77,8979.83310698
77,1,78,2049.78652628
78,1,79,9954.33678949
79,1,80,9191.55571931
80,1,81,5914.58381035
81,1,82,10806.06619999
82,1,83,4507.36723314
83,1,84,5430.08616181
84,1,85,4986.25439086
85,1,86,12275.52685398
86,1,87,12749.47664449
87,1,88,11417.07534037
88,1,89,5956.16352689
89,1,90,2591.50933346
90,1,91,11472.28098758
91,1,92,8996.82153299
92,1,93,10691.04681353
93,1,94,13617.11128781
94,1,95,10988.56056463
95,1,96,19640.45935267
96,1,97,6353.58818602
97,1,98,3659.99515335
98,1,99,7539.70978487
99,1,100,11238.38733174
100,1,101,10259.12102386
101,1,102,18111.87774545
102,1,103,9063.10349128
103,1,104,12480.78364319
104,1,105,3870.82862968
105,1,106,3849.83740256
106,1,107,20076.08862037
107,1,108,15665.43632538
108,1,109,14742.59413376
109,1,110,5756.68080927
110,1,111,9930.4520068
111,1,112,19122.37028091
112,1,113,5158.66921505
113,1,114,12418.73774574
114,1,115,11179.66347056
115,1,116,4586.72780564
116,1,117,19589.22866069
117,1,118,20080.66505958
118,1,119,19927.87030186
119,1,120,20491.57262203
120,1,121,16466.2271605
121,1,122,16192.62860835
122,1,123,15157.42808135
123,1,124,8775.72171742
124,1,125,17228.65120285
125,1,126,4153.3767158
126,1,127,4978.72717523
127,1,128,3915.84530773
128,1,129,8725.03906879
129,1,130,11099.61899863
130,1,131,20140.61738328
131,1,132,13244.58901378
132,1,133,12162.78844046
133,1,134,16953.83770246
134,1,135,2476.20590289
135,1,136,5314.84653784
136,1,137,16263.54194871
137,1,138,3161.19119289
138,1,139,19015.37565959
139,1,140,22028.61169382
140,1,141,21043.96205254
141,1,142,8038.37224754
142,1,143,10192.80031125
143,1,144,8049.61083247
144,1,145,3242.70788644
145,1,146,14612.7383328
146,1,147,1936.17299293
147,1,148,7347.26068954
148,1,149,17753.69934624
149,1,150,1920.91174327
150,1,151,10172.61196696
151,1,152,7291.62337379
152,1,153,6283.73523304
153,1,154,13118.35024216
154,2,1,4360.36304719
155,2,2,0.0
156,2,3,16229.24503617
157,2,4,8803.09286787
158,2,5,2747.22191975
159,2,6,12330.94358262
160,2,7,7206.97419536
161,2,8,17417.99789497
162,2,9,831.64588333
163,2,10,13361.83276166
164,2,11,10974.45606797
165,2,12,3282.76949855
166,2,13,1535.91208112
167,2,14,18486.85206794
168,2,15,15366.33570993
169,2,16,6417.16896204
170,2,17,5305.02912856
171,2,18,14266.96228171
172,2,19,4944.60192794
173,2,20,10054.21703804
174,2,21,2404.35717928
175,2,22,15130.4274218
176,2,23,8002.33415914
177,2,24,3788.41622195
178,2,25,8326.24869951
179,2,26,8496.70315768
180,2,27,8709.89801836
181,2,28,10483.93529502
182,2,29,10707.10155885
183,2,30,7780.90520008
184,2,31,8772.0282044
185,2,32,8409.72249013
186,2,33,10547.14108444
187,2,34,12374.14008072
188,2,35,9251.80857208
189,2,36,11271.08151923
190,2,37,12323.74844918
191,2,38,8574.14532852
192,2,39,10884.13895543
193,2,40,9983.46233445
194,2,41,9684.28754911
195,2,42,7392.24803378
196,2,43,11649.10881445
197,2,44,12865.86355971
