,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,15953.81490401
2,1,3,18355.84480855
3,1,4,5313.92572794
4,1,5,6461.14730737
5,1,6,10264.23510622
6,1,7,3893.19000276
7,1,8,14863.12099021
8,1,9,1003.53270725
9,1,10,19618.27338124
10,1,11,7034.88900132
11,1,12,12923.25622049
12,1,13,2431.66511022
13,1,14,23252.99687599
14,1,15,11102.35571956
15,1,16,9475.27553591
16,1,17,20397.00002103
17,1,18,7692.82771844
18,1,19,14139.42815529
19,1,20,17074.91229989
20,1,21,12101.08811524
21,1,22,21977.16274716
22,1,23,18006.42607848
23,1,24,19254.40608985
24,1,25,19906.24814364
25,1,26,17561.12933873
26,1,27,23529.769771
27,1,28,21936.67019496
28,1,29,18047.77583855
29,1,30,20389.89641222
30,1,31,17697.58903564
31,1,32,17022.57336518
32,1,33,17094.18169656
33,1,34,17458.39761185
34,1,35,21626.80007868
35,1,36,18112.78632454
36,1,37,20985.51362108
37,1,38,22145.24586931
38,1,39,19162.83441079
39,1,40,24959.83051455
40,1,41,25709.33158364
41,1,42,22703.02118496
42,1,43,17986.40567408
43,1,44,18517.49923305
44,1,45,17212.10569072
45,1,46,18677.24722524
46,1,47,18081.01254987
47,1,48,11498.49988127
48,1,49,21348.87952136
49,1,50,16369.62431236
50,1,51,9502.91392019
51,1,52,11008.21397257
52,1,53,23877.72602045
53,1,54,17015.79269138
54,1,55,12570.0985813
55,1,56,17865.32217188
56,1,57,13071.94362487
57,1,58,10701.51652516
58,1,59,13763.63332645
59,1,60,19887.15552778
60,1,61,14359.79209988
61,1,62,14648.20240549
62,1,63,15516.67878154
63,1,64,9807.2832677
64,1,65,15668.30853861
65,1,66,11480.72831835
66,1,67,22658.76282013
67,1,68,15072.08205836
68,1,69,21754.68254486
69,1,70,19290.97806091
70,1,71,22103.59836416
71,1,72,15947.19530999
72,1,73,13892.88181873
73,1,74,16880.26886913
74,1,75,23154.85890677
75,1,76,14141.46187099
76,1,77,21209.77050157
77,1,78,20659.88080157
78,1,79,20241.39136543
79,1,80,14658.09682955
80,1,81,13552.00401969
81,1,82,21429.98949182
82,1,83,24011.7068134
83,1,84,21548.89198042
84,1,85,21483.25487543
85,2,1,15953.81490401
86,2,2,0.0
87,2,3,2442.78201747
88,2,4,10645.23579922
89,2,5,9551.35448026
90,2,6,6588.75377058
91,2,7,12119.48122849
92,2,8,1114.63068355
93,2,9,14964.79380289
94,2,10,3728.04971337
95,2,11,9485.53218854
96,2,12,3364.67644867
97,2,13,13564.07299188
98,2,14,7340.43871273
99,2,15,5468.12974196
100,2,16,7532.64673155
101,2,17,4499.2917503
102,2,18,9267.70488476
103,2,19,2014.60637797
104,2,20,1130.19642239
105,2,21,4105.20062341
106,2,22,6102.73543651
107,2,23,3377.24101129
108,2,24,8789.54683024
109,2,25,8478.81723237
110,2,26,4423.20155586
111,2,27,16454.4574096
112,2,28,10472.84042206
113,2,29,5567.25065156
114,2,30,10772.24607878
115,2,31,3809.09788384
116,2,32,2201.82210253
117,2,33,3505.04390133
118,2,34,2079.92607073
119,2,35,13176.25487755
120,2,36,6480.91215003
121,2,37,9856.71755321
122,2,38,14302.63028612
123,2,39,7099.33807601
124,2,40,17511.16903623
125,2,41,18612.67901418
126,2,42,15710.52310472
127,2,43,2897.19219939
128,2,44,7370.4795962
129,2,45,1437.91056139
130,2,46,5860.75036977
131,2,47,4921.03681014
132,2,48,7998.01289066
133,2,49,7596.60110822
134,2,50,6616.33129474
135,2,51,6999.69009299
136,2,52,4945.871947
137,2,53,9295.14770883
138,2,54,6456.57282795
139,2,55,7997.81195662
140,2,56,6382.01236888
141,2,57,3822.43591487
142,2,58,5397.34440977
143,2,59,4000.91670394
144,2,60,6454.46648732
145,2,61,4485.65384171
146,2,62,7384.32132132
147,2,63,6914.33142826
148,2,64,7380.89957551
149,2,65,6415.39734574
150,2,66,4515.58931802
151,2,67,8392.01321742
152,2,68,5188.95908771
153,2,69,6220.62337172
154,2,70,5279.23648173
155,2,71,7108.18701963
156,2,72,4897.55028224
157,2,73,5870.34586276
158,2,74,4738.73533522
159,2,75,9474.49460862
160,2,76,8676.68067349
161,2,77,5294.45585524
162,2,78,5048.92236962
163,2,79,5796.08367732
164,2,80,10207.14746321
165,2,81,6957.08064369
166,2,82,6104.12480004
167,2,83,10816.93795367
168,2,84,5596.98920454
169,2,85,6361.703825
170,3,1,18355.84480855
171,3,2,2442.78201747
172,3,3,0.0
173,3,4,13056.56355429
174,3,5,11925.13610458
175,3,6,8705.21111815
176,3,7,14540.06638111
177,3,8,3497.48549717
178,3,9,17371.56972819
179,3,10,1285.55405484
180,3,11,11756.92037431
181,3,12,5556.81866301
182,3,13,15978.44625126
183,3,14,4906.16315296
184,3,15,7620.57435109
185,3,16,9653.01743874
186,3,17,2057.32105787
187,3,18,11461.3120533
188,3,19,4248.48000734
189,3,20,1317.01545656
190,3,21,6356.68975367
191,3,22,3660.04173839
192,3,23,2431.13132785
193,3,24,8311.26869498
194,3,25,8670.43136921
195,3,26,4946.6985744
196,3,27,16024.79848689
197,3,28,10364.62649467
198,3,29,5074.95565708
199,3,30,10249.13393919
200,3,31,3234.29571045
201,3,32,2853.53118283
202,3,33,4206.11453188
203,3,34,1401.04658323
204,3,35,12693.84398145
205,3,36,6093.18803293
206,3,37,9940.48135667
207,3,38,13864.63542441
208,3,39,7315.69706793
209,3,40,16933.24871445
210,3,41,18048.17235766
211,3,42,15352.66199782
212,3,43,1782.11393379
213,3,44,6944.53923469
214,3,45,1663.42512711
215,3,46,6049.89944267
216,3,47,4299.28850462
217,3,48,10154.79947269
218,3,49,6924.86819577
219,3,50,7780.71400484
220,3,51,9432.30949621
221,3,52,7359.89048042
222,3,53,7972.82455405
223,3,54,7403.22031203
224,3,55,9997.96834192
225,3,56,7010.47129109
226,3,57,5759.84626581
227,3,58,7840.08708292
228,3,59,5586.36409088
229,3,60,6172.7107299
230,3,61,5710.64013294
231,3,62,9007.32230884
232,3,63,8327.61486502
233,3,64,9768.18371774
234,3,65,6980.89018405
235,3,66,6881.06694501
236,3,67,7332.93199544
237,3,68,6030.89343183
238,3,69,3889.66569807
239,3,70,4012.67959874
240,3,71,5737.16028753
241,3,72,5382.85673954
242,3,73,7073.59219378
243,3,74,4766.17204248
244,3,75,8596.52549653
245,3,76,9666.65574432
246,3,77,3094.33180418
247,3,78,3375.23391768
248,3,79,4139.90663809
249,3,80,11091.75338754
250,3,81,8166.17303966
251,3,82,4588.07983312
252,3,83,10023.80912888
253,3,84,3213.22136439
254,3,85,4238.20367195
255,4,1,5313.92572794
256,4,2,10645.23579922
257,4,3,13056.56355429
258,4,4,0.0
259,4,5,1412.72581857
260,4,6,5411.32930629
261,4,7,1513.66906802
262,4,8,9560.18097152
263,4,9,4320.53573485
264,4,10,14325.03870761
265,4,11,2703.34426238
266,4,12,7695.25017158
267,4,13,2922.56243858
268,4,14,17959.4653339
269,4,15,6043.09301326
270,4,16,4841.42592141
271,4,17,15103.75415906
272,4,18,3564.11071487
273,4,19,8863.76417397
274,4,20,11768.90266897
275,4,21,6877.54710604
276,4,22,16690.98101901
277,4,23,12834.63655456
278,4,24,14830.79245991
279,4,25,15120.12808959
280,4,26,12413.75085768
281,4,27,20233.59475577
282,4,28,17240.83783053
283,4,29,13162.37597793
284,4,30,16237.70097442
285,4,31,12596.83732176
286,4,32,11733.47853139
287,4,33,11883.76435394
288,4,34,12201.78363985
289,4,35,17845.10346065
290,4,36,13373.96638033
291,4,37,16308.84051822
292,4,38,18556.34990671
293,4,39,14234.47029242
294,4,40,21632.98028332
295,4,41,22516.65897586
296,4,42,19381.71130311
297,4,43,12766.77903209
298,4,44,13899.64799285
299,4,45,11898.29031189
300,4,46,13620.37761172
301,4,47,13096.00940916
302,4,48,7133.56896762
303,4,49,16260.66330031
304,4,50,11589.20611364
305,4,51,4388.74054514
306,4,52,5699.78874996
307,4,53,18717.58237022
308,4,54,12167.30407229
309,4,55,8234.13430496
310,4,56,12943.67271706
311,4,57,7953.65579114
312,4,58,5405.62534747
313,4,59,8742.43868656
314,4,60,14799.88958534
315,4,61,9450.69356629
316,4,62,10108.52981226
317,4,63,10838.43040943
318,4,64,4958.593827
319,4,65,11109.40547444
320,4,66,6200.20958647
321,4,67,17526.03543894
322,4,68,10292.77375471
323,4,69,16527.33180349
324,4,70,14240.95759365
325,4,71,16871.69542438
326,4,72,11092.6934319
327,4,73,9258.3521494
328,4,74,11955.41281166
329,4,75,18117.18721912
330,4,76,10245.76613296
331,4,77,15895.85883753
332,4,78,15360.65651874
