,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,899.13514555
2,1,3,22144.49150452
3,1,4,28738.50326366
4,1,5,10790.56067745
5,1,6,19941.46573507
6,1,7,24504.57307602
7,1,8,26624.61757857
8,1,9,16936.25673442
9,1,10,8231.42458651
10,1,11,12559.37891943
11,1,12,32681.4242453
12,1,13,20926.47890193
13,1,14,25694.32326521
14,1,15,17973.87982605
15,1,16,23065.89596929
16,1,17,30751.12687524
17,1,18,13729.3393101
18,1,19,15602.75210785
19,1,20,3453.06360259
20,1,21,14862.55444118
21,1,22,1102.55242639
22,1,23,6684.16371963
23,1,24,589.01284273
24,1,25,5952.63046705
25,1,26,23850.51555111
26,1,27,22706.54868373
27,1,28,2378.1225441
28,1,29,9423.36655913
29,1,30,5245.08889211
30,1,31,17746.50602384
31,1,32,9854.3560751
32,1,33,8933.43416312
33,1,34,20159.52359193
34,1,35,5598.30964011
35,1,36,22339.16657708
36,1,37,7102.76383487
37,1,38,13298.20001793
38,1,39,10783.81020383
39,1,40,4070.31697714
40,1,41,6350.39292487
41,1,42,15500.09594724
42,1,43,15123.13850564
43,1,44,13441.56659116
44,1,45,18889.21167433
45,1,46,2790.60559481
46,1,47,19192.47626439
47,1,48,844.17549664
48,1,49,12313.65673808
49,1,50,13868.4203334
50,1,51,19102.38252716
51,1,52,12384.21260776
52,1,53,21766.97640648
53,1,54,10903.33145726
54,1,55,21207.13211392
55,1,56,6958.01292014
56,1,57,5155.57006808
57,1,58,3240.49387201
58,1,59,6636.28908144
59,1,60,5913.30535668
60,1,61,23669.57321155
61,1,62,1918.37749418
62,1,63,3400.71851971
63,1,64,11617.78262898
64,1,65,7892.72909726
65,1,66,18388.3325109
66,1,67,4970.75328942
67,1,68,13414.75930118
68,1,69,7553.42646358
69,1,70,2189.24473401
70,1,71,18359.37377351
71,1,72,16712.38249924
72,1,73,8481.600996
73,1,74,19728.66178812
74,1,75,3844.43131053
75,1,76,9361.11566111
