,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,4753.13948329
2,1,3,12256.18229603
3,1,4,16894.82587042
4,1,5,2190.2249529
5,1,6,19393.80975289
6,1,7,9374.74818957
7,1,8,22614.71316268
8,1,9,17973.68708271
9,1,10,21614.11230038
10,1,11,2776.80038801
11,1,12,11246.84043804
12,1,13,6296.37742801
13,1,14,11410.89408248
14,1,15,6167.93413216
15,1,16,7305.59912725
16,1,17,9205.6914657
17,1,18,1495.7794158
18,1,19,13007.7194291
19,1,20,14347.79007828
20,1,21,20585.35866394
21,1,22,8557.6531648
22,1,23,3510.73986444
23,1,24,13647.55871084
24,1,25,10617.56602327
25,1,26,7986.78630476
26,1,27,15487.11239688
27,1,28,10603.42037819
28,1,29,16178.35695569
29,1,30,10889.86620474
30,1,31,13043.4809116
31,1,32,10700.5364648
32,1,33,17641.30358458
33,1,34,10069.58779203
34,1,35,11723.96185871
35,1,36,10377.36445394
36,1,37,10309.25732488
37,1,38,19955.28324421
38,1,39,12000.26232204
39,1,40,14365.41416048
40,1,41,10042.82552804
41,1,42,18630.13748081
42,1,43,11362.55986083
43,1,44,12443.60278025
44,1,45,10316.07921349
45,1,46,15216.62303062
46,1,47,10750.04150491
47,1,48,13814.39985519
48,1,49,20640.75522736
49,1,50,19678.17195033
50,1,51,14526.83814942
51,1,52,19903.48921486
52,1,53,10352.33099558
53,1,54,11784.30969516
54,1,55,15649.48617333
55,1,56,17763.45851449
56,1,57,18562.01078075
57,1,58,16789.02642102
58,1,59,20405.37133548
59,1,60,19294.10178125
60,1,61,11004.19393949
61,1,62,13788.39141037
62,1,63,10865.24335169
63,1,64,12700.0565222
64,1,65,15461.27529322
65,1,66,16838.11100889
66,1,67,10810.77843846
67,1,68,16375.25108363
68,1,69,14140.02307285
69,1,70,13008.18986346
70,1,71,7536.87970965
71,1,72,7180.83993859
72,1,73,6966.77534185
73,1,74,8357.91362524
74,1,75,8561.89828
75,1,76,6683.31324331
76,1,77,7852.89855559
77,1,78,12003.24737399
78,1,79,6691.10862208
79,1,80,9022.78963148
80,1,81,6676.13800561
81,1,82,9002.18831054
82,1,83,18683.49925558
83,1,84,11514.2341911
84,1,85,10459.89361095
85,1,86,7799.71539353
86,1,87,7902.88662604
87,1,88,22774.5922125
88,1,89,26392.22205568
89,1,90,19850.7822678
90,1,91,14451.97702882
91,1,92,10523.29227179
92,1,93,17823.0165231
93,1,94,15739.84006268
94,1,95,15000.80252323
95,1,96,24334.69304072
96,1,97,12584.3153609
97,1,98,21475.14139181
98,1,99,10767.89786274
99,1,100,9358.46419604
100,1,101,9301.10389713
101,1,102,8678.80331868
102,1,103,8114.52310354
103,1,104,9650.73539104
104,1,105,13389.14422766
105,1,106,7795.05552491
106,1,107,13469.65113433
107,1,108,14547.1366835
108,1,109,6763.30760226
109,1,110,11816.78374534
110,1,111,6462.63232335
111,1,112,16702.61908077
112,1,113,15198.65436444
113,1,114,14593.81951626
114,1,115,16512.49464029
115,1,116,6456.48077083
116,1,117,3525.64033564
117,1,118,6605.91944498
