,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,2572.96500036
2,1,3,3267.9416763
3,1,4,11520.88808133
4,1,5,19444.34096043
5,1,6,20081.00720954
6,1,7,2329.76163414
7,1,8,18581.83739503
8,1,9,15842.40192645
9,1,10,16261.20330553
10,1,11,11047.80191242
11,1,12,4663.14812004
12,1,13,16939.36016631
13,1,14,3595.57819449
14,1,15,9308.81808578
15,1,16,12464.36524885
16,1,17,7549.09145909
17,1,18,1411.76885044
18,1,19,8518.31687717
19,1,20,14751.47381273
20,1,21,13252.56616396
21,1,22,13783.37688115
22,1,23,12850.2489941
23,1,24,1544.02330443
24,1,25,20137.74651025
25,1,26,10104.81458428
26,1,27,7682.4563854
27,1,28,12202.72500022
28,1,29,19788.77706216
29,1,30,6602.63488842
30,1,31,5648.37043126
31,1,32,4474.74665723
32,1,33,16641.10501266
33,1,34,9198.54079165
34,1,35,16777.63406885
35,1,36,7371.66209565
36,1,37,20812.49384992
37,1,38,25043.93437445
38,1,39,18630.62833853
39,1,40,13820.38117594
40,1,41,23412.62620748
41,1,42,17659.76682796
42,1,43,12613.78966798
43,1,44,8248.42049329
44,1,45,8388.68946277
45,1,46,21944.018777
46,1,47,8769.41327065
47,1,48,17134.41410604
48,1,49,15103.59739362
49,1,50,24815.58889092
50,1,51,16175.73876917
51,1,52,10267.34696525
52,1,53,13901.44754482
53,1,54,8990.83158511
54,1,55,12505.70966529
55,1,56,10439.73950862
56,1,57,7834.76558619
57,1,58,17728.49786639
58,1,59,7792.42004569
59,1,60,5686.81430229
60,1,61,11756.72099994
61,1,62,10932.28413408
62,1,63,9356.33209455
63,1,64,7989.35704644
64,1,65,8348.69546451
65,1,66,8500.41707192
66,1,67,10115.60329088
67,1,68,13241.80654802
68,1,69,19990.95360444
69,1,70,15547.39206046
70,1,71,20153.18582227
71,1,72,2708.12870578
72,1,73,8600.96031018
73,1,74,21583.94709317
74,1,75,2488.66353486
75,1,76,11324.92606268
76,1,77,17730.21614107
77,1,78,3763.43537177
78,1,79,5036.20955319
79,1,80,18703.45061703
80,1,81,23864.47252447
81,1,82,3329.07207891
82,1,83,6803.80951394
83,1,84,16405.79979957
84,1,85,14719.92021216
85,1,86,22349.59744844
86,1,87,6105.78737118
87,1,88,9531.12506303
88,1,89,4284.05383296
