,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,11085.51206707
2,1,3,18669.09521095
3,1,4,2637.61752179
4,1,5,16813.54767651
5,1,6,14869.37337369
6,1,7,3963.32147731
7,1,8,9479.71577107
8,1,9,23610.18718345
9,1,10,3610.96689356
10,1,11,2888.29332739
11,1,12,7290.72517021
12,1,13,13867.05845974
13,1,14,24519.29937792
14,1,15,8493.75877022
15,1,16,20301.12008399
16,1,17,12820.32285742
17,1,18,1617.83080746
18,1,19,22198.91183401
19,1,20,6059.03062857
20,1,21,1636.37930905
21,1,22,4612.7186422
22,1,23,5297.32531325
23,1,24,10989.25351953
24,1,25,9948.70594801
25,1,26,7345.76971917
26,1,27,6517.24062375
27,1,28,6126.17156625
28,1,29,9024.89383234
29,1,30,12743.75569724
30,1,31,12034.86613853
31,1,32,11387.15858104
32,1,33,13856.41864746
33,1,34,15406.98865754
34,1,35,6545.61415697
35,1,36,7229.42595199
36,1,37,6195.74323354
37,1,38,8076.11787022
38,1,39,8784.57621247
39,1,40,7994.16867688
40,1,41,9982.2553034
41,1,42,13848.28731525
42,1,43,6909.91184723
43,1,44,10406.36392558
44,1,45,12853.73305332
45,1,46,3203.45044324
46,1,47,12136.58214369
47,1,48,14247.85691589
48,1,49,2885.83706485
49,1,50,1849.61330482
50,1,51,10114.3144973
51,1,52,15583.03066827
52,1,53,6077.6611246
53,1,54,4957.49373165
54,1,55,8998.61410327
55,1,56,4568.7837458
56,1,57,13350.74263126
57,1,58,2548.64515987
58,1,59,1847.02126226
59,1,60,4243.27650549
60,1,61,8944.07193582
61,1,62,7597.33178848
62,1,63,6064.07087623
63,1,64,6835.57030041
64,1,65,4622.81348064
65,1,66,10851.63995249
66,1,67,11605.30600518
67,1,68,7375.72435552
68,1,69,13234.15248319
69,1,70,6649.28313613
70,1,71,13279.05216449
71,1,72,11667.84740692
72,1,73,12554.27729754
73,1,74,4318.85553866
74,1,75,5062.67821118
75,1,76,7670.44415637
76,1,77,4730.70722294
77,1,78,4868.9078089
78,1,79,5742.41896815
79,1,80,9305.86095396
80,1,81,8280.29123001
81,1,82,10595.87784811
82,1,83,8718.69852343
83,1,84,14356.44608085
84,1,85,14165.82162612
85,1,86,11521.26362301
86,1,87,14107.55682835
87,1,88,6069.14825267
88,1,89,10448.62361152
89,1,90,12389.65133129
90,1,91,5562.68526211
91,1,92,8820.47516002
92,1,93,14893.74775138
93,1,94,19256.79565924
94,1,95,5741.04500396
95,1,96,28654.53796708
96,1,97,13115.14797666
97,1,98,6147.90998748
98,1,99,27833.17585488
99,1,100,7992.11580102
100,1,101,24517.62497802
101,1,102,26492.90724171
102,1,103,16574.84670609
103,1,104,4096.001068
104,1,105,17376.24433139
105,1,106,10694.0230178
106,1,107,23544.48678725
107,1,108,29703.72773301
108,1,109,6050.60528165
109,1,110,11547.57861775
110,1,111,20683.59505292
111,1,112,31883.71970357
112,1,113,32834.41780544
113,1,114,30610.74338806
114,1,115,4781.1100778
115,1,116,5712.2562872
116,1,117,22537.61271082
117,1,118,27428.63186642
118,1,119,9945.44621742
119,1,120,14456.98479638
120,1,121,11628.97251934
121,1,122,13513.88743526
122,1,123,16662.23796158
123,1,124,21122.15252817
124,1,125,18819.46839285
125,1,126,18208.63087602
126,1,127,19495.1687728
127,1,128,20289.88925896
128,1,129,15612.77840046
129,1,130,12795.55891811
130,1,131,24829.8718502
131,1,132,15040.48118751
132,1,133,7717.17072661
133,1,134,23692.10565309
134,1,135,22617.50671119
135,1,136,13069.34621109
136,1,137,10939.71591766
137,1,138,10053.33208321
138,1,139,18468.56203574
139,1,140,16930.53615826
140,1,141,19680.53397103
141,1,142,21284.60928158
142,1,143,20568.87525245
143,1,144,9458.24928651
144,1,145,11876.49396944
145,1,146,19913.36267133
146,1,147,11434.66221971
147,1,148,25700.31310948
148,1,149,11539.22722314
149,1,150,11943.66672935
150,1,151,29786.90430839
151,1,152,26521.31815114
152,1,153,20812.30426716
153,1,154,12266.41458258
154,1,155,21541.90800154
155,1,156,23990.72671412
156,1,157,13637.96743589
157,1,158,15956.11519744
158,1,159,11702.67435504
159,2,1,11085.51206707
160,2,2,0.0
161,2,3,8035.34304991
162,2,4,8447.89552829
163,2,5,6031.06218255
164,2,6,4043.28434781
165,2,7,15008.82378017
166,2,8,1605.96411933
167,2,9,13051.89791384
168,2,10,7475.56626928
169,2,11,13940.4487642
170,2,12,3795.07628994
171,2,13,2952.39625106
172,2,14,13969.42685207
173,2,15,2591.95049402
174,2,16,9725.6737846
175,2,17,1777.93309703
176,2,18,12683.78265481
177,2,19,11639.30117402
178,2,20,5027.07115611
179,2,21,9449.23646028
180,2,22,6472.96956191
181,2,23,16311.91737285
182,2,24,10515.02108215
183,2,25,9369.27281705
184,2,26,6459.7394357
185,2,27,5518.5495046
186,2,28,5095.59480669
187,2,29,8384.86773928
188,2,30,12111.53958265
189,2,31,11359.13463638
190,2,32,10742.19892513
191,2,33,13235.82952383
192,2,34,14913.90294092
193,2,35,5623.81393632
194,2,36,6401.91619616
195,2,37,5196.1629861
196,2,38,7350.54630353
197,2,39,8036.48589933
198,2,40,7179.09400562
199,2,41,9404.01442796
200,2,42,12778.91609093
201,2,43,5884.71849352
202,2,44,16861.11845765
203,2,45,18658.54895051
204,2,46,9996.89890872
205,2,47,3596.46440934
206,2,48,19710.51033635
207,2,49,9767.4609044
208,2,50,9515.97319785
209,2,51,5317.36742318
210,2,52,5377.12727895
211,2,53,15072.03670081
212,2,54,13712.3382927
213,2,55,6390.72915528
214,2,56,11977.55998775
215,2,57,3966.39690258
216,2,58,9782.07049539
217,2,59,9560.19155342
218,2,60,10244.21477474
219,2,61,16499.18356221
220,2,62,16126.03557166
221,2,63,9278.96524366
222,2,64,8339.89979488
223,2,65,10244.07889724
224,2,66,4360.56863601
225,2,67,17716.01853098
226,2,68,9636.64981446
227,2,69,14800.78528681
228,2,70,9078.98810492
229,2,71,11380.93109198
230,2,72,9458.69719511
231,2,73,10527.75719386
232,2,74,7539.35014122
233,2,75,6859.55706537
234,2,76,9815.06383862
235,2,77,6578.98399928
236,2,78,7853.83200333
237,2,79,8436.10010277
238,2,80,10098.98080212
239,2,81,10341.33060923
240,2,82,8916.91068346
241,2,83,11000.84518606
242,2,84,16391.74789306
243,2,85,17006.71144139
244,2,86,13296.56427194
245,2,87,17919.6614076
246,2,88,7678.51935037
247,2,89,12439.95721003
248,2,90,14051.09557115
249,2,91,7200.09926424
250,2,92,4226.13488739
251,2,93,4140.29051657
252,2,94,8420.25701238
253,2,95,11516.88115565
254,2,96,17569.05460542
255,2,97,2670.80911729
256,2,98,6585.43558431
257,2,99,16758.01943437
258,2,100,4865.80739822
259,2,101,13554.33300052
260,2,102,15543.98855972
261,2,103,5699.25199405
262,2,104,9531.55260657
263,2,105,6464.60353309
264,2,106,2650.57488213
265,2,107,12596.9215228
266,2,108,18618.2309275
267,2,109,12678.06585059
268,2,110,1911.12259713
269,2,111,9801.62987919
270,2,112,20809.67919353
271,2,113,21783.31265718
272,2,114,19525.25674986
273,2,115,8097.13898416
274,2,116,13617.78109347
275,2,117,11609.07316699
276,2,118,16465.74319527
277,2,119,3541.39752203
278,2,120,8392.58201055
279,2,121,5117.96607726
280,2,122,7384.91902921
281,2,123,8999.25320682
282,2,124,14599.61714325
283,2,125,11699.28849847
284,2,126,10691.59475887
285,2,127,12827.41091446
286,2,128,13840.60066029
287,2,129,8623.91807385
