,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,9483.46484103
2,1,3,8301.21337645
3,1,4,5834.4397135
4,1,5,1239.54007414
5,1,6,15636.67613492
6,1,7,10510.34194962
7,1,8,11558.38533039
8,1,9,12016.21560459
9,1,10,821.90930781
10,1,11,1841.08155676
11,1,12,11411.3170828
12,1,13,13804.79588041
13,1,14,5128.96173425
14,1,15,12710.95587474
15,1,16,17567.847435
16,1,17,3062.32811224
17,1,18,6781.97463471
18,1,19,6947.35655901
19,1,20,10109.69607002
20,1,21,16178.8728905
21,1,22,3717.30238363
22,1,23,10627.07654126
23,1,24,16949.67691416
24,1,25,3978.34351355
25,1,26,2143.63430338
26,1,27,7915.86238387
27,1,28,12413.44547535
28,1,29,2811.78070078
29,1,30,9577.40509692
30,1,31,7903.15455818
31,1,32,6441.41382646
32,1,33,4145.81077054
33,1,34,5819.92950528
34,1,35,13254.29898955
35,1,36,11186.17304712
36,1,37,7302.90930107
37,1,38,6513.7323783
38,1,39,3765.06362362
39,1,40,13187.04953473
40,1,41,13360.9172742
41,1,42,13402.60099728
42,1,43,14004.3408957
43,1,44,9639.69039047
44,1,45,13283.44293462
45,1,46,5889.45475891
46,1,47,3687.67588846
47,1,48,8758.4134633
48,1,49,4684.58398114
49,1,50,4705.63169191
50,1,51,10081.34175772
51,1,52,2282.45578661
52,1,53,4487.76718212
53,1,54,6508.88971802
54,1,55,8311.55310027
55,1,56,10600.71875144
56,1,57,6707.45349182
57,1,58,3153.62161371
58,1,59,2017.24639115
59,1,60,9560.26828148
60,1,61,8141.77299337
61,1,62,5634.69066865
62,1,63,14932.55428764
63,1,64,5348.99457604
64,1,65,4233.34625621
65,1,66,13870.32622421
66,1,67,9539.6437228
67,1,68,7630.92590609
68,1,69,3053.14066002
69,1,70,11981.64647744
70,1,71,11878.00154157
71,1,72,9943.48355443
72,1,73,11029.00304025
73,1,74,10493.05733664
74,1,75,11946.93598882
75,1,76,9304.55514768
76,1,77,8375.72851889
77,1,78,9227.53490291
78,1,79,8637.61930706
79,1,80,11172.64603707
80,1,81,10676.41942016
81,1,82,9326.18453938
82,1,83,11207.72624406
83,1,84,7763.84000511
84,1,85,9156.32050176
85,1,86,9456.71704804
86,1,87,9724.02228663
87,1,88,8288.12632866
88,1,89,7712.47152946
89,1,90,10341.36579066
90,1,91,11381.60441555
91,1,92,7886.10430562
92,1,93,8725.61031063
93,1,94,2569.12309453
94,1,95,3358.730726
95,1,96,2691.11670497
96,1,97,3754.2052172
97,1,98,12029.51678108
98,1,99,2997.63282555
99,1,100,2621.60048228
100,1,101,12014.16575926
101,1,102,6712.67403795
102,1,103,5298.46172667
103,1,104,3646.92932741
104,1,105,2898.41721273
105,1,106,3830.32237873
106,1,107,3289.28276529
107,1,108,10432.64216131
108,1,109,7670.7222962
109,1,110,3301.31509566
110,1,111,8733.12395475
111,1,112,12197.91504839
112,1,113,10019.38734312
113,1,114,6532.65730225
114,1,115,11822.22310935
115,1,116,5472.32933184
116,1,117,11573.23537888
117,1,118,9288.55438465
118,1,119,9388.03635057
119,1,120,11680.99517149
120,1,121,39271.88866651
121,1,122,15554.8164796
122,1,123,25446.8306519
123,1,124,37892.14915278
124,1,125,29508.90098242
125,1,126,27547.02227811
126,1,127,24113.16485789
127,1,128,35418.10259884
128,1,129,18650.23598084
129,1,130,31198.74150998
130,1,131,28234.30736624
131,1,132,26435.90547095
132,1,133,13822.38197186
133,1,134,19656.21105404
134,2,1,9483.46484103
135,2,2,0.0
136,2,3,17475.88711172
137,2,4,3759.97605159
138,2,5,8298.34946917
139,2,6,6153.31045415
140,2,7,1031.64524876
141,2,8,2081.37196762
142,2,9,19506.53102027
143,2,10,10293.25375431
144,2,11,11007.47952565
145,2,12,19246.96243323
146,2,13,4415.27517902
147,2,14,14278.13926706
148,2,15,19830.49640445
149,2,16,8965.38818926
150,2,17,6497.73108449
151,2,18,15942.21157424
152,2,19,2625.97591502
153,2,20,18764.11365628
154,2,21,6906.60322657
155,2,22,12919.58235144
156,2,23,18943.40480597
157,2,24,8027.86086303
158,2,25,5693.00865465
159,2,26,7349.38834333
160,2,27,1777.9897681
161,2,28,3039.3540434
162,2,29,12012.46805559
163,2,30,18648.76754672
164,2,31,10375.345925
165,2,32,6825.41925589
166,2,33,6815.7004741
167,2,34,6439.43338272
168,2,35,14813.0300415
169,2,36,10807.07731364
170,2,37,7435.2525106
171,2,38,9077.41119012
172,2,39,6323.517268
173,2,40,12574.3972289
174,2,41,13759.35776655
175,2,42,16600.97037783
176,2,43,18048.87085335
177,2,44,9305.35831749
178,2,45,15793.4706681
179,2,46,8494.07612342
180,2,47,5868.295462
181,2,48,8472.7173823
182,2,49,5855.20305978
183,2,50,7394.93514381
184,2,51,12481.44284215
185,2,52,8123.44962435
186,2,53,5155.28397134
187,2,54,3328.58265993
188,2,55,1945.44059172
189,2,56,2209.2202364
190,2,57,11724.75885361
191,2,58,6345.60024917
192,2,59,7728.00751285
193,2,60,1668.49969206
194,2,61,12551.68645971
195,2,62,4099.1440188
196,2,63,7045.16794257
197,2,64,10598.04620223
198,2,65,9693.09252023
199,2,66,5079.19842805
200,2,67,13288.24422301
201,2,68,2431.17260959
202,2,69,8757.41769583
203,2,70,3330.42912565
204,2,71,7562.9490647
205,2,72,3183.77933286
206,2,73,5200.80701183
207,2,74,8055.26820678
208,2,75,6896.66061115
209,2,76,7063.73956815
210,2,77,9261.8969396
211,2,78,12108.28004782
212,2,79,10210.0601914
213,2,80,7908.81849398
214,2,81,4486.34965534
215,2,82,2495.14606794
216,2,83,8642.51640269
217,2,84,1835.70242128
218,2,85,11074.86035496
219,2,86,7579.65882498
220,2,87,13980.91962626
221,2,88,5998.24975531
222,2,89,2931.48013244
223,2,90,7939.18108435
224,2,91,5988.78469227
225,2,92,5087.71324618
226,2,93,2113.01496428
227,2,94,9503.69930354
228,2,95,12546.46719882
229,2,96,11128.19153835
230,2,97,7190.9264364
231,2,98,3034.24062458
232,2,99,10300.48090211
233,2,100,12081.39065361
234,2,101,2543.99871594
235,2,102,3558.39553937
236,2,103,6784.93717611
237,2,104,12345.31822078
238,2,105,12305.8232622
239,2,106,8398.72710343
240,2,107,11614.6601341
241,2,108,1697.76423224
242,2,109,2777.05259035
243,2,110,9264.01803934
244,2,111,4769.77800993
245,2,112,4771.5398426
246,2,113,4640.68494096
247,2,114,5819.65812681
248,2,115,2559.08429119
249,2,116,4929.59964715
250,2,117,4997.04962908
251,2,118,18679.2300969
252,2,119,18859.30978411
253,2,120,13890.78946061
254,2,121,35084.41721552
255,2,122,17708.16854452
256,2,123,21509.32060946
257,2,124,33706.23459348
258,2,125,25804.65058736
259,2,126,23247.53222024
260,2,127,20758.11581448
261,2,128,31465.60901363
262,2,129,18799.49022481
263,2,130,28017.04635442
264,2,131,24121.54700791
265,2,132,22096.67807319
266,2,133,16102.30250409
267,2,134,18723.75131359
268,3,1,8301.21337645
269,3,2,17475.88711172
270,3,3,0.0
271,3,4,13716.48412417
272,3,5,9535.74095322
273,3,6,23554.12175863
274,3,7,18470.69974181
275,3,8,19550.14336996
276,3,9,6185.71543866
277,3,10,7496.5489808
278,3,11,6547.81047879
279,3,12,5181.99117092
280,3,13,21881.11798871
281,3,14,3210.05061412
