lineid,linename,fullnames
1,地铁1号线八通线,"{地铁1号线八通线(环球度假区-苹果园),地铁1号线八通线(苹果园-环球度假区)}"
2,地铁2号线,"{地铁2号线(外环(西直门-西直门)),地铁2号线(内环(积水潭-积水潭))}"
3,地铁4号线大兴线,"{地铁4号线大兴线(天宫院-安河桥北),地铁4号线大兴线(安河桥北-天宫院)}"
4,地铁5号线,"{地铁5号线(天通苑北-宋家庄),地铁5号线(宋家庄-天通苑北)}"
5,地铁6号线,"{地铁6号线(金安桥-潞城),地铁6号线(潞城-金安桥)}"
6,地铁7号线,"{地铁7号线(环球度假区-北京西站),地铁7号线(北京西站-环球度假区)}"
7,地铁8号线,"{地铁8号线(朱辛庄-瀛海),地铁8号线(瀛海-朱辛庄)}"
8,地铁9号线,"{地铁9号线(郭公庄-国家图书馆),地铁9号线(国家图书馆-郭公庄)}"
9,地铁10号线,"{地铁10号线(内环(巴沟-巴沟)),地铁10号线(外环(车道沟-车道沟))}"
10,地铁11号线,"{地铁11号线(新首钢-模式口),地铁11号线(模式口-新首钢)}"
11,地铁13号线,"{地铁13号线(东直门-西直门),地铁13号线(西直门-东直门)}"
12,地铁14号线,"{地铁14号线(张郭庄-善各庄),地铁14号线(善各庄-张郭庄)}"
13,地铁15号线,"{地铁15号线(清华东路西口-俸伯),地铁15号线(俸伯-清华东路西口)}"
14,地铁16号线,"{地铁16号线(北安河-玉渊潭东门),地铁16号线(玉渊潭东门-北安河)}"
15,地铁17号线,"{地铁17号线(嘉会湖-十里河),地铁17号线(十里河-嘉会湖)}"
16,地铁19号线,"{地铁19号线(新宫-牡丹园),地铁19号线(牡丹园-新宫)}"
17,地铁S1线,"{地铁S1线(苹果园-石厂),地铁S1线(石厂-苹果园)}"
18,地铁昌平线,"{地铁昌平线(昌平西山口-清河站),地铁昌平线(清河站-昌平西山口)}"
19,大兴机场线,"{大兴机场线(草桥-大兴机场),大兴机场线(大兴机场-草桥)}"
20,地铁房山线,"{地铁房山线(东管头南-阎村东),地铁房山线(阎村东-东管头南)}"
21,首都机场线,{首都机场线(北新桥-北新桥)}
22,地铁西郊线,"{地铁西郊线(巴沟-香山),地铁西郊线(香山-巴沟)}"
23,地铁燕房线,"{地铁燕房线(阎村东-燕山),地铁燕房线(燕山-阎村东)}"
24,地铁亦庄线,"{地铁亦庄线(亦庄火车站-宋家庄),地铁亦庄线(宋家庄-亦庄火车站)}"
