lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(韦家碾-五根松),地铁1号线(五根松-韦家碾)}"
2,地铁1号线支线,"{地铁1号线支线(韦家碾-科学城),地铁1号线支线(科学城-韦家碾)}"
3,地铁2号线,"{地铁2号线(犀浦-龙泉驿),地铁2号线(龙泉驿-犀浦)}"
4,地铁3号线,"{地铁3号线(成都医学院-双流西站),地铁3号线(双流西站-成都医学院)}"
5,地铁4号线,"{地铁4号线(西河-万盛),地铁4号线(万盛-西河)}"
6,地铁5号线,"{地铁5号线(回龙-华桂路),地铁5号线(华桂路-回龙)}"
7,地铁6号线,"{地铁6号线(兰家沟-望丛祠),地铁6号线(望丛祠-兰家沟)}"
8,地铁7号线,"{地铁7号线(内环(崔家店-崔家店)),地铁7号线(外环(崔家店-崔家店))}"
9,地铁8号线,"{地铁8号线(十里店-莲花),地铁8号线(莲花-十里店)}"
10,地铁9号线,"{地铁9号线(金融城东-黄田坝),地铁9号线(黄田坝-金融城东)}"
11,地铁10号线,"{地铁10号线(新平-太平园),地铁10号线(太平园-新平)}"
12,地铁17号线,"{地铁17号线(金星-机投桥),地铁17号线(机投桥-金星)}"
13,地铁18号线,"{地铁18号线(天府机场北-火车南站),地铁18号线(火车南站-天府机场北)}"
