lineid,linename,fullnames
1,轨道交通1号线,"{轨道交通1号线(璧山-朝天门),轨道交通1号线(朝天门-璧山)}"
2,轨道交通2号线,"{轨道交通2号线(鱼洞-较场口),轨道交通2号线(较场口-鱼洞)}"
3,轨道交通3号线,"{轨道交通3号线(空港线)(举人坝-碧津),轨道交通3号线(空港线)(碧津-举人坝)}"
4,轨道交通3号线支线,"{轨道交通3号线支线(鱼洞-江北机场T2航站楼),轨道交通3号线支线(江北机场T2航站楼-鱼洞)}"
5,轨道交通4号线,"{轨道交通4号线(民安大道-黄岭),轨道交通4号线(黄岭-民安大道)}"
6,轨道交通5号线南段,"{轨道交通5号线南段(石桥铺-跳磴),轨道交通5号线南段(跳磴-石桥铺)}"
7,轨道交通5号线,"{轨道交通5号线(大石坝-园博中心),轨道交通5号线(园博中心-大石坝)}"
8,国博线,"{国博线(沙河坝-礼嘉),国博线(礼嘉-沙河坝)}"
9,轨道交通6号线,"{轨道交通6号线(茶园-北碚),轨道交通6号线(北碚-茶园)}"
10,轨道交通9号线,"{轨道交通9号线(兴科大道-新桥),轨道交通9号线(新桥-兴科大道)}"
11,轨道交通10号线,"{轨道交通10号线(王家庄-鲤鱼池),轨道交通10号线(鲤鱼池-王家庄)}"
12,轨道交通环线,"{轨道交通环线(重庆图书馆-重庆图书馆),轨道交通环线(二郎-二郎)}"
