lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(广州东站-西塱),地铁1号线(西塱-广州东站)}"
2,地铁2号线,"{地铁2号线(嘉禾望岗-广州南站),地铁2号线(广州南站-嘉禾望岗)}"
3,地铁3号线北延段,"{地铁3号线北延段(体育西路-机场北(2号航站楼)),地铁3号线北延段(机场北(2号航站楼)-体育西路)}"
4,地铁3号线,"{地铁3号线(番禺广场-天河客运站),地铁3号线(天河客运站-番禺广场)}"
5,地铁4号线,"{地铁4号线(黄村-南沙客运港),地铁4号线(南沙客运港-黄村)}"
6,地铁5号线,"{地铁5号线(滘口-文冲),地铁5号线(文冲-滘口)}"
7,地铁6号线,"{地铁6号线(浔峰岗-香雪),地铁6号线(香雪-浔峰岗)}"
8,地铁7号线,"{地铁7号线(大学城南-美的大道),地铁7号线(美的大道-大学城南)}"
9,地铁8号线,"{地铁8号线(万胜围-滘心),地铁8号线(滘心-万胜围)}"
10,地铁9号线,"{地铁9号线(飞鹅岭-高增),地铁9号线(高增-飞鹅岭)}"
11,地铁13号线,"{地铁13号线(新沙-鱼珠),地铁13号线(鱼珠-新沙)}"
12,地铁14号线支线,"{地铁14号线支线(知识城线)(新和-镇龙),地铁14号线支线(知识城线)(镇龙-新和)}"
13,地铁14号线,"{地铁14号线(东风-嘉禾望岗),地铁14号线(嘉禾望岗-东风)}"
14,地铁18号线,"{地铁18号线(冼村-万顷沙),地铁18号线(万顷沙-冼村)}"
15,地铁21号线,"{地铁21号线(员村-增城广场),地铁21号线(增城广场-员村)}"
16,APM线,"{APM线(广州塔-林和西),APM线(林和西-广州塔)}"
17,广佛线,"{广佛线(沥滘-新城东),广佛线(新城东-沥滘)}"
