lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(湘湖-萧山国际机场),地铁1号线(萧山国际机场-湘湖)}"
2,地铁2号线,"{地铁2号线(良渚-朝阳),地铁2号线(朝阳-良渚)}"
3,地铁3号线,"{地铁3号线(星桥-吴山前村),地铁3号线(吴山前村-星桥)}"
4,地铁4号线,"{地铁4号线(池华街-浦沿),地铁4号线(浦沿-池华街)}"
5,地铁5号线,"{地铁5号线(姑娘桥-金星),地铁5号线(金星-姑娘桥)}"
6,地铁6号线,"{地铁6号线(桂花西路-枸桔弄),地铁6号线(枸桔弄-双浦),地铁6号线(双浦-枸桔弄),地铁6号线(枸桔弄-桂花西路)}"
7,地铁7号线,"{地铁7号线(江东二路-吴山广场),地铁7号线(吴山广场-江东二路)}"
8,地铁8号线,"{地铁8号线(新湾路-文海南路),地铁8号线(文海南路-新湾路)}"
9,地铁9号线,"{地铁9号线(观音塘-龙安),地铁9号线(龙安-观音塘)}"
10,地铁10号线,"{地铁10号线(逸盛路-黄龙体育中心),地铁10号线(黄龙体育中心-逸盛路)}"
11,地铁16号线,"{地铁16号线(九州街-绿汀路),地铁16号线(绿汀路-九州街)}"
12,杭海城际铁路,"{杭海城际铁路(临平南高铁站-浙大国际校区),杭海城际铁路(浙大国际校区-临平南高铁站)}"
