lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(中国药科大学-八卦洲大桥南),地铁1号线(八卦洲大桥南-中国药科大学)}"
2,地铁2号线,"{地铁2号线(鱼嘴-经天路),地铁2号线(经天路-鱼嘴)}"
3,地铁3号线,"{地铁3号线(林场-秣周东路),地铁3号线(秣周东路-林场)}"
4,地铁4号线,"{地铁4号线(龙江-仙林湖),地铁4号线(仙林湖-龙江)}"
5,地铁10号线,"{地铁10号线(雨山路-安德门),地铁10号线(安德门-雨山路)}"
6,地铁S1号线,"{地铁S1号线(空港新城江宁-南京南站),地铁S1号线(南京南站-空港新城江宁)}"
7,地铁S3号线,"{地铁S3号线(南京南站-高家冲),地铁S3号线(高家冲-南京南站)}"
8,地铁S6号线,"{地铁S6号线(宁句线)(马群-句容),地铁S6号线(宁句线)(句容-马群)}"
9,地铁S7号线,"{地铁S7号线(空港新城江宁-无想山),地铁S7号线(无想山-空港新城江宁)}"
10,地铁S8号线,"{地铁S8号线(泰山新村-金牛湖),地铁S8号线(金牛湖-泰山新村)}"
11,地铁S9号线,"{地铁S9号线(翔宇路南-高淳),地铁S9号线(高淳-翔宇路南)}"
