lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(富锦路-莘庄),地铁1号线(莘庄-富锦路)}"
2,地铁2号线,"{地铁2号线(徐泾东-浦东国际机场),地铁2号线(浦东国际机场-徐泾东)}"
3,地铁3号线,"{地铁3号线(上海南站-江杨北路),地铁3号线(江杨北路-上海南站)}"
4,地铁4号线,"{地铁4号线(外圈(宜山路-宜山路)),地铁4号线(内圈(宜山路-宜山路))}"
5,地铁5号线,"{地铁5号线(奉贤新城-莘庄),地铁5号线(莘庄-奉贤新城)}"
6,地铁5号线支线,"{地铁5号线支线(莘庄-闵行开发区),地铁5号线支线(闵行开发区-莘庄)}"
7,地铁6号线,"{地铁6号线(港城路-东方体育中心),地铁6号线(东方体育中心-港城路)}"
8,地铁7号线,"{地铁7号线(美兰湖-花木路),地铁7号线(花木路-美兰湖)}"
9,地铁8号线,"{地铁8号线(沈杜公路-市光路),地铁8号线(市光路-沈杜公路)}"
10,地铁9号线,"{地铁9号线(松江南站-曹路),地铁9号线(曹路-松江南站)}"
11,地铁10号线,"{地铁10号线(虹桥火车站-基隆路),地铁10号线(基隆路-虹桥火车站)}"
12,地铁10号线支线,"{地铁10号线支线(基隆路-航中路),地铁10号线支线(航中路-基隆路)}"
13,地铁11号线,"{地铁11号线(迪士尼-花桥),地铁11号线(花桥-迪士尼)}"
14,地铁11号线支线,"{地铁11号线支线(嘉定北-迪士尼),地铁11号线支线(迪士尼-嘉定北)}"
15,地铁12号线,"{地铁12号线(金海路-七莘路),地铁12号线(七莘路-金海路)}"
16,地铁13号线,"{地铁13号线(张江路-金运路),地铁13号线(金运路-张江路)}"
17,地铁14号线,"{地铁14号线(桂桥路-封浜),地铁14号线(封浜-桂桥路)}"
18,地铁15号线,"{地铁15号线(紫竹高新区-顾村公园),地铁15号线(顾村公园-紫竹高新区)}"
19,地铁16号线,"{地铁16号线(滴水湖-龙阳路),地铁16号线(龙阳路-滴水湖)}"
20,地铁17号线,"{地铁17号线(虹桥火车站-东方绿舟),地铁17号线(东方绿舟-虹桥火车站)}"
21,地铁18号线,"{地铁18号线(长江南路-航头),地铁18号线(航头-长江南路)}"
22,浦江线,"{浦江线(沈杜公路-汇臻路),浦江线(汇臻路-沈杜公路)}"
