lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(罗宝线)(机场东-罗湖),地铁1号线(罗宝线)(罗湖-机场东)}"
2,地铁2号线（8号线）,"{地铁2号线（8号线）(盐田路-赤湾),地铁2号线（8号线）(赤湾-盐田路)}"
3,地铁3号线,"{地铁3号线(龙岗线)(双龙-福保),地铁3号线(龙岗线)(福保-双龙)}"
4,地铁4号线,"{地铁4号线(龙华线)(福田口岸-牛湖),地铁4号线(龙华线)(牛湖-福田口岸)}"
5,地铁5号线,"{地铁5号线(环中线)(赤湾-黄贝岭),地铁5号线(环中线)(黄贝岭-赤湾)}"
6,地铁6号线,"{地铁6号线(光明线)(科学馆-松岗),地铁6号线(光明线)(松岗-科学馆)}"
7,地铁7号线,"{地铁7号线(西丽线)(西丽湖-太安),地铁7号线(西丽线)(太安-西丽湖)}"
8,地铁9号线,"{地铁9号线(梅林线)(前湾-文锦),地铁9号线(梅林线)(文锦-前湾)}"
9,地铁10号线,"{地铁10号线(坂田线)(双拥街-福田口岸),地铁10号线(坂田线)(福田口岸-双拥街)}"
10,地铁11号线,"{地铁11号线(机场线)(碧头-福田),地铁11号线(机场线)(福田-碧头)}"
11,地铁20号线,"{地铁20号线(会展城-机场北),地铁20号线(机场北-会展城)}"
