lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(径河-汉口北),地铁1号线(汉口北-径河)}"
2,地铁2号线,"{地铁2号线(佛祖岭-天河机场),地铁2号线(天河机场-佛祖岭)}"
3,地铁3号线,"{地铁3号线(沌阳大道-宏图大道),地铁3号线(宏图大道-沌阳大道)}"
4,地铁4号线,"{地铁4号线(武汉火车站-柏林),地铁4号线(柏林-武汉火车站)}"
5,地铁5号线,"{地铁5号线(中医药大学-武汉站东广场),地铁5号线(武汉站东广场-中医药大学)}"
6,地铁6号线,"{地铁6号线(东风公司-新城十一路),地铁6号线(新城十一路-东风公司)}"
7,地铁7号线,"{地铁7号线(青龙山地铁小镇-园博园北),地铁7号线(园博园北-青龙山地铁小镇)}"
8,地铁8号线,"{地铁8号线(金潭路-军运村),地铁8号线(军运村-金潭路)}"
9,地铁11号线,"{地铁11号线(武汉东站-葛店南站),地铁11号线(葛店南站-武汉东站)}"
10,地铁16号线,"{地铁16号线(周家河-国博中心南),地铁16号线(国博中心南-周家河)}"
11,地铁21号线,"{地铁21号线(阳逻线)(金台-后湖大道),地铁21号线(阳逻线)(后湖大道-金台)}"
