stationid,stationname,lineids,linenames,lat,lng
1,石井坡,{1},{轨道交通1号线},29.59196095,106.440286
2,石油路,{1},{轨道交通1号线},29.5409298,106.5046548
3,鹅岭,{1},{轨道交通1号线},29.55074963,106.5301508
4,七星岗,{1},{轨道交通1号线},29.55779945,106.5597382
5,磁器口,{1},{轨道交通1号线},29.57935872,106.4424715
6,双碑,{1},{轨道交通1号线},29.60798045,106.4404426
7,赖家桥,{1},{轨道交通1号线},29.61283611,106.3775523
8,尖顶坡,{1},{轨道交通1号线},29.60998412,106.2892466
9,歇台子,{1},{轨道交通1号线},29.53826703,106.4943948
10,马家岩,{1},{轨道交通1号线},29.54754411,106.4642708
11,陈家桥,{1},{轨道交通1号线},29.61009165,106.3246526
12,烈士墓,{1},{轨道交通1号线},29.57015272,106.4414921
13,大学城,{1},{轨道交通1号线},29.6099666,106.3049948
14,朝天门,{1},{轨道交通1号线},29.56693029,106.5823504
15,璧山,{1},{轨道交通1号线},29.61495379,106.228623
16,微电园,{1},{轨道交通1号线},29.61232841,106.3594831
17,高庙村,{1},{轨道交通1号线},29.53901029,106.465404
18,杨公桥,{1},{轨道交通1号线},29.56409229,106.4462372
19,较场口,"{1,2}","{轨道交通1号线,轨道交通2号线}",29.55611493,106.569285
20,大坪,"{1,2}","{轨道交通1号线,轨道交通2号线}",29.54390451,106.515188
21,两路口,"{1,4}","{轨道交通1号线,轨道交通3号线支线}",29.55547838,106.5452684
22,石桥铺,"{1,6}","{轨道交通1号线,轨道交通5号线南段}",29.53541239,106.4810154
23,小什字,"{1,9}","{轨道交通1号线,轨道交通6号线}",29.56272322,106.5797276
24,小龙坎,"{1,10}","{轨道交通1号线,轨道交通9号线}",29.55589339,106.4653287
25,沙坪坝,"{1,10,12}","{轨道交通1号线,轨道交通9号线,轨道交通环线}",29.55754213,106.4563629
26,佛图关,{2},{轨道交通2号线},29.55211216,106.5276239
27,平安,{2},{轨道交通2号线},29.49146182,106.4810142
28,曾家岩,{2},{轨道交通2号线},29.56930418,106.5460336
29,新山村,{2},{轨道交通2号线},29.47458355,106.4722457
30,建桥,{2},{轨道交通2号线},29.45250087,106.4708264
31,临江门,{2},{轨道交通2号线},29.56081871,106.5717959
