stationid,stationname,lineids,linenames,lat,lng
1,大托,{1},{轨道交通1号线},28.086056567694,112.983653218317
2,开福区政府,{1},{轨道交通1号线},28.2653135398456,112.979792993587
3,黄兴广场,{1},{轨道交通1号线},28.192692664833,112.970846036003
4,中信广场,{1},{轨道交通1号线},28.0771847525126,112.984089131171
5,马厂,{1},{轨道交通1号线},28.2544655290779,112.98313646081
6,培元桥,{1},{轨道交通1号线},28.2096731345754,112.970987456323
7,开福寺,{1},{轨道交通1号线},28.2258803233865,112.973870802181
8,尚双塘,{1},{轨道交通1号线},28.06558948505,112.986551134644
9,铁道学院,{1},{轨道交通1号线},28.1394871304513,112.981794285014
10,省政府·清风,{1},{轨道交通1号线},28.1144778519647,112.981908022134
11,北辰三角洲,{1},{轨道交通1号线},28.2393018079832,112.978170149702
12,南湖路,{1},{轨道交通1号线},28.1695677734029,112.979807277976
13,南门口,{1},{轨道交通1号线},28.1864264496842,112.970644103137
14,友谊路,{1},{轨道交通1号线},28.1273151805116,112.981293895142
15,涂家冲,{1},{轨道交通1号线},28.1568729381783,112.979067552669
16,桂花坪,{1},{轨道交通1号线},28.1025376551584,112.982764603147
17,文昌阁,{1},{轨道交通1号线},28.2168284836293,112.973487484821
18,五一广场,"{1,2}","{轨道交通1号线,轨道交通2号线}",28.1977517088393,112.970860922903
19,侯家塘,"{1,3}","{轨道交通1号线,轨道交通3号线}",28.1772038079142,112.976646405012
20,黄土岭,"{1,4}","{轨道交通1号线,轨道交通4号线}",28.1635276997705,112.980312362767
21,西湖公园,{2},{轨道交通2号线},28.2060712704539,112.934380344702
22,人民东路,{2},{轨道交通2号线},28.1876713210776,113.032454401056
23,文化艺术中心,{2},{轨道交通2号线},28.2002559415895,112.895449548692
24,望城坡(汽车西站),{2},{轨道交通2号线},28.2109460086143,112.908582113177
25,杜花路,{2},{轨道交通2号线},28.1494471525385,113.050663659061
26,梅溪湖东,{2},{轨道交通2号线},28.2049065323155,112.902752436274
27,梅溪湖西,{2},{轨道交通2号线},28.1890858788549,112.876266181288
28,橘子洲·青莲,{2},{轨道交通2号线},28.1987547791294,112.956877954904
29,湘江中路,{2},{轨道交通2号线},28.1985945066157,112.963923625903
30,芙蓉广场,{2},{轨道交通2号线},28.1983138919738,112.97925372599
31,袁家岭,{2},{轨道交通2号线},28.1977844507638,112.995169844508
32,迎宾路口,{2},{轨道交通2号线},28.1986819370415,112.986411522153
33,金星路,{2},{轨道交通2号线},28.2095107552141,112.923178514821
34,锦泰广场,{2},{轨道交通2号线},28.1953046247379,113.012363264984
35,长沙大道,{2},{轨道交通2号线},28.1714883784045,113.038676009802
36,麓云路,{2},{轨道交通2号线},28.194472000365,112.887041596001
37,长沙火车站,"{2,3}","{轨道交通2号线,轨道交通3号线}",28.1973277294772,113.005373817916
38,光达,"{2,4}","{轨道交通2号线,轨道交通4号线}",28.151431656665,113.079210822114
39,沙湾公园,"{2,4}","{轨道交通2号线,轨道交通4号线}",28.1608669609156,113.038748900303
40,溁湾镇,"{2,4}","{轨道交通2号线,轨道交通4号线}",28.201282167064,112.946382734904
41,长沙火车南站,"{2,4}","{轨道交通2号线,轨道交通4号线}",28.1500545906556,113.059179675068
42,万家丽广场,"{2,5}","{轨道交通2号线,轨道交通5号线}",28.1947752538412,113.02473553527
43,东塘,{3},{轨道交通3号线},28.1730405979995,112.987697761224
44,松雅湖(南),{3},{轨道交通3号线},28.2486366572228,113.098196329294
45,螺丝塘,{3},{轨道交通3号线},28.2486237257261,113.117098913511
46,洋湖新城,{3},{轨道交通3号线},28.1323310301523,112.939766621693
47,洋湖湿地,{3},{轨道交通3号线},28.1180219415685,112.933348236988
48,四方坪,{3},{轨道交通3号线},28.2338623277855,113.001075522205
49,朝阳村,{3},{轨道交通3号线},28.1888835669604,113.004207956602
50,阿弥岭,{3},{轨道交通3号线},28.1779030693914,113.002929444126
51,桂花公园,{3},{轨道交通3号线},28.173881018243,112.995754561317
52,湘龙,{3},{轨道交通3号线},28.248848399616,113.055516093435
53,雅雀湖,{3},{轨道交通3号线},28.2406477442095,113.008145488287
54,丝茅冲,{3},{轨道交通3号线},28.2271091762045,113.001389305647
55,中南大学,{3},{轨道交通3号线},28.1576824607142,112.932234765242
56,星沙文体中心,{3},{轨道交通3号线},28.2485766049793,113.105580936228
57,星沙,{3},{轨道交通3号线},28.2488451622439,113.081510362675
58,长沙大学,{3},{轨道交通3号线},28.2441211778588,113.025401590638
59,广生,{3},{轨道交通3号线},28.2483445300213,113.130061584835
60,阳光,{3},{轨道交通3号线},28.1450676540298,112.931578900962
61,山塘,{3},{轨道交通3号线},28.1019411946176,112.92018439805
62,灵官渡,{3},{轨道交通3号线},28.1826496053284,112.964850001994
63,烈士公园东,{3},{轨道交通3号线},28.2115741545426,113.003017920541
