stationid,stationname,lineids,linenames,lat,lng
1,华南北,{1},{地铁1号线},38.9996679953584,121.581238463581
2,海事大学,{1},{地铁1号线},38.8655301939413,121.529630678976
3,黑石礁,{1},{地铁1号线},38.8739833764729,121.552903686063
4,春柳,{1},{地铁1号线},38.9350763900718,121.5775433706
5,星海广场,{1},{地铁1号线},38.883851872468,121.577743397613
6,中长街,{1},{地铁1号线},38.9235932547096,121.587515461745
7,香工街,{1},{地铁1号线},38.9305218812875,121.583615802063
8,会展中心,{1},{地铁1号线},38.8906893571595,121.580776695258
9,大医二院,{1},{地铁1号线},38.8808418621374,121.56595971238
10,大连北站,{1},{地铁1号线},39.0137498835596,121.602786807482
11,华北路,{1},{地铁1号线},39.0077149964667,121.58924806659
12,华南广场,{1},{地铁1号线},38.9888658715793,121.581451932166
13,姚家,{1},{地铁1号线},39.0221906610282,121.614453155
14,学苑广场,{1},{地铁1号线},38.873903924551,121.540486898471
15,富国街,{1},{地铁1号线},38.8975651139272,121.580003955737
16,东纬路,{1},{地铁1号线},38.9556785914009,121.57502567966
17,七贤岭,{1},{地铁1号线},38.856462402116,121.522314563487
18,兴工街,{1},{地铁1号线},38.9160828258189,121.583730269246
19,松江路,{1},{地铁1号线},38.968382764969,121.573100195408
20,千山路,{1},{地铁1号线},38.978186944051,121.576738189529
21,西安路,"{1,2}","{地铁1号线,地铁2号线}",38.9088556055346,121.582495456387
22,河口,"{1,5}","{地铁1号线,地铁12号线}",38.8427494051228,121.508804120098
23,一二九街,{2},{地铁2号线},38.9122222018351,121.617482732293
24,虹港路,{2},{地铁2号线},38.9545800502666,121.538271467363
25,港湾广场,{2},{地铁2号线},38.9257811487797,121.655368727028
26,湾家,{2},{地铁2号线},38.9238552601566,121.536561983256
27,联合路,{2},{地铁2号线},38.9132275425554,121.591542472872
28,红旗西路,{2},{地铁2号线},38.9267416603089,121.528425918608
29,中山广场,{2},{地铁2号线},38.9207123641797,121.639033930161
30,交通大学,{2},{地铁2号线},38.9120496713657,121.566737037876
31,人民广场,{2},{地铁2号线},38.9099619676474,121.605328230524
32,会议中心,{2},{地铁2号线},38.9236500069163,121.670248659356
33,马栏广场,{2},{地铁2号线},38.9194100886073,121.549531242886
34,友好广场,{2},{地铁2号线},38.9188091460303,121.632848223375
35,东海,{2},{地铁2号线},38.9142312425534,121.697673334069
36,青泥洼桥,{2},{地铁2号线},38.9164645630928,121.626533214985
37,东港,{2},{地铁2号线},38.9192592452041,121.684580980645
38,辽师大,{2},{地铁2号线},38.9152835045774,121.558733240937
39,辛寨子,{2},{地铁2号线},38.9703462291779,121.509677495388
40,虹锦路,{2},{地铁2号线},38.9461524673272,121.535189619674
41,机场,{2},{地铁2号线},38.9608417441886,121.534782848304
42,海之韵,{2},{地铁2号线},38.9100493269963,121.710307393946
43,通世泰,{3},{地铁3号线支线},39.0670170266037,121.761969162973
44,十九局,{3},{地铁3号线支线},39.128108811432,121.725015633298
45,和平路,{3},{地铁3号线支线},39.1067219048471,121.720083013343
46,东山路,{3},{地铁3号线支线},39.0911141651522,121.73233434998
47,鸿玮澜山,{3},{地铁3号线支线},39.0811807761373,121.746130100245
48,开发区,"{3,4}","{地铁3号线支线,地铁3号线}",39.0525258649415,121.769337354134
49,九里,"{3,6}","{地铁3号线支线,地铁13号线}",39.147256155873,121.736957970353
50,泉水,{4},{地铁3号线},39.0001990851491,121.611755488357
51,保税区,{4},{地铁3号线},39.0593424395666,121.797162529359
52,双D港,{4},{地铁3号线},39.0626231346579,121.866988303108
53,后盐,{4},{地铁3号线},39.0205466480315,121.632678822477
54,地铁大连站,{4},{地铁3号线},38.92245519135,121.625314094822
55,大连湾,{4},{地铁3号线},39.0344041635848,121.704611062299
56,小窑湾,{4},{地铁3号线},39.0757519273552,121.894113439445
57,金家街,{4},{地铁3号线},38.9670150808894,121.596574422364
58,金石滩,{4},{地铁3号线},39.0855301018686,122.001437787559
59,金马路,{4},{地铁3号线},39.0480683004705,121.738642707015
60,香炉礁,{4},{地铁3号线},38.9277812540957,121.598696550002
61,塔河湾,{5},{地铁12号线},38.8225552490143,121.336180043985
62,龙王塘,{5},{地铁12号线},38.834823270526,121.398087515365
63,旅顺,{5},{地铁12号线},38.8429633701531,121.247520280065
64,铁山,{5},{地铁12号线},38.8010667104751,121.172353496704
65,旅顺新港,{5},{地铁12号线},38.805940878255,121.139583897232
66,蔡大岭,{5},{地铁12号线},38.850142926238,121.489418841543
67,黄泥川,{5},{地铁12号线},38.8548258898244,121.44367294835
68,十三里,{6},{地铁13号线},39.1718012542735,121.753269902852
69,石河黄旗,{6},{地铁13号线},39.3262950316925,121.815912885255
70,石河北海,{6},{地铁13号线},39.3586977201237,121.857806570919
71,普湾体育场,{6},{地铁13号线},39.357064254266,121.83443706424
72,海湾高中,{6},{地铁13号线},39.3975938928702,121.941492593493
73,普兰店振兴街,{6},{地铁13号线},39.4309014526396,121.919095252769
74,普兰店开发区,{6},{地铁13号线},39.4110549179618,121.944278403678
75,二十里堡,{6},{地铁13号线},39.195550047101,121.751624323579
76,三十里堡,{6},{地铁13号线},39.263971098105,121.779625405632
77,长店堡,{6},{地铁13号线},39.3786310172289,121.892287868111
78,大医三院,{6},{地铁13号线},39.3853725999075,121.929212352234
