stationid,stationname,lineids,linenames,lat,lng
1,烈士陵园,{1},{地铁1号线},23.1292691541015,113.280423735842
2,坑口,{1},{地铁1号线},23.081594228407,113.227142581233
3,农讲所,{1},{地铁1号线},23.1293021235904,113.270187594464
4,长寿路,{1},{地铁1号线},23.1209209808192,113.23675025146
5,花地湾,{1},{地铁1号线},23.0897913199286,113.228770867709
6,芳村,{1},{地铁1号线},23.1011514112792,113.230637402654
7,体育中心,{1},{地铁1号线},23.1373684170863,113.322975796132
8,西门口,{1},{地铁1号线},23.1278860869308,113.250617040355
9,公园前,"{1,2}","{地铁1号线,地铁2号线}",23.1279309172911,113.258955801656
10,广州东站,"{1,3}","{地铁1号线,地铁3号线北延段}",23.1528468671408,113.31973462185
11,体育西路,"{1,3,4}","{地铁1号线,地铁3号线北延段,地铁3号线}",23.1337111303511,113.316221792144
12,杨箕,"{1,6}","{地铁1号线,地铁5号线}",23.1303094033525,113.302721635789
13,东山口,"{1,7}","{地铁1号线,地铁6号线}",23.1269238913633,113.290075184683
14,黄沙,"{1,7}","{地铁1号线,地铁6号线}",23.1125795886874,113.235107749107
15,陈家祠,"{1,9}","{地铁1号线,地铁8号线}",23.1283426900392,113.241527999918
16,西塱,"{1,17}","{地铁1号线,广佛线}",23.0687410819092,113.227071784965
17,萧岗,{2},{地铁2号线},23.2009745411684,113.275012391165
18,白云文化广场,{2},{地铁2号线},23.1925083721527,113.270223609447
19,市二宫,{2},{地铁2号线},23.108766987848,113.264775052465
20,三元里,{2},{地铁2号线},23.1618957255768,113.251903439695
21,黄边,{2},{地铁2号线},23.2244429137191,113.281916451339
22,会江,{2},{地铁2号线},23.0155044410111,113.281192103908
23,东晓南,{2},{地铁2号线},23.0738509016823,113.289019678135
24,江泰路,{2},{地铁2号线},23.0847347279837,113.275215596925
25,越秀公园,{2},{地铁2号线},23.1423769729044,113.256153606176
26,南浦,{2},{地铁2号线},23.0364451104808,113.288187140277
27,江夏,{2},{地铁2号线},23.2138651483259,113.277849214179
