stationid,stationname,lineids,linenames,lat,lng
1,迪士尼,{1},{迪士尼线},22.3153683,114.0450645
2,欣澳,"{1,3}","{迪士尼线,东涌线}",22.33194225,114.0290471
3,大学,{2},{东铁线},22.41395281,114.2100027
4,太和,{2},{东铁线},22.45119927,114.1609851
5,旺角东,{2},{东铁线},22.32175135,114.1725238
6,粉岭,{2},{东铁线},22.49214305,114.1387207
7,上水,{2},{东铁线},22.50130198,114.1279717
8,大埔墟,{2},{东铁线},22.44480224,114.1701527
9,火炭,{2},{东铁线},22.39508711,114.1980312
10,会展,{2},{东铁线},22.28090087,114.1751614
11,沙田,{2},{东铁线},22.38222599,114.1872629
12,金钟,"{2,4,9,11}","{东铁线,港岛线,南港岛线,荃湾线}",22.27891482,114.1656345
13,九龙塘,"{2,5}","{东铁线,观塘线}",22.33713592,114.1763431
14,大围,"{2,10}","{东铁线,屯马线}",22.37328125,114.1785139
15,红磡,"{2,10}","{东铁线,屯马线}",22.30309277,114.1818009
16,东涌,{3},{东涌线},22.28907833,113.9413496
17,奥运,{3},{东涌线},22.31822625,114.1599896
18,青衣,"{3,6}","{东涌线,机场快线}",22.35858803,114.1068673
19,九龙,"{3,6}","{东涌线,机场快线}",22.3051824,114.16165
20,香港,"{3,6}","{东涌线,机场快线}",22.28443707,114.1583856
21,南昌,"{3,10}","{东涌线,屯马线}",22.32671061,114.1539792
22,荔景,"{3,11}","{东涌线,荃湾线}",22.34819805,114.1264382
23,湾仔,{4},{港岛线},22.27714474,114.1730869
24,上环,{4},{港岛线},22.28649721,114.1523953
25,坚尼地城,{4},{港岛线},22.28129335,114.1288888
26,天后,{4},{港岛线},22.2825912,114.1918695
27,太古,{4},{港岛线},22.28468488,114.2162344
28,杏花邨,{4},{港岛线},22.27670221,114.2397595
29,柴湾,{4},{港岛线},22.26395524,114.2367804
30,炮台山,{4},{港岛线},22.28838648,114.1939734
31,筲箕湾,{4},{港岛线},22.27908578,114.2287974
32,西湾河,{4},{港岛线},22.28201967,114.2224786
33,西营盘,{4},{港岛线},22.28544286,114.1424667
34,铜锣湾,{4},{港岛线},22.2802988,114.1840036
35,香港大学,{4},{港岛线},22.28416396,114.1356596
36,北角,"{4,7,8}","{港岛线,将军澳线,将军澳线支线}",22.29100734,114.2004271
37,鲗鱼涌,"{4,7,8}","{港岛线,将军澳线,将军澳线支线}",22.28779827,114.2098782
38,中环,"{4,11}","{港岛线,荃湾线}",22.2817046,114.1591364
39,石硖尾,{5},{观塘线},22.33177965,114.168799
40,彩虹,{5},{观塘线},22.33537039,114.2088508
41,黄大仙,{5},{观塘线},22.34171609,114.1939878
42,观塘,{5},{观塘线},22.31212352,114.2265126
43,乐富,{5},{观塘线},22.33796434,114.1875091
44,九龙湾,{5},{观塘线},22.32356174,114.2140557
45,蓝田,{5},{观塘线},22.30730393,114.2325114
46,黄埔,{5},{观塘线},22.30515579,114.1893857
47,牛头角,{5},{观塘线},22.31556785,114.2185873
48,调景岭,"{5,7,8}","{观塘线,将军澳线,将军澳线支线}",22.30453013,114.2531205
49,油塘,"{5,7,8}","{观塘线,将军澳线,将军澳线支线}",22.29789415,114.2370039
50,钻石山,"{5,10}","{观塘线,屯马线}",22.34014754,114.2015304
51,何文田,"{5,10}","{观塘线,屯马线}",22.30918596,114.1823376
52,旺角,"{5,11}","{观塘线,荃湾线}",22.31965404,114.1693058
53,油麻地,"{5,11}","{观塘线,荃湾线}",22.31335027,114.1706046
54,太子,"{5,11}","{观塘线,荃湾线}",22.3245675,114.1682938
55,机场,{6},{机场快线},22.3155306,113.9365341
56,博览馆,{6},{机场快线},22.32164643,113.9425899
57,康城,{7},{将军澳线},22.29520101,114.2689344
58,将军澳,"{7,8}","{将军澳线,将军澳线支线}",22.30744191,114.2601035
59,坑口,"{7,8}","{将军澳线,将军澳线支线}",22.31555824,114.2641737
