stationid,stationname,lineids,linenames,lat,lng
1,文泽路,{1},{地铁1号线},30.3124488486573,120.345256537775
2,向阳路,{1},{地铁1号线},30.2625268552102,120.438102883596
3,龙翔桥,{1},{地铁1号线},30.2571087402251,120.159339902417
4,七堡,{1},{地铁1号线},30.3025068084336,120.236672134768
5,高沙路,{1},{地铁1号线},30.3116824628644,120.330536956927
6,下沙江滨,{1},{地铁1号线},30.2898604549171,120.377142905147
7,下沙西,{1},{地铁1号线},30.3123634977035,120.307957565027
8,闸弄口,{1},{地铁1号线},30.2868609973852,120.18781100098
9,金沙湖,{1},{地铁1号线},30.311775288696,120.321009851419
10,西湖文化广场,{1},{地铁1号线},30.2826662190356,120.161154584426
11,西兴,{1},{地铁1号线},30.1895615686408,120.216257763083
12,九和路,{1},{地铁1号线},30.3082508340488,120.248374057557
13,九堡,{1},{地铁1号线},30.3101295488646,120.261853829421
14,云水,{1},{地铁1号线},30.3048321673057,120.377265506051
15,滨和路,{1},{地铁1号线},30.2020887334303,120.213093522203
16,湘湖,{1},{地铁1号线},30.1700890989558,120.229815010117
17,港城大道,{1},{地铁1号线},30.2728499507977,120.420931062588
18,武林广场,{1},{地铁1号线},30.2747291664916,120.159682283547
19,杭州大会展中心,{1},{地铁1号线},30.2732249572636,120.40754213275
20,南阳,{1},{地铁1号线},30.2723504938032,120.431739889145
21,定安路,{1},{地铁1号线},30.2483425256648,120.163076565497
22,婺江路,{1},{地铁1号线},30.2393858850854,120.186259064476
23,凤起路,"{1,2}","{地铁1号线,地铁2号线}",30.2651928004809,120.158645020716
24,彭埠,"{1,4}","{地铁1号线,地铁4号线}",30.2964759990711,120.2189376376
25,火车东站,"{1,4}","{地铁1号线,地铁4号线}",30.2934748399485,120.20844067472
26,近江,"{1,4}","{地铁1号线,地铁4号线}",30.2334278755033,120.193060620984
27,滨康路,"{1,5}","{地铁1号线,地铁5号线}",30.1856604850648,120.226813000185
28,城站,"{1,5}","{地铁1号线,地铁5号线}",30.2469372484423,120.176271704229
29,打铁关,"{1,5}","{地铁1号线,地铁5号线}",30.2876233414102,120.172183600718
30,江陵路,"{1,6}","{地铁1号线,地铁6号线}",30.2116490136179,120.212049651282
31,萧山国际机场,"{1,7}","{地铁1号线,地铁7号线}",30.2384021648703,120.430049759067
32,文海南路,"{1,8}","{地铁1号线,地铁8号线}",30.3131729447525,120.371629099335
33,客运中心,"{1,9}","{地铁1号线,地铁9号线}",30.3134708034085,120.274140159667
34,古翠路,{2},{地铁2号线},30.2844534754126,120.113012386451
35,学院路,{2},{地铁2号线},30.2854428433092,120.124743298458
36,杭发厂,{2},{地铁2号线},30.1733419318378,120.262580999584
37,杜甫村,{2},{地铁2号线},30.3612377058099,120.051853144094
38,朝阳,{2},{地铁2号线},30.1246227016013,120.263681393086
39,三墩,{2},{地铁2号线},30.3224077276166,120.088184232517
40,下宁桥,{2},{地铁2号线},30.2855892452779,120.135302082374
41,曹家桥,{2},{地铁2号线},30.1370699615539,120.263412374249
42,飞虹路,{2},{地铁2号线},30.2334430499459,120.258808868709
43,中河北路,{2},{地铁2号线},30.266991143913,120.167438787095
44,文新,{2},{地铁2号线},30.2917341911028,120.093337110223
45,丰潭路,{2},{地铁2号线},30.2841589081337,120.104533357198
46,振宁路,{2},{地铁2号线},30.2200858211872,120.264826237598
47,虾龙圩,{2},{地铁2号线},30.3117188902973,120.09151719521
48,良渚,{2},{地铁2号线},30.3613620365425,120.038022578723
49,建设一路,{2},{地铁2号线},30.1964878629298,120.262070521873
50,盈丰路,{2},{地铁2号线},30.239460100251,120.247810487733
51,白洋,{2},{地铁2号线},30.3535975994238,120.068119779514
52,庆菱路,{2},{地铁2号线},30.2601323230415,120.188508190377
53,潘水,{2},{地铁2号线},30.1506028911037,120.263170553027
54,人民路,{2},{地铁2号线},30.16184267193,120.262927040821
55,墩祥街,{2},{地铁2号线},30.3339497810917,120.082779618399
56,庆春广场,{2},{地铁2号线},30.2600087367755,120.200098943413
57,沈塘桥,{2},{地铁2号线},30.2814868250629,120.145408081998
58,武林门,{2},{地铁2号线},30.2722843652355,120.149816339391
59,金家渡,"{2,4}","{地铁2号线,地铁4号线}",30.3411967600298,120.078761630887
60,钱江路,"{2,4,9}","{地铁2号线,地铁4号线,地铁9号线}",30.2579633811447,120.208641554013
61,人民广场,"{2,5}","{地铁2号线,地铁5号线}",30.1828824939753,120.262013289811
62,三坝,"{2,5}","{地铁2号线,地铁5号线}",30.3026711767715,120.093432235719
63,建国北路,"{2,5}","{地铁2号线,地铁5号线}",30.2669440169125,120.176320862977
64,钱江世纪城,"{2,6}","{地铁2号线,地铁6号线}",30.242637580436,120.238895096423
65,建设三路,"{2,7}","{地铁2号线,地铁7号线}",30.2069251642479,120.263203888508
66,潮王路,{3},{地铁3号线},30.2925114447655,120.154113631792
67,丁桥,{3},{地铁3号线},30.3581982345025,120.230119318018
68,华丰路,{3},{地铁3号线},30.3425750381971,120.199472683071
69,华鹤街,{3},{地铁3号线},30.372815422849,120.233410439041
70,星桥,{3},{地铁3号线},30.3918844311301,120.258911310563
71,黄鹤山,{3},{地铁3号线},30.3831354221778,120.241741628007
72,大关,{3},{地铁3号线},30.3099819888562,120.144217952117
73,汽轮广场,{3},{地铁3号线},30.3370858836753,120.183755382229
74,同协路,{3},{地铁3号线},30.3468178679777,120.207407847116
75,香积寺,{3},{地铁3号线},30.3024423430538,120.14398457673
76,桃花湖公园,{3},{地铁3号线},30.353819500194,120.216896378525
77,新天地街,"{3,4}","{地铁3号线,地铁4号线}",30.3236794222499,120.174836243152
78,善贤,"{3,5}","{地铁3号线,地铁5号线}",30.3195638255025,120.155677252798
79,储运路,{4},{地铁4号线},30.3560693594857,120.123455050037
80,城星路,{4},{地铁4号线},30.2421195448706,120.202408430403
81,池华街,{4},{地铁4号线},30.3301868387441,120.063999844258
82,江锦路,{4},{地铁4号线},30.2521068950818,120.210883893216
83,甬江路,{4},{地铁4号线},30.2258021112252,120.184954019098
84,新塘,{4},{地铁4号线},30.2786368076866,120.202729023116
85,杨家墩,{4},{地铁4号线},30.1701905573854,120.144162651426
86,景芳,{4},{地铁4号线},30.2675062894299,120.203223095509
87,明石路,{4},{地铁4号线},30.3059918932853,120.222759879012
88,新风,{4},{地铁4号线},30.2896908020812,120.203112170873
89,吴家角港,{4},{地铁4号线},30.3533307511305,120.164739880279
90,复兴路,{4},{地铁4号线},30.2126057359214,120.158914852559
91,黎明,{4},{地铁4号线},30.3176846091738,120.219094509697
92,联庄,{4},{地铁4号线},30.1885927962242,120.147262849659
93,好运街,{4},{地铁4号线},30.3519628006476,120.094871711614
94,笕桥老街,{4},{地铁4号线},30.3254469163993,120.214734442446
95,皋亭坝,{4},{地铁4号线},30.3325039669626,120.167438128741
96,平安桥,{4},{地铁4号线},30.3593446970903,120.138885461076
97,浦沿,{4},{地铁4号线},30.1610044757907,120.149182839056
98,华中南路,{4},{地铁4号线},30.3263089746267,120.19555057678
99,水澄桥,{4},{地铁4号线},30.2063311688637,120.147328508452
100,桃源街,{4},{地铁4号线},30.3440044031829,120.173821579547
101,南星桥,"{4,5}","{地铁4号线,地铁5号线}",30.2194907513088,120.173058496891
102,中医药大学,"{4,6}","{地铁4号线,地铁6号线}",30.1782396504685,120.141595512868
103,市民中心,"{4,7}","{地铁4号线,地铁7号线}",30.2462659971125,120.206800900343
104,杭行路,"{4,10}","{地铁4号线,地铁10号线}",30.3560991615179,120.110061867188
105,葛巷,{5},{地铁5号线},30.2726544431575,119.994112380241
106,大运河,{5},{地铁5号线},30.3216320272012,120.127055235273
107,姑娘桥,{5},{地铁5号线},30.1781835912628,120.326040493992
108,双桥,{5},{地铁5号线},30.1754278053077,120.304416510547
109,宝善桥,{5},{地铁5号线},30.2742316274301,120.175217018994
110,博奥路,{5},{地铁5号线},30.1848242171384,120.239569041487
111,万安桥,{5},{地铁5号线},30.2566580991317,120.17608659386
112,拱宸桥东,{5},{地铁5号线},30.319341088771,120.143218706887
113,创景路,{5},{地铁5号线},30.2809128103882,119.993743558677
114,杭师大仓前,{5},{地铁5号线},30.291033568421,120.012396914093
115,杭氧,{5},{地铁5号线},30.2964194765065,120.174310583733
116,永福,{5},{地铁5号线},30.2938545654295,120.022104009852
117,江晖路,{5},{地铁5号线},30.1840146870516,120.207865918449
118,浙大紫金港,{5},{地铁5号线},30.2964248900647,120.072071942641
119,候潮门,{5},{地铁5号线},30.2290013285493,120.16840057074
120,五常,{5},{地铁5号线},30.2987256128653,120.0406023886
121,火车南站,{5},{地铁5号线},30.175082158765,120.29290932008
122,聚才路,{5},{地铁5号线},30.1852857882993,120.193584788804
123,育才北路,{5},{地铁5号线},30.1831633751939,120.273322063019
124,良睦路,{5},{地铁5号线},30.2880559990206,120.002498637102
125,萍水街,{5},{地铁5号线},30.3050933317248,120.107758149545
126,蒋村,{5},{地铁5号线},30.2970403650007,120.063278981437
127,西文街,{5},{地铁5号线},30.3183974244382,120.165658585975
128,通惠中路,{5},{地铁5号线},30.1829024401378,120.280610992471
129,金星,{5},{地铁5号线},30.2678166619537,119.961777189668
130,金鸡路,{5},{地铁5号线},30.1841957781089,120.248914606326
131,东新园,{5},{地铁5号线},30.3106715078029,120.17132043792
132,长河,"{5,6}","{地铁5号线,地铁6号线}",30.1993754823505,120.189626039676
133,江城路,"{5,7}","{地铁5号线,地铁7号线}",30.2410677291559,120.173186433243
134,和睦,"{5,10}","{地铁5号线,地铁10号线}",30.3120828123433,120.114917418688
135,绿汀路,"{5,11}","{地铁5号线,地铁16号线}",30.2626369446823,119.987375327742
136,公望街,{6},{地铁6号线},30.0681324954361,119.928843578839
137,星民,{6},{地铁6号线},30.2155220440441,120.219647690963
138,桂花西路,{6},{地铁6号线},30.0498789063014,119.929871357055
