stationid,stationname,lineids,linenames,lat,lng
1,工研院,{1},{地铁1号线},36.4983156766354,116.789251413347
2,创新谷,{1},{地铁1号线},36.5104256029262,116.799268948931
3,大学城,{1},{地铁1号线},36.5524394489894,116.798058190197
4,方特,{1},{地铁1号线},36.6822121511748,116.88942062011
5,大杨,{1},{地铁1号线},36.650856265789,116.88894169699
6,赵营,{1},{地铁1号线},36.5905673020813,116.828596050944
7,济南西站,{1},{地铁1号线},36.6688568215733,116.888574696198
8,紫薇路,{1},{地铁1号线},36.5688700619037,116.804671971401
9,园博园,{1},{地铁1号线},36.5357255440272,116.79426517403
10,玉符河,{1},{地铁1号线},36.6103481948543,116.852109349221
11,王府庄,"{1,2}","{地铁1号线,地铁2号线}",36.6236400815433,116.876121426007
12,八里桥,{2},{地铁2号线},36.6700479492738,116.956621971139
13,济南站北,{2},{地铁2号线},36.6768906133786,116.979706709834
14,济泺路,{2},{地铁2号线},36.6843108535804,116.988386230116
15,凤凰路,{2},{地铁2号线},36.7081758922229,117.13977527944
16,益康路,{2},{地铁2号线},36.6732962829011,116.966950050853
17,祝甸,{2},{地铁2号线},36.6970029763186,117.076432150991
18,老屯,{2},{地铁2号线},36.6658292743774,116.948298834431
19,腊山,{2},{地铁2号线},36.652038377979,116.913537596519
20,腊山南,{2},{地铁2号线},36.6247583925823,116.896649363236
21,历山路,{2},{地铁2号线},36.6881329285706,117.035459614876
22,鲍山,{2},{地铁2号线},36.7088846446666,117.182023545432
23,七里堡,{2},{地铁2号线},36.6902149339405,117.0616714954
24,姜家庄,{2},{地铁2号线},36.7059942180828,117.121451139615
25,二环西路,{2},{地铁2号线},36.6633232717578,116.927087854603
26,彭家庄,{2},{地铁2号线},36.7093670231804,117.223911172458
27,北园,{2},{地铁2号线},36.6859806150701,117.028208417274
28,生产路,{2},{地铁2号线},36.6839694075229,117.010986562948
29,八涧堡,"{2,3}","{地铁2号线,地铁3号线}",36.705119076523,117.097731974294
30,龙洞,{3},{地铁3号线},36.6179549504712,117.111638965298
31,奥体中心,{3},{地铁3号线},36.66107958469,117.105295639834
32,孟家庄,{3},{地铁3号线},36.6331965298098,117.114009431448
33,张马屯,{3},{地铁3号线},36.7182028442181,117.108502725368
34,济南东站,{3},{地铁3号线},36.7483672191666,117.153904800752
35,滩头,{3},{地铁3号线},36.7664319671874,117.159032214098
36,王舍人,{3},{地铁3号线},36.7197380066584,117.132356727838
37,礼耕路,{3},{地铁3号线},36.6682353311123,117.105038955276
38,花园东路,{3},{地铁3号线},36.6918177334022,117.100420811216
39,龙奥大厦,{3},{地铁3号线},36.6500740112742,117.108404419664
40,丁家庄,{3},{地铁3号线},36.6770847696987,117.103741926172
