stationid,stationname,lineids,linenames,lat,lng
1,白龙潭,{1},{地铁1号线},24.8777400950945,102.85055699083
2,宜和路,{1},{地铁1号线},24.8877912427843,102.843579348035
3,昆明火车站,{1},{地铁1号线},25.0165017738848,102.722273063095
4,星耀路,{1},{地铁1号线},24.9600346941554,102.766626756609
5,春融街,{1},{地铁1号线},24.8870441589802,102.823945891062
6,晓东村,{1},{地铁1号线},24.9884538273666,102.760476103735
7,日新路,{1},{地铁1号线},25.0043601509472,102.733505308882
8,南部汽车站,{1},{地铁1号线},24.9320588463823,102.773768621499
9,驼峰街,{1},{地铁1号线},24.8757010412791,102.8279789373
10,新亚洲体育城,{1},{地铁1号线},24.9500948188906,102.768169267311
11,福德,{1},{地铁1号线},25.0098636100207,102.728887704124
12,市级行政中心清风,{1},{地铁1号线},24.8851422708448,102.834733097031
13,谊康南路,{1},{地铁1号线},24.8506979689108,102.836913055786
14,昌宏西路,{1},{地铁1号线},24.9892448037746,102.74956251279
15,巫家坝,{1},{地铁1号线},25.0000324843356,102.740128568235
16,大学城,{1},{地铁1号线},24.839205536069,102.841026373975
17,大学城南,{1},{地铁1号线},24.8251429729265,102.824450410325
18,珥季路,{1},{地铁1号线},24.9757242295965,102.765387865179
19,环城南路,"{1,2}","{地铁1号线,地铁2号线}",25.0275056660779,102.719358731179
20,昆明南火车站,"{1,4}","{地铁1号线,地铁4号线}",24.8738740475072,102.858546562863
21,联大街,"{1,4}","{地铁1号线,地铁4号线}",24.8629640396354,102.833054182658
22,斗南,"{1,4}","{地铁1号线,地铁4号线}",24.9114060908665,102.790669055809
23,龙头街,{2},{地铁2号线},25.1148543818466,102.752241846465
24,穿心鼓楼,{2},{地铁2号线},25.052489830631,102.71795694474
25,白云路,{2},{地铁2号线},25.0691947137513,102.72246398772
26,羊肠村,{2},{地铁2号线},25.1044501918593,102.740682602136
27,北辰,{2},{地铁2号线},25.084107460754,102.731106687631
28,北部汽车站,{2},{地铁2号线},25.1102152250596,102.76174893769
29,霖雨桥,{2},{地铁2号线},25.0962264970082,102.737621264096
30,交三桥,{2},{地铁2号线},25.0456821741855,102.718020744894
31,金星,{2},{地铁2号线},25.078804777338,102.726141426046
32,司家营,{2},{地铁2号线},25.1126088934835,102.744109063069
33,东风广场,"{2,3}","{地铁2号线,地铁3号线}",25.0411440278178,102.718108584629
34,火车北站,"{2,4}","{地铁2号线,地铁4号线}",25.0593895959094,102.720853396604
35,塘子巷,"{2,5}","{地铁2号线,地铁6号线}",25.0362612537444,102.718493793211
36,普坪村,{3},{地铁3号线},25.0083548726599,102.619918051529
37,五一路,{3},{地铁3号线},25.0406563053484,102.704577244774
38,大渔路,{3},{地铁3号线},25.0307962749192,102.634341381109
39,太平村,{3},{地铁3号线},25.0392461137189,102.759370646974
40,市体育馆,{3},{地铁3号线},25.0475393768749,102.686185492703
41,拓东体育馆,{3},{地铁3号线},25.0411257609852,102.728379649056
42,昌源中路,{3},{地铁3号线},25.0497147823883,102.655611800399
43,梁家河,{3},{地铁3号线},25.0481266685634,102.676637613472
44,潘家湾,{3},{地铁3号线},25.0467951879492,102.693931132696
45,眠山,{3},{地铁3号线},25.0502500991983,102.648113551706
46,石咀,{3},{地铁3号线},25.0211207199598,102.62817716935
47,虹桥,{3},{地铁3号线},25.0391490711863,102.77176654388
48,西山公园,{3},{地铁3号线},24.9872394746992,102.616757245526
49,西苑,{3},{地铁3号线},25.048966109579,102.665269654557
50,西部汽车站,{3},{地铁3号线},25.0383278856494,102.637428124531
51,车家壁,{3},{地铁3号线},24.9973044911776,102.614387637751
52,金马寺,{3},{地铁3号线},25.0387548844477,102.750209671648
53,大树营,"{3,4}","{地铁3号线,地铁4号线}",25.0397815955061,102.739301342241
54,东部汽车站,"{3,5}","{地铁3号线,地铁6号线}",25.039147204431,102.787162805323
55,小菜园,{4},{地铁4号线},25.0635944212554,102.704457281277
56,小屯,{4},{地铁4号线},25.0750251771058,102.67227348747
57,白龙路,{4},{地铁4号线},25.0526297968359,102.733330131088
58,金川路,{4},{地铁4号线},25.1023061757485,102.656210039214
59,吴家营,{4},{地铁4号线},24.8694816430887,102.84754018261
60,祥丰街,{4},{地铁4号线},24.8606819767823,102.801426214354
61,大河埂,{4},{地铁4号线},25.0932760609881,102.653973888258
62,羊甫头,{4},{地铁4号线},24.9806442073429,102.784360514471
63,玉缘路,{4},{地铁4号线},24.9677142192604,102.785195537321
64,广卫,{4},{地铁4号线},24.9515833443897,102.784122464822
65,和甸营,{4},{地铁4号线},25.0178710600874,102.761281239817
66,梅子村,{4},{地铁4号线},24.8955836274191,102.784438131942
67,海屯路,{4},{地铁4号线},25.0790711414599,102.662979234473
68,古城,{4},{地铁4号线},24.8847726900403,102.791337166562
69,牛头山,{4},{地铁4号线},24.8569671072235,102.813026633398
70,牛街庄,{4},{地铁4号线},25.008366563859,102.778059170484
71,塔密,{4},{地铁4号线},24.9405024240276,102.78603785528
72,苏家塘,{4},{地铁4号线},25.0666388912979,102.692327383523
73,菊花村,{4},{地铁4号线},25.0327326008798,102.741816892884
74,金桂街,{4},{地铁4号线},24.9041946477129,102.78889861745
75,金鼎山北路,{4},{地铁4号线},25.0672225920794,102.68348984985
76,可乐村,{4},{地铁4号线},24.8770490600813,102.795206024207
77,朱家村,{4},{地铁4号线},24.99654263091,102.782553922785
78,菊华,"{4,5}","{地铁4号线,地铁6号线}",25.0270677779095,102.748349085344
79,大板桥,{5},{地铁6号线},25.0563899997105,102.874965507575
80,岔街,{5},{地铁6号线},25.0343662516001,102.731998362839
81,机场中心,{5},{地铁6号线},25.0989685189154,102.926502103495
82,机场前,{5},{地铁6号线},25.0878790702505,102.912098047633
83,东郊路,{5},{地铁6号线},25.0309606369032,102.739631078604
