stationid,stationname,lineids,linenames,lat,lng
1,珠江路,{1},{地铁1号线},32.0531398256859,118.779013982947
2,新模范马路,{1},{地铁1号线},32.0819503539467,118.778623576674
3,天印大道,{1},{地铁1号线},31.9398907731776,118.858410708246
4,迈皋桥,{1},{地铁1号线},32.1047797118775,118.804476781086
5,南京交院,{1},{地铁1号线},31.915200852411,118.899639804547
6,张府园,{1},{地铁1号线},32.0330365187343,118.778798992841
7,红山动物园,{1},{地铁1号线},32.0978367976963,118.796871212441
8,中华门,{1},{地铁1号线},32.008978549937,118.769494110878
9,天隆寺,{1},{地铁1号线},31.9813390261568,118.757901151303
10,中国药科大学,{1},{地铁1号线},31.8999295804541,118.909086168566
11,软件大道,{1},{地铁1号线},31.9792148918231,118.769351262951
12,三山街,{1},{地铁1号线},32.0249103041801,118.776501129518
13,胜太路,{1},{地铁1号线},31.9459043952602,118.816460047856
14,南医大·江苏经贸学院,{1},{地铁1号线},31.9358813348376,118.885072200694
15,河定桥,{1},{地铁1号线},31.9541628568254,118.815038832604
16,花神庙,{1},{地铁1号线},31.9799250522313,118.780396235033
17,百家湖,{1},{地铁1号线},31.9339853625748,118.815866536034
18,玄武门,{1},{地铁1号线},32.0721502653909,118.778958513465
19,双龙大道,{1},{地铁1号线},31.9660606780721,118.812023993315
20,小龙湾,{1},{地铁1号线},31.9318587991226,118.827757870082
21,龙眠大道,{1},{地铁1号线},31.9421331273089,118.871975118035
22,竹山路,{1},{地铁1号线},31.9341159458449,118.839480074668
23,新街口,"{1,2}","{地铁1号线,地铁2号线}",32.0431058543093,118.778968105454
24,南京站,"{1,3}","{地铁1号线,地铁3号线}",32.0903049574334,118.791359006551
25,南京南站,"{1,3,6,7}","{地铁1号线,地铁3号线,地铁S1号线,地铁S3号线}",31.9718302851087,118.792296225322
26,鼓楼,"{1,4}","{地铁1号线,地铁4号线}",32.0607626358633,118.778334501066
27,安德门,"{1,5}","{地铁1号线,地铁10号线}",31.9932847371621,118.756662086819
28,仙鹤门,{2},{地铁2号线},32.0871198015011,118.89985926638
29,汉中门,{2},{地铁2号线},32.0447639799032,118.761813640712
30,鱼嘴,{2},{地铁2号线},31.9689475282345,118.66489117949
31,上海路,{2},{地铁2号线},32.0442506601047,118.770837407313
32,下马坊,{2},{地铁2号线},32.039665897897,118.843395213601
33,云锦路,{2},{地铁2号线},32.036946544503,118.742349636238
34,仙林中心,{2},{地铁2号线},32.1010112470587,118.925384597117
35,明故宫,{2},{地铁2号线},32.0412956992847,118.814295536465
36,青莲街,{2},{地铁2号线},31.9642948013524,118.686686276225
37,雨润大街,{2},{地铁2号线},31.9856612523904,118.717451845312
38,兴隆大街,{2},{地铁2号线},32.0172974772534,118.731226236201
39,集庆门大街,{2},{地铁2号线},32.0305578928884,118.734329149162
40,钟灵街,{2},{地铁2号线},32.0413804651922,118.86435418098
41,南大仙林校区,{2},{地铁2号线},32.1109545999931,118.954200041875
42,西安门,{2},{地铁2号线},32.0422822084715,118.800553792435
43,螺塘路,{2},{地铁2号线},31.9627886408944,118.696191551255
44,莫愁湖,{2},{地铁2号线},32.0395032019406,118.753824328774
45,苜蓿园,{2},{地铁2号线},32.0421847629656,118.829994903499
46,羊山公园,{2},{地铁2号线},32.1060830280355,118.935014774689
47,经天路,{2},{地铁2号线},32.1183231746997,118.971498449221
48,天保街,{2},{地铁2号线},31.9680731128067,118.67298417774
49,奥体东,{2},{地铁2号线},32.0067787519061,118.723984004758
50,孝陵卫,{2},{地铁2号线},32.0376590972103,118.853279022457
51,学则路,{2},{地铁2号线},32.0935800316962,118.911831559185
52,大行宫,"{2,3}","{地铁2号线,地铁3号线}",32.0435720061302,118.789634283172
53,金马路,"{2,4}","{地铁2号线,地铁4号线}",32.0738250226371,118.901195000855
54,元通,"{2,5}","{地铁2号线,地铁10号线}",31.9978775957345,118.716299497767
55,油坊桥,"{2,7}","{地铁2号线,地铁S3号线}",31.9681100405655,118.715291613797
56,马群,"{2,8}","{地铁2号线,地铁S6号线}",32.0518660108531,118.889550896527
57,夫子庙,{3},{地铁3号线},32.0263313675043,118.78577830923
58,浮桥·华海3C广场,{3},{地铁3号线},32.0514423203841,118.791162404211
59,东大成贤学院,{3},{地铁3号线},32.1585175850881,118.702629834559
60,明发广场,{3},{地铁3号线},31.9792264503291,118.795375919393
61,宏运大道,{3},{地铁3号线},31.9615332680815,118.798602347287
62,小市,{3},{地铁3号线},32.0968829248855,118.780424851653
63,东大九龙湖校区,{3},{地铁3号线},31.8981709803526,118.825453488628
64,五塘广场,{3},{地铁3号线},32.1126085488947,118.772436927889
65,上元门,{3},{地铁3号线},32.1176651339159,118.764684037054
66,秣周东路,{3},{地铁3号线},31.8711061856124,118.826199153381
67,常府街,{3},{地铁3号线},32.035758044828,118.787189719524
68,九龙湖,{3},{地铁3号线},31.9179884378965,118.81601804313
69,大明路,{3},{地铁3号线},31.9880051507803,118.795004250617
70,星火路,{3},{地铁3号线},32.1594772723249,118.691527154438
71,天元西路,{3},{地铁3号线},31.9301899016439,118.803449368338
72,天润城,{3},{地铁3号线},32.1529184375917,118.728924147545
73,雨花门,{3},{地铁3号线},32.0059938937012,118.787157728825
74,南京林业大学·新庄,{3},{地铁3号线},32.0786931576224,118.805152648936
75,林场,{3},{地铁3号线},32.1657819320813,118.666241006503
76,柳洲东路,{3},{地铁3号线},32.1421715383154,118.741041904978
77,武定门,{3},{地铁3号线},32.0157949465265,118.789483002397
78,卡子门,{3},{地铁3号线},31.9970133549247,118.790344223761
