stationid,stationname,lineids,linenames,lat,lng
1,新港山路,{1},{地铁1号线},35.9729609159559,120.239210617283
2,凤凰岛,{1},{地铁1号线},35.9992844792713,120.288278743877
3,凤岗路,{1},{地铁1号线},36.2856438156923,120.381077503247
4,薛家岛,{1},{地铁1号线},35.9615478544086,120.214327075367
5,北岭,{1},{地铁1号线},36.1161911186273,120.35608047838
6,南北屯,{1},{地铁1号线},35.9774285004565,120.258916165512
7,南岭,{1},{地铁1号线},36.2009531726537,120.394374195219
8,东郭庄,{1},{地铁1号线},36.3348470250962,120.407439824326
9,胜利桥(纺织谷),{1},{地铁1号线},36.1476933726723,120.377211896484
10,团岛,{1},{地铁1号线},36.0569969075163,120.295001294482
11,石油大学,{1},{地铁1号线},35.9453028737256,120.16688936222
12,瑞金路,{1},{地铁1号线},36.2271020853471,120.390063429659
13,王家港,{1},{地铁1号线},35.9422243091458,120.157030666253
14,天目山路,{1},{地铁1号线},35.964976096693,120.223315159289
15,太行山路,{1},{地铁1号线},35.9499802398445,120.174550461004
16,中山路,{1},{地铁1号线},36.0720402556541,120.31671331229
17,安子,{1},{地铁1号线},35.9716251543114,120.228678659272
18,安顺路,{1},{地铁1号线},36.1593340105179,120.370936530481
19,小寨子,{1},{地铁1号线},36.2959526781583,120.385035495102
20,小村庄,{1},{地铁1号线},36.1052106816033,120.355876660987
21,山里,{1},{地铁1号线},35.986128588613,120.282866686476
22,广饶路,{1},{地铁1号线},36.0753114613102,120.337632948806
23,海泊桥(海慈医疗),{1},{地铁1号线},36.0942216899082,120.356334683637
24,中心医院,{1},{地铁1号线},36.1418010421603,120.369680377342
25,丁家河,{1},{地铁1号线},35.9582660521723,120.195883493038
26,正阳中路,{1},{地铁1号线},36.3062700039026,120.385666014963
27,流亭,{1},{地铁1号线},36.2682300400007,120.383975074272
28,水清沟,{1},{地铁1号线},36.1276952766059,120.365728506227
29,永年路,{1},{地铁1号线},36.1820769613542,120.390620719551
30,仙家寨(汽车北站),{1},{地铁1号线},36.239572021665,120.387463548525
31,沟岔,{1},{地铁1号线},36.3268854643501,120.3952456139
32,沧安路,{1},{地铁1号线},36.1797990569405,120.376909673935
33,遵义路,{1},{地铁1号线},36.2140873625407,120.391973885825
34,兴国路,{1},{地铁1号线},36.1908448769041,120.396497282405
35,农业大学,{1},{地铁1号线},36.3153613654562,120.385780969981
36,观象山(市立医院),{1},{地铁1号线},36.0728908161101,120.324725591967
37,台东,"{1,2}","{地铁1号线,地铁2号线}",36.0820198500288,120.348978426074
38,青岛站,"{1,3}","{地铁1号线,地铁3号线}",36.0637191404058,120.309722542657
39,青岛北站,"{1,3,4}","{地铁1号线,地铁3号线,地铁8号线}",36.1695164147863,120.371966483333
40,井冈山路,"{1,6}","{地铁1号线,地铁13号线}",35.9535960996974,120.182431037478
41,海川路,{2},{地铁2号线},36.0762648600281,120.438457367291
42,华楼山路,{2},{地铁2号线},36.1489022040885,120.43445750563
43,海安路,{2},{地铁2号线},36.0855852025671,120.445831623588
44,高雄路,{2},{地铁2号线},36.0658911703637,120.405825027023
45,李村公园,{2},{地铁2号线},36.1675307262931,120.420883305771
