stationid,stationname,lineids,linenames,lat,lng
1,中山北路,{1},{地铁1号线},31.260655415605,121.454636733526
2,宝安公路,{1},{地铁1号线},31.3712762767974,121.426395601866
3,友谊西路,{1},{地铁1号线},31.3829573747301,121.42335165347
4,锦江乐园,{1},{地铁1号线},31.1438605932807,121.409519279688
5,延长路,{1},{地铁1号线},31.2736901228894,121.450887414598
6,通河新村,{1},{地铁1号线},31.3329126967458,121.436928718035
7,呼兰路,{1},{地铁1号线},31.3415585433048,121.433105175706
8,外环路,{1},{地铁1号线},31.1228189074497,121.388385526394
9,彭浦新村,{1},{地铁1号线},31.3084672262911,121.444092709532
10,衡山路,{1},{地铁1号线},31.2068889933719,121.442150806673
11,上海马戏城,{1},{地铁1号线},31.2814224926293,121.447505204417
12,新闸路,{1},{地铁1号线},31.240586222004,121.463750932475
13,汶水路,{1},{地铁1号线},31.2945213150861,121.445544945675
14,莲花路,{1},{地铁1号线},31.1327503599606,121.398147977796
15,共康路,{1},{地铁1号线},31.320851023353,121.442449430059
16,共富新村,{1},{地铁1号线},31.3568664258311,121.429461787523
17,富锦路,{1},{地铁1号线},31.394078081618,121.420011925042
18,人民广场,"{1,2,9}","{地铁1号线,地铁2号线,地铁8号线}",31.2347134910563,121.470037017063
19,上海火车站,"{1,3,4}","{地铁1号线,地铁3号线,地铁4号线}",31.2492424113589,121.451340836127
20,上海南站,"{1,3,18}","{地铁1号线,地铁3号线,地铁15号线}",31.1567157295536,121.425713649722
21,上海体育馆,"{1,4}","{地铁1号线,地铁4号线}",31.1843424325186,121.43239051273
22,莘庄,"{1,5,6}","{地铁1号线,地铁5号线,地铁5号线支线}",31.1132226928768,121.38083510527
23,常熟路,"{1,8}","{地铁1号线,地铁7号线}",31.2154382624789,121.445641524553
24,徐家汇,"{1,10,13,14}","{地铁1号线,地铁9号线,地铁11号线,地铁11号线支线}",31.1961892705365,121.432209217397
25,陕西南路,"{1,11,12,15}","{地铁1号线,地铁10号线,地铁10号线支线,地铁12号线}",31.2177747342466,121.454586005063
26,漕宝路,"{1,15}","{地铁1号线,地铁12号线}",31.170384528703,121.429455293628
27,汉中路,"{1,15,16}","{地铁1号线,地铁12号线,地铁13号线}",31.2429251492968,121.454173731549
28,一大会址·黄陂南路,"{1,17}","{地铁1号线,地铁14号线}",31.225283265156,121.468413373506
29,川沙,{2},{地铁2号线},31.1887144074309,121.693664396846
30,金科路,{2},{地铁2号线},31.2063608637282,121.597799072648
31,远东大道,{2},{地铁2号线},31.2014226292359,121.751094919169
32,上海科技馆,{2},{地铁2号线},31.2206936459049,121.540589334457
33,世纪公园,{2},{地铁2号线},31.2114732246553,121.546681326061
34,东昌路,{2},{地铁2号线},31.2353884101451,121.511038148518
35,淞虹路,{2},{地铁2号线},31.22000080736,121.354842302768
36,海天三路,{2},{地铁2号线},31.1705941762247,121.792627064072
37,浦东国际机场,{2},{地铁2号线},31.151850887361,121.802294643546
38,徐泾东,{2},{地铁2号线},31.1902689377967,121.294879634388
39,张江高科,{2},{地铁2号线},31.2039555767256,121.583499875381
40,广兰路,{2},{地铁2号线},31.2130865860322,121.61697051646
41,凌空路,{2},{地铁2号线},31.194859635156,121.719748988541
42,创新中路,{2},{地铁2号线},31.215646248618,121.669479488634
43,北新泾,{2},{地铁2号线},31.2183056376045,121.369405185271
44,威宁路,{2},{地铁2号线},31.2166668329609,121.382427150836
45,华夏东路,{2},{地铁2号线},31.1987405429847,121.676612964425
46,唐镇,{2},{地铁2号线},31.2164387539343,121.651960001159
47,中山公园,"{2,3,4}","{地铁2号线,地铁3号线,地铁4号线}",31.2200429299633,121.411738842851
48,世纪大道,"{2,4,7,10}","{地铁2号线,地铁4号线,地铁6号线,地铁9号线}",31.2309565555861,121.522659875425
49,静安寺,"{2,8,17}","{地铁2号线,地铁7号线,地铁14号线}",31.2244600255653,121.442336714636
50,龙阳路,"{2,8,19,21}","{地铁2号线,地铁7号线,地铁16号线,地铁18号线}",31.2046061562197,121.553096052702
51,虹桥2号航站楼,"{2,11}","{地铁2号线,地铁10号线}",31.1961993940143,121.321770223703
52,南京东路,"{2,11,12}","{地铁2号线,地铁10号线,地铁10号线支线}",31.239946953095,121.479788212361
53,虹桥火车站,"{2,11,20}","{地铁2号线,地铁10号线,地铁17号线}",31.1959246701796,121.316982061178
54,江苏路,"{2,13,14}","{地铁2号线,地铁11号线,地铁11号线支线}",31.2220847753188,121.426652949909
55,南京西路,"{2,15,16}","{地铁2号线,地铁12号线,地铁13号线}",31.2317662198383,121.455507584562
56,陆家嘴,"{2,17}","{地铁2号线,地铁14号线}",31.2385809293331,121.498072060878
57,娄山关路,"{2,18}","{地铁2号线,地铁15号线}",31.2129924367563,121.39918120634
58,水产路,{3},{地铁3号线},31.383314672425,121.483639603341
59,殷高西路,{3},{地铁3号线},31.3217491203919,121.480421310016
60,淞滨路,{3},{地铁3号线},31.3731888436034,121.488262104862
61,江杨北路,{3},{地铁3号线},31.4096745082812,121.435219300378
62,大柏树,{3},{地铁3号线},31.2913875142569,121.478718229462
63,淞发路,{3},{地铁3号线},31.3471763338561,121.496036049239
64,宝杨路,{3},{地铁3号线},31.3972394709567,121.475148637723
65,赤峰路,{3},{地铁3号线},31.283139854141,121.477959135876
66,漕溪路,{3},{地铁3号线},31.1785109720284,121.433735254436
67,张华浜,{3},{地铁3号线},31.359810738081,121.494331671403
68,友谊路,{3},{地铁3号线},31.4060379090154,121.471343978632
69,铁力路,{3},{地铁3号线},31.4099701891882,121.456667467028
70,江湾镇,{3},{地铁3号线},31.3075200735267,121.480690630702
71,石龙路,{3},{地铁3号线},31.1598119372778,121.438508375638
72,东宝兴路,{3},{地铁3号线},31.261877279027,121.475586984588
73,中潭路,"{3,4}","{地铁3号线,地铁4号线}",31.2564243801109,121.436443147735
74,延安西路,"{3,4}","{地铁3号线,地铁4号线}",31.2114275819134,121.412451798673
75,宝山路,"{3,4}","{地铁3号线,地铁4号线}",31.2534530442657,121.471860598329
76,镇坪路,"{3,4,8}","{地铁3号线,地铁4号线,地铁7号线}",31.2483483640298,121.425802233189
77,宜山路,"{3,4,10}","{地铁3号线,地铁4号线,地铁9号线}",31.1881737265811,121.422585801636
78,虹桥路,"{3,4,11,12}","{地铁3号线,地铁4号线,地铁10号线,地铁10号线支线}",31.1988190672398,121.416962642825
79,曹杨路,"{3,4,13,14,17}","{地铁3号线,地铁4号线,地铁11号线,地铁11号线支线,地铁14号线}",31.2403617691054,121.413284823555
80,金沙江路,"{3,4,16}","{地铁3号线,地铁4号线,地铁13号线}",31.2337714812317,121.408157953829
81,虹口足球场,"{3,9}","{地铁3号线,地铁8号线}",31.2725638183226,121.474798141889
82,龙漕路,"{3,15}","{地铁3号线,地铁12号线}",31.1717425521705,121.439441100937
83,长江南路,"{3,21}","{地铁3号线,地铁18号线}",31.3340055375094,121.486170096028
84,鲁班路,{4},{地铁4号线},31.2010765121137,121.470285827488
85,临平路,{4},{地铁4号线},31.2629532739593,121.496586805768
86,南浦大桥,{4},{地铁4号线},31.210460939092,121.49502210573
87,塘桥,{4},{地铁4号线},31.2116990736244,121.51440864194
88,上海体育场,{4},{地铁4号线},31.187388639461,121.438808715302
89,杨树浦路,{4},{地铁4号线},31.2539694024117,121.513002589222
90,浦电路,"{4,7}","{地铁4号线,地铁6号线}",31.222186037901,121.524600839532
91,蓝村路,"{4,7}","{地铁4号线,地铁6号线}",31.2137631012095,121.523522521832
92,东安路,"{4,8}","{地铁4号线,地铁7号线}",31.1929558507455,121.450146929642
93,西藏南路,"{4,9}","{地铁4号线,地铁8号线}",31.2039928321178,121.485015723877
94,海伦路,"{4,11,12}","{地铁4号线,地铁10号线,地铁10号线支线}",31.2611338615187,121.484572827805
95,大连路,"{4,15}","{地铁4号线,地铁12号线}",31.2602893588859,121.508463440252
96,大木桥路,"{4,15}","{地铁4号线,地铁12号线}",31.1957130544742,121.459123536486
97,浦东大道,"{4,17}","{地铁4号线,地铁14号线}",31.2420508585796,121.515085487504
98,金海湖,{5},{地铁5号线},30.9310624335971,121.487901500408
99,奉浦大道,{5},{地铁5号线},30.9438419984147,121.444747708485
100,奉贤新城,{5},{地铁5号线},30.9163312395283,121.491574077759
101,望园路,{5},{地铁5号线},30.9347539698786,121.479470036791
102,江川路,{5},{地铁5号线},31.0074649755107,121.418819022605
103,环城东路,{5},{地铁5号线},30.9331041657014,121.459103188782
104,萧塘,{5},{地铁5号线},30.9679165893741,121.43739662094
105,西渡,{5},{地铁5号线},30.9912633791419,121.427872304373
106,东川路,"{5,6}","{地铁5号线,地铁5号线支线}",31.0201044187267,121.415291713241
107,北桥,"{5,6}","{地铁5号线,地铁5号线支线}",31.0470726398201,121.40536999488
108,春申路,"{5,6}","{地铁5号线,地铁5号线支线}",31.1002102417638,121.38109412655
109,银都路,"{5,6}","{地铁5号线,地铁5号线支线}",31.0913036700556,121.385647623356
110,剑川路,"{5,6}","{地铁5号线,地铁5号线支线}",31.0284011545752,121.411882269673
111,颛桥,"{5,6}","{地铁5号线,地铁5号线支线}",31.0689151277531,121.397271885895
112,闵行开发区,{6},{地铁5号线支线},31.0025628982982,121.365305112311
113,文井路,{6},{地铁5号线支线},31.005503220832,121.376208590163
114,华宁路,{6},{地铁5号线支线},31.0093232641425,121.390558176675
115,金平路,{6},{地铁5号线支线},31.0131232894771,121.40540785857
116,上南路,{7},{地铁6号线},31.1512124194548,121.501972096979
117,灵岩南路,{7},{地铁6号线},31.1507596724806,121.490781036242
118,上海儿童医学中心,{7},{地铁6号线},31.2051796527307,121.519178333211
119,金桥路,{7},{地铁6号线},31.2593213115524,121.577671847533
120,临沂新村,{7},{地铁6号线},31.1951056990931,121.512631166206
121,德平路,{7},{地铁6号线},31.2475375137772,121.560019251967
122,洲海路,{7},{地铁6号线},31.3144673734398,121.585219861507
123,五洲大道,{7},{地铁6号线},31.3047784689205,121.585196510988
124,高青路,{7},{地铁6号线},31.1618958696355,121.511161858493
125,博兴路,{7},{地铁6号线},31.2657082531901,121.582558111277
126,五莲路,{7},{地铁6号线},31.2741586790824,121.583851859368
127,东靖路,{7},{地铁6号线},31.2928044813441,121.584700716117
128,源深体育中心,{7},{地铁6号线},31.2351028077333,121.530378603581
129,航津路,{7},{地铁6号线},31.337540151076,121.589792220761
130,华夏西路,{7},{地铁6号线},31.1519150264971,121.510324650023
131,外高桥保税区北,{7},{地铁6号线},31.3499361170731,121.582751373777
132,外高桥保税区南,{7},{地铁6号线},31.3238505838572,121.59776770197
133,北洋泾路,{7},{地铁6号线},31.241322945579,121.548202182329
134,高科西路,"{7,8}","{地铁6号线,地铁7号线}",31.1877918864773,121.505595048348
135,东方体育中心,"{7,9,13,14}","{地铁6号线,地铁8号线,地铁11号线,地铁11号线支线}",31.1554941844834,121.476096598704
136,港城路,"{7,11,12}","{地铁6号线,地铁10号线,地铁10号线支线}",31.3552612717599,121.570616506206
137,巨峰路,"{7,15}","{地铁6号线,地铁12号线}",31.2824605415952,121.584876376445
138,东明路,"{7,16}","{地铁6号线,地铁13号线}",31.1747895595683,121.507049930457
139,云山路,"{7,17}","{地铁6号线,地铁14号线}",31.2527727345015,121.567701992823
140,民生路,"{7,21}","{地铁6号线,地铁18号线}",31.2373958487153,121.539926396479
141,潘广路,{8},{地铁7号线},31.3660377138826,121.351220887726
142,新村路,{8},{地铁7号线},31.2657651513663,121.417951218826
143,云台路,{8},{地铁7号线},31.1841976880219,121.495927408931
144,南陈路,{8},{地铁7号线},31.3235269747501,121.394244936631
145,行知路,{8},{地铁7号线},31.2867182629106,121.416782057555
146,上大路,{8},{地铁7号线},31.3166081585416,121.403853206506
147,昌平路,{8},{地铁7号线},31.2356665837016,121.438004565423
148,大场镇,{8},{地铁7号线},31.2954136540905,121.411841627433
149,上海大学,{8},{地铁7号线},31.3223166982951,121.384275184709
150,祁华路,{8},{地铁7号线},31.3242695489565,121.36892734123
151,大华三路,{8},{地铁7号线},31.2755719371104,121.418555087803
152,杨高南路,{8},{地铁7号线},31.1895508190614,121.521040380471
153,锦绣路,{8},{地铁7号线},31.1896182251028,121.53581869643
154,场中路,{8},{地铁7号线},31.305488539103,121.408905466554
155,刘行,{8},{地铁7号线},31.3593900863199,121.357795123006
156,芳华路,{8},{地铁7号线},31.1952633469278,121.545840432113
157,花木路,{8},{地铁7号线},31.2133897538825,121.558570600705
158,美兰湖,{8},{地铁7号线},31.4036789184305,121.345338084428
159,后滩,{8},{地铁7号线},31.1739480683824,121.469520707933
160,罗南新村,{8},{地铁7号线},31.390466272089,121.352899499124
161,岚皋路,{8},{地铁7号线},31.2582024756927,121.41724674284
162,耀华路,"{8,9}","{地铁7号线,地铁8号线}",31.1805750044446,121.49019347589
163,肇嘉浜路,"{8,10}","{地铁7号线,地铁9号线}",31.2009084244152,121.445962303089
164,龙华中路,"{8,15}","{地铁7号线,地铁12号线}",31.1863883576242,121.45229989642
165,长寿路,"{8,16}","{地铁7号线,地铁13号线}",31.2422123997848,121.433727433291
166,长清路,"{8,16}","{地铁7号线,地铁13号线}",31.176096128666,121.484134138811
167,顾村公园,"{8,18}","{地铁7号线,地铁15号线}",31.3464187767566,121.36840651515
168,杨思,{9},{地铁8号线},31.1630777442041,121.489257519341
169,嫩江路,{9},{地铁8号线},31.3169603285178,121.527747101034
170,芦恒路,{9},{地铁8号线},31.1212115575217,121.493790402008
171,联航路,{9},{地铁8号线},31.0756949022285,121.506260084484
172,凌兆新村,{9},{地铁8号线},31.1432867541776,121.485119817677
173,翔殷路,{9},{地铁8号线},31.3070687709169,121.527668844611
174,市光路,{9},{地铁8号线},31.3247821847854,121.527688150714
175,延吉中路,{9},{地铁8号线},31.290439563699,121.530617138964
176,鞍山新村,{9},{地铁8号线},31.2753194133354,121.50522601169
177,中兴路,{9},{地铁8号线},31.2549108223339,121.464374098869
178,中华艺术宫,{9},{地铁8号线},31.1873045729262,121.489258016251
179,浦江镇,{9},{地铁8号线},31.0986530314763,121.501938382314
180,黄兴公园,{9},{地铁8号线},31.2978059079988,121.528894170394
181,曲阳路,{9},{地铁8号线},31.2784538847295,121.486292872998
182,黄兴路,{9},{地铁8号线},31.2808274599363,121.524078437394
183,江月路,{9},{地铁8号线},31.0864316871371,121.504232454295
184,西藏北路,{9},{地铁8号线},31.2652687932415,121.464189923632
185,陆家浜路,"{9,10}","{地铁8号线,地铁9号线}",31.2136458101212,121.481634588876
186,老西门,"{9,11,12}","{地铁8号线,地铁10号线,地铁10号线支线}",31.2210036219612,121.478998700842
187,四平路,"{9,11,12}","{地铁8号线,地铁10号线,地铁10号线支线}",31.2768804610742,121.497085299508
188,曲阜路,"{9,15}","{地铁8号线,地铁12号线}",31.2443324566389,121.467086691005
189,成山路,"{9,16}","{地铁8号线,地铁13号线}",31.1730168859813,121.49237739453
190,大世界,"{9,17}","{地铁8号线,地铁14号线}",31.2290862082671,121.475368090637
191,江浦路,"{9,21}","{地铁8号线,地铁18号线}",31.2765255616017,121.514197758867
192,沈杜公路,"{9,22}","{地铁8号线,浦江线}",31.0635307441132,121.508114311172
193,台儿庄路,{10},{地铁9号线},31.2548356397824,121.593618906892
194,合川路,{10},{地铁9号线},31.1683708446358,121.380050064975
195,商城路,{10},{地铁9号线},31.2324314964105,121.511953661333
196,小南门,{10},{地铁9号线},31.2190343701042,121.493850554512
197,佘山,{10},{地铁9号线},31.106449272308,121.225317263347
198,打浦桥,{10},{地铁9号线},31.2079914453943,121.464364032109
199,星中路,{10},{地铁9号线},31.1600653786212,121.364387053735
200,曹路,{10},{地铁9号线},31.2732624035196,121.678737840344
201,松江体育中心,{10},{地铁9号线},31.0181890140122,121.22616879718
202,松江南站,{10},{地铁9号线},30.9870593931821,121.226398682216
203,松江大学城,{10},{地铁9号线},31.0562062340637,121.228291652742
204,松江新城,{10},{地铁9号线},31.0323486373244,121.226350755719
205,九亭,{10},{地铁9号线},31.1392297301117,121.315003352369
206,民雷路,{10},{地铁9号线},31.2704544724488,121.663902717286
207,泗泾,{10},{地铁9号线},31.1204173199066,121.255953045619
208,洞泾,{10},{地铁9号线},31.0864915107108,121.226111820014
209,中春路,{10},{地铁9号线},31.1513869936264,121.333073388896
210,漕河泾开发区,{10},{地铁9号线},31.1723534029084,121.393154003424
211,芳甸路,{10},{地铁9号线},31.2341114254833,121.554220380226
212,七宝,{10},{地铁9号线},31.1573082835589,121.344974454329
213,醉白池,{10},{地铁9号线},31.0031179059071,121.224755622747
214,金吉路,{10},{地铁9号线},31.2665063262685,121.624312815918
215,金桥,{10},{地铁9号线},31.2628139143904,121.607031573691
216,顾唐路,{10},{地铁9号线},31.2681518045306,121.652351143642
217,嘉善路,"{10,15}","{地铁9号线,地铁12号线}",31.2043268950364,121.456480326928
218,金海路,"{10,15}","{地铁9号线,地铁12号线}",31.265575728099,121.634549180211
219,马当路,"{10,16}","{地铁9号线,地铁13号线}",31.2117544216483,121.472314673866
220,蓝天路,"{10,17}","{地铁9号线,地铁14号线}",31.243035839519,121.573650178068
221,桂林路,"{10,18}","{地铁9号线,地铁15号线}",31.1775399666722,121.412339888728
222,杨高中路,"{10,21}","{地铁9号线,地铁18号线}",31.2291806657208,121.544524288515
223,上海动物园,{11},{地铁10号线},31.1921462486454,121.363705183762
224,虹桥1号航站楼,{11},{地铁10号线},31.1934640420736,121.342639870297
225,同济大学,"{11,12}","{地铁10号线,地铁10号线支线}",31.2845683802006,121.502063113799
