stationid,stationname,lineids,linenames,lat,lng
1,中央公园,{1},{轨道交通1号线},31.3159051647852,120.655407167484
2,文化博览中心,{1},{轨道交通1号线},31.3251813093205,120.699924746112
3,汾湖路,{1},{轨道交通1号线},31.2801926161376,120.537703376239
4,养育巷,{1},{轨道交通1号线},31.3072704814878,120.609827172652
5,南施街,{1},{轨道交通1号线},31.3264553945469,120.728750603762
6,西环路,{1},{轨道交通1号线},31.303751906477,120.57281112875
7,临顿路,{1},{轨道交通1号线},31.3101141993798,120.62627244652
8,金枫路,{1},{轨道交通1号线},31.278501832096,120.525230082634
9,时代广场,{1},{轨道交通1号线},31.3244082443694,120.708615915038
10,滨河路,{1},{轨道交通1号线},31.3029164298175,120.561970803901
11,桐泾北路,{1},{轨道交通1号线},31.30531051294,120.586980238307
12,星海广场,{1},{轨道交通1号线},31.3176785886027,120.6665612061
13,星湖街,{1},{轨道交通1号线},31.3251510034083,120.716061855229
14,木渎,{1},{轨道交通1号线},31.2770326427097,120.51401349473
15,玉山路,{1},{轨道交通1号线},31.2857096074277,120.545195968743
16,相门,{1},{轨道交通1号线},31.3119467423636,120.634293317425
17,东环路,{1},{轨道交通1号线},31.3144014193803,120.645623277058
18,塔园路,{1},{轨道交通1号线},31.3021513208097,120.552466324486
19,钟南街,{1},{轨道交通1号线},31.3284855966944,120.751733604037
20,广济南路,"{1,2}","{轨道交通1号线,轨道交通2号线}",31.3063818355175,120.596594791142
21,东方之门,"{1,3}","{轨道交通1号线,轨道交通3号线}",31.3195619947962,120.675526824059
22,狮子山,"{1,3}","{轨道交通1号线,轨道交通3号线}",31.2963116521114,120.544577789419
23,乐桥,"{1,4}","{轨道交通1号线,轨道交通4号线}",31.308397639977,120.6181598829
24,星塘街,"{1,5}","{轨道交通1号线,轨道交通5号线}",31.3274976093305,120.739636884432
25,独墅湖南,{2},{轨道交通2号线},31.250089140779,120.700831835083
26,郭苑路,{2},{轨道交通2号线},31.2504094728125,120.680374594835
27,郭巷,{2},{轨道交通2号线},31.2510860964401,120.669536977593
28,三香广场,{2},{轨道交通2号线},31.3000146230518,120.593761866563
29,友联,{2},{轨道交通2号线},31.2738488058727,120.604665196078
30,金谷路,{2},{轨道交通2号线},31.2714126674826,120.752444816295
31,阳澄湖中路,{2},{轨道交通2号线},31.3686601125887,120.62290820833
32,陆慕,{2},{轨道交通2号线},31.3553555825597,120.618847387954
33,蠡口,{2},{轨道交通2号线},31.390562703801,120.619405940408
34,大湾,{2},{轨道交通2号线},31.4185856614371,120.628734006581
35,桑田岛,{2},{轨道交通2号线},31.2744732917126,120.777101520085
36,新家桥,{2},{轨道交通2号线},31.2582754167498,120.610800033227
37,高铁苏州北站,{2},{轨道交通2号线},31.4241387340183,120.640935230662
38,金尚路,{2},{轨道交通2号线},31.2723256845628,120.76566461218
39,胥江路,{2},{轨道交通2号线},31.2873818053094,120.594408534948
40,石路,{2},{轨道交通2号线},31.3139591844825,120.595856911348
41,宝带桥南,{2},{轨道交通2号线},31.2519038854571,120.644573098105
42,松涛街,{2},{轨道交通2号线},31.2661596296121,120.736037352522
43,富元路,{2},{轨道交通2号线},31.4052706569386,120.620674282761
44,富翔路,{2},{轨道交通2号线},31.4320030808202,120.647099225142
45,尹中路,{2},{轨道交通2号线},31.2518254569481,120.660287704035
46,尹山湖,{2},{轨道交通2号线},31.2501405328822,120.693188201339
47,山塘街,{2},{轨道交通2号线},31.3220615557769,120.597819978555
48,平河路,{2},{轨道交通2号线},31.3392227656736,120.610168523849
49,平泷路东,{2},{轨道交通2号线},31.3467406891938,120.608751843529
50,桐泾公园,{2},{轨道交通2号线},31.2810714843117,120.595852105892
51,月亮湾,{2},{轨道交通2号线},31.2624249244526,120.723085016458
52,独墅湖邻里中心,{2},{轨道交通2号线},31.2552938875917,120.718587794861
53,徐图港,{2},{轨道交通2号线},31.3777719031593,120.621522978514
54,骑河,{2},{轨道交通2号线},31.4394704827819,120.650887890039
55,盘蠡路,"{2,3}","{轨道交通2号线,轨道交通3号线}",31.268365227401,120.610375066516
56,苏州火车站,"{2,4}","{轨道交通2号线,轨道交通4号线}",31.3322622076193,120.606459216348
57,石湖东路,"{2,4}","{轨道交通2号线,轨道交通4号线}",31.2550989511576,120.625405794615
58,劳动路,"{2,5}","{轨道交通2号线,轨道交通5号线}",31.2933845091344,120.592710058696
59,苏州新区火车站,{3},{轨道交通3号线},31.3748420880448,120.521044810936
60,东振路,{3},{轨道交通3号线},31.2906069668603,120.671605428515
61,丰和路,{3},{轨道交通3号线},31.3554079798892,120.735104887808
62,何山,{3},{轨道交通3号线},31.3082250664166,120.54241270476
