stationid,stationname,lineids,linenames,lat,lng
1,国贸,{1},{地铁1号线},22.5424071984931,114.113641285507
2,罗湖,{1},{地铁1号线},22.5342891238788,114.113805648023
3,鲤鱼门,{1},{地铁1号线},22.5351519203831,113.898511099715
4,固戍,{1},{地铁1号线},22.603730086828,113.842111784349
5,竹子林,{1},{地铁1号线},22.5361674677455,114.008958564949
6,桃园,{1},{地铁1号线},22.5353745198383,113.91993324586
7,宝体,{1},{地铁1号线},22.563243143386,113.876460791572
8,西乡,{1},{地铁1号线},22.5785425682916,113.857716913283
9,高新园,{1},{地铁1号线},22.5432874728436,113.948997777757
10,香蜜湖,{1},{地铁1号线},22.5415783505316,114.033624760159
11,侨城东,{1},{地铁1号线},22.5352316548954,113.991793121623
12,机场东,{1},{地铁1号线},22.6499894078566,113.817675845342
13,大新,{1},{地铁1号线},22.5352480448448,113.910355930037
14,坪洲,{1},{地铁1号线},22.5720035072867,113.865868022839
15,深大,{1},{地铁1号线},22.5412231415735,113.938913719664
16,新安,{1},{地铁1号线},22.5507589188621,113.889579895961
17,后瑞,{1},{地铁1号线},22.6317007440688,113.83048009329
18,华侨城,{1},{地铁1号线},22.5363802543101,113.980332291356
19,白石洲,{1},{地铁1号线},22.5426191988445,113.961959286405
20,华强路,{1},{地铁1号线},22.543128348677,114.080081242343
21,世界之窗,"{1,2}","{地铁1号线,地铁2号线（8号线）}",22.5397658806127,113.969184414436
22,大剧院,"{1,2}","{地铁1号线,地铁2号线（8号线）}",22.544378835123,114.103135015871
23,购物公园,"{1,3}","{地铁1号线,地铁3号线}",22.5371624047772,114.04890822348
24,老街,"{1,3}","{地铁1号线,地铁3号线}",22.5472251340138,114.111215054329
25,会展中心,"{1,4}","{地铁1号线,地铁4号线}",22.5373885072748,114.056026633721
26,宝安中心,"{1,5}","{地铁1号线,地铁5号线}",22.5575669588049,113.882341075456
27,前海湾,"{1,5,10}","{地铁1号线,地铁5号线,地铁11号线}",22.5395853347772,113.892922854245
28,科学馆,"{1,6}","{地铁1号线,地铁6号线}",22.542694729809,114.090524431694
29,车公庙,"{1,7,8,10}","{地铁1号线,地铁7号线,地铁9号线,地铁11号线}",22.5387368789216,114.022118550504
30,岗厦,"{1,9}","{地铁1号线,地铁10号线}",22.5375096627762,114.062925397413
31,科苑,{2},{地铁2号线（8号线）},22.5300047518004,113.941643843827
32,香蜜,{2},{地铁2号线（8号线）},22.555500969056,114.018880473601
33,香梅北,{2},{地铁2号线（8号线）},22.556948380257,114.028212972
34,东角头,{2},{地铁2号线（8号线）},22.4892872250081,113.92622507844
35,仙湖路,{2},{地铁2号线（8号线）},22.5667766616667,114.161328889334
36,蛇口港,{2},{地铁2号线（8号线）},22.4796875789096,113.907280636147
37,莲花西,{2},{地铁2号线（8号线）},22.5495120946025,114.045014991443
38,侨城北,{2},{地铁2号线（8号线）},22.5470517275212,113.984457486215
39,侨香,{2},{地铁2号线（8号线）},22.5524984027593,114.009367144589
40,莲塘口岸,{2},{地铁2号线（8号线）},22.5561397156615,114.1503472771
41,莲塘,{2},{地铁2号线（8号线）},22.5669024571029,114.169466170626
42,红树湾,{2},{地铁2号线（8号线）},22.5280427025319,113.963760540538
43,盐田路,{2},{地铁2号线（8号线）},22.5916696286619,114.250786901645
44,盐田港西,{2},{地铁2号线（8号线）},22.5653894610025,114.241960400314
45,登良,{2},{地铁2号线（8号线）},22.5122395042023,113.932924227145
46,燕南,{2},{地铁2号线（8号线）},22.5471192320399,114.086990454654
47,湾厦,{2},{地铁2号线（8号线）},22.4963966113143,113.933786337203
48,湖贝,{2},{地铁2号线（8号线）},22.5469754731157,114.120211263944
49,深康,{2},{地铁2号线（8号线）},22.5493574545545,113.994165224444
50,深外高中,{2},{地铁2号线（8号线）},22.586605547939,114.239807860488
51,海月,{2},{地铁2号线（8号线）},22.5029768455347,113.932879708567
52,海山,{2},{地铁2号线（8号线）},22.5583856304699,114.232806012942
53,海上世界,{2},{地铁2号线（8号线）},22.4882554790909,113.910261850202
54,沙头角,{2},{地铁2号线（8号线）},22.5571445107978,114.21844945782
55,水湾,{2},{地铁2号线（8号线）},22.4914611209022,113.914941643739
56,梧桐山南,{2},{地铁2号线（8号线）},22.5603226444037,114.178479899585
57,岗厦北,{2},{地铁2号线（8号线）},22.5438102210809,114.063543956591
58,新秀,{2},{地铁2号线（8号线）},22.5504063099333,114.143944776484
59,福田,"{2,3,10}","{地铁2号线（8号线）,地铁3号线,地铁11号线}",22.5426954528571,114.049127325185
60,市民中心,"{2,4}","{地铁2号线（8号线）,地铁4号线}",22.5438401860567,114.056175533445
61,赤湾,"{2,5}","{地铁2号线（8号线）,地铁5号线}",22.482329087713,113.892861722066
62,黄贝岭,"{2,5}","{地铁2号线（8号线）,地铁5号线}",22.5487669648861,114.130988983196
63,华强北,"{2,7}","{地铁2号线（8号线）,地铁7号线}",22.5465353234415,114.080880793711
64,安托山,"{2,7}","{地铁2号线（8号线）,地铁7号线}",22.5515104564722,114.001121373744
65,景田,"{2,8}","{地铁2号线（8号线）,地铁9号线}",22.556387571379,114.038398923278
66,后海,"{2,10}","{地铁2号线（8号线）,地铁11号线}",22.5210712683931,113.936374599866
67,草埔,{3},{地铁3号线},22.587240516528,114.111266817221
68,塘坑,{3},{地铁3号线},22.6420452787847,114.187839815022
69,木棉湾,{3},{地铁3号线},22.6097477415772,114.125329876153
70,翠竹,{3},{地铁3号线},22.559103598849,114.125038442669
71,荷坳,{3},{地铁3号线},22.6759625021645,114.219442578271
72,永湖,{3},{地铁3号线},22.6617267487009,114.213163717709
73,大芬,{3},{地铁3号线},22.6168016634227,114.133253734605
