stationid,stationname,lineids,linenames,lat,lng
1,双林,{1},{轨道交通1号线},39.0563548668098,117.285731007192
2,陈塘庄,{1},{轨道交通1号线},39.0824941462151,117.242231960255
3,海光寺,{1},{轨道交通1号线},39.121326224694,117.171200289582
4,洪湖里,{1},{轨道交通1号线},39.1698451866684,117.155590291184
5,李楼,{1},{轨道交通1号线},39.053390140435,117.310746803105
6,本溪路,{1},{轨道交通1号线},39.1842630775649,117.132989623166
7,国瑞路,{1},{轨道交通1号线},39.020989015359,117.384057018955
8,刘园,{1},{轨道交通1号线},39.2067958197228,117.109391655755
9,勤俭道,{1},{轨道交通1号线},39.1771399040632,117.147341091631
10,瑞景新苑,{1},{轨道交通1号线},39.1988691834148,117.115433930633
11,华山里,{1},{轨道交通1号线},39.0650985228708,117.25567275799
12,东沽路,{1},{轨道交通1号线},39.0110977558018,117.401942640019
13,土城,{1},{轨道交通1号线},39.0884233657869,117.225719955414
14,鞍山道,{1},{轨道交通1号线},39.1192909377136,117.181457363527
15,高庄子,{1},{轨道交通1号线},39.0417997736535,117.354493316892
16,南楼,{1},{轨道交通1号线},39.0951255998496,117.217514856456
17,小白楼,{1},{轨道交通1号线},39.1138700095157,117.209088275025
18,财经大学,{1},{轨道交通1号线},39.062946815764,117.270659064991
19,二纬路,{1},{轨道交通1号线},39.1296435213614,117.168419489621
20,西北角,{1},{轨道交通1号线},39.1452916027268,117.165386291212
21,佳园里,{1},{轨道交通1号线},39.1907468395111,117.121720867265
22,国家会展中心,{1},{轨道交通1号线},39.02779527501,117.377543100581
23,复兴门,{1},{轨道交通1号线},39.0760952744708,117.254039881023
24,西南角,"{1,2}","{轨道交通1号线,轨道交通2号线}",39.1361626214189,117.165737145226
25,营口道,"{1,3}","{轨道交通1号线,轨道交通3号线}",39.1175353890405,117.19140746115
26,下瓦房,"{1,5}","{轨道交通1号线,轨道交通5号线}",39.1041209829937,117.216709644839
27,西站,"{1,6}","{轨道交通1号线,轨道交通6号线}",39.1554901684938,117.159760757773
28,顺驰桥,{2},{轨道交通2号线},39.1404240468609,117.227557192641
29,咸阳路,{2},{轨道交通2号线},39.1365749888057,117.129602060896
30,国山路,{2},{轨道交通2号线},39.1534489067134,117.303638916531
31,鼓楼,{2},{轨道交通2号线},39.1360387257422,117.174931208977
32,远洋国际中心,{2},{轨道交通2号线},39.1355855638711,117.215292028784
33,芥园西道,{2},{轨道交通2号线},39.1414183984291,117.113478109828
34,翠阜新村,{2},{轨道交通2号线},39.142997638507,117.251293946821
35,空港经济区,{2},{轨道交通2号线},39.1565594995846,117.328519014027
36,登州路,{2},{轨道交通2号线},39.1497787390736,117.289701339257
37,滨海国际机场,{2},{轨道交通2号线},39.131802142605,117.355205470799
38,曹庄,{2},{轨道交通2号线},39.144506489394,117.084689886448
39,建国道,{2},{轨道交通2号线},39.1376186919889,117.194259850198
40,广开四马路,{2},{轨道交通2号线},39.1366973799326,117.155559360008
41,屿东城,{2},{轨道交通2号线},39.1462990532639,117.273330111917
42,卞兴,{2},{轨道交通2号线},39.1450063396423,117.102867343367
43,天津站,"{2,3,8}","{轨道交通2号线,轨道交通3号线,津滨轻轨9号线}",39.1369938148277,117.204843942845
44,东南角,"{2,4}","{轨道交通2号线,轨道交通4号线}",39.1357366131533,117.18417940641
45,靖江路,"{2,5}","{轨道交通2号线,轨道交通5号线}",39.1414917089543,117.237945701577
46,长虹公园,"{2,6}","{轨道交通2号线,轨道交通6号线}",39.136567520865,117.143099816723
47,天塔,{3},{轨道交通3号线},39.094603836208,117.171604525263
48,中山路,{3},{轨道交通3号线},39.1609430445396,117.199197400761
49,丰产河,{3},{轨道交通3号线},39.2370533829801,117.229530810571
50,华北集团,{3},{轨道交通3号线},39.2263706470865,117.22135966395
51,华苑,{3},{轨道交通3号线},39.086008634516,117.122234640024
52,南站,{3},{轨道交通3号线},39.0560022645118,117.055787059865
53,吴家窑,{3},{轨道交通3号线},39.0993934776278,117.179598924366
54,周邓纪念馆,{3},{轨道交通3号线},39.0916669841447,117.157309071648
55,大学城,{3},{轨道交通3号线},39.0712132598709,117.105920859383
56,天士力,{3},{轨道交通3号线},39.2047620428071,117.208941438383
57,学府工业区,{3},{轨道交通3号线},39.0707953743197,117.072063682025
58,宜兴埠,{3},{轨道交通3号线},39.1963948980164,117.212441531746
59,小淀,{3},{轨道交通3号线},39.2382283356294,117.251627773894
60,杨伍庄,{3},{轨道交通3号线},39.0670793307954,117.063234266144
61,津湾广场,{3},{轨道交通3号线},39.1305877956604,117.201440278418
62,王顶堤,{3},{轨道交通3号线},39.0912550380892,117.132814467808
63,西康路,{3},{轨道交通3号线},39.111313322559,117.181824646848
64,金狮桥,{3},{轨道交通3号线},39.1500541532989,117.201501193616
65,铁东路,{3},{轨道交通3号线},39.1790120490645,117.201056107216
66,高新区,{3},{轨道交通3号线},39.0707460164301,117.092058353177
67,和平路,"{3,4}","{轨道交通3号线,轨道交通4号线}",39.1260138703729,117.198412681812
68,张兴庄,"{3,5}","{轨道交通3号线,轨道交通5号线}",39.1910402673874,117.208527062294
69,北站,"{3,6}","{轨道交通3号线,轨道交通6号线}",39.1654844140142,117.201432318871
70,红旗南路,"{3,6}","{轨道交通3号线,轨道交通6号线}",39.0916330788464,117.142384989759
71,民航大学,{4},{轨道交通4号线},39.1074980073049,117.343014915124
72,万东路,{4},{轨道交通4号线},39.118231686674,117.261552948088
73,航双路,{4},{轨道交通4号线},39.1101500100607,117.327191307204
74,新兴村,{4},{轨道交通4号线},39.1004681798251,117.364001570729
75,六纬路,{4},{轨道交通4号线},39.1145815375825,117.220841940671
76,沙柳南路,{4},{轨道交通4号线},39.1165015942638,117.282459650164
77,泰昌路,{4},{轨道交通4号线},39.121329513978,117.249851314044
78,金街,{4},{轨道交通4号线},39.1311312327353,117.185517197059
79,跃进北路,{4},{轨道交通4号线},39.1129447315671,117.312343268798
80,徐州道,{4},{轨道交通4号线},39.1142271951473,117.21251268844
81,登州南路,{4},{轨道交通4号线},39.1155912221182,117.299028830283
82,成林道,"{4,5}","{轨道交通4号线,轨道交通5号线}",39.1292052617581,117.240034005269
83,辽河北道,{5},{轨道交通5号线},39.2086161318116,117.193688294973
84,幸福公园,{5},{轨道交通5号线},39.1531503678059,117.237922506352
85,凌宾路,{5},{轨道交通5号线},39.0669912629991,117.165651386387
86,西南楼,{5},{轨道交通5号线},39.0943975123292,117.209953809435
87,津塘路,{5},{轨道交通5号线},39.1160363668977,117.235943400733
88,北辰道,{5},{轨道交通5号线},39.2395882884963,117.167265506978
89,北辰科技园北,{5},{轨道交通5号线},39.2667305698904,117.1435234417
90,淮河道,{5},{轨道交通5号线},39.2174624542596,117.186134583445
91,建昌道,{5},{轨道交通5号线},39.1786427655362,117.22844056531
92,体育中心,{5},{轨道交通5号线},39.0736758052494,117.166187790338
93,宜兴埠北,{5},{轨道交通5号线},39.2020492212619,117.199156825056
94,志成路,{5},{轨道交通5号线},39.1862841586057,117.212891848508
95,思源路,{5},{轨道交通5号线},39.1817954627389,117.221259460321
96,丹河北道,{5},{轨道交通5号线},39.2513795183072,117.157218218792
97,月牙河,{5},{轨道交通5号线},39.1638506770063,117.239561418978
98,职业大学,{5},{轨道交通5号线},39.2298149830622,117.175787666932
99,李七庄南,{5},{轨道交通5号线},39.0354328493583,117.164276028312
100,中医一附院,{5},{轨道交通5号线},39.0458515876503,117.1784631792
101,昌凌路,{5},{轨道交通5号线},39.0562838000343,117.178275490755
102,天津宾馆,"{5,6}","{轨道交通5号线,轨道交通6号线}",39.0842471961163,117.19204549135
103,文化中心,"{5,6}","{轨道交通5号线,轨道交通6号线}",39.0884779872037,117.20150362587
104,肿瘤医院,"{5,6}","{轨道交通5号线,轨道交通6号线}",39.0780929350918,117.177761787013
105,金钟河大街,"{5,6}","{轨道交通5号线,轨道交通6号线}",39.1706430299909,117.236291064455
106,直沽,"{5,8}","{轨道交通5号线,津滨轻轨9号线}",39.1100802272759,117.227726747107
107,北宁公园,{6},{轨道交通6号线},39.1652109124651,117.216954030881
108,宜宾道,{6},{轨道交通6号线},39.1257020108691,117.143062959365
109,尖山路,{6},{轨道交通6号线},39.08640628581,117.217748049323
110,南翠屏,{6},{轨道交通6号线},39.0789963241866,117.152314724419
111,左江道,{6},{轨道交通6号线},39.0590039829289,117.211144205114
112,南孙庄,{6},{轨道交通6号线},39.2053902373692,117.312155368294
113,徐庄子,{6},{轨道交通6号线},39.1900153590993,117.247706783139
114,新开河,{6},{轨道交通6号线},39.1678975127521,117.196443477089
115,南何庄,{6},{轨道交通6号线},39.2050897439449,117.28468123495
116,医大二院,{6},{轨道交通6号线},39.0804582729643,117.217835619043
117,梅林路,{6},{轨道交通6号线},39.0439683381215,117.248228455904
118,梅江会展中心,{6},{轨道交通6号线},39.0438218357583,117.211131498223
119,梅江公园,{6},{轨道交通6号线},39.0511964556163,117.211443640395
120,梅江道,{6},{轨道交通6号线},39.0679752054968,117.219210748745
121,民权门,{6},{轨道交通6号线},39.1678713534685,117.227140919293
122,水上公园东路,{6},{轨道交通6号线},39.0784156870612,117.166631021874
123,洞庭路,{6},{轨道交通6号线},39.042505733069,117.239280978072
124,鞍山西道,{6},{轨道交通6号线},39.1156079861607,117.142901919557
125,北竹林,{6},{轨道交通6号线},39.1591767576081,117.166587038069
126,人民医院,{6},{轨道交通6号线},39.1454063483634,117.143309223209
127,解放南路,{6},{轨道交通6号线},39.0399589104385,117.227605079203
128,乐园道,{6},{轨道交通6号线},39.0904256833674,117.211174210136
129,迎风道,{6},{轨道交通6号线},39.0852771848312,117.14309343353
130,复兴路,{6},{轨道交通6号线},39.1546914118704,117.151873892137
131,外院附中,{6},{轨道交通6号线},39.170345565951,117.185523762245
132,金钟街,{6},{轨道交通6号线},39.1986774705484,117.259426066214
133,大毕庄,{6},{轨道交通6号线},39.2019166426263,117.272588901197
134,一中心医院,{6},{轨道交通6号线},39.1025134402376,117.142802233615
135,天拖,{6},{轨道交通6号线},39.1082441723139,117.142831026149
136,天泰路,{6},{轨道交通6号线},39.1673045310649,117.177386217181
137,渌水道,"{6,7}","{轨道交通6号线,轨道交通6号线二期}",39.044512329249,117.263174242717
138,海河教育园区,{7},{轨道交通6号线二期},38.9880002777881,117.315842806773
139,和慧南路,{7},{轨道交通6号线二期},38.9802411430646,117.353961531724
140,南开大学津南校区,{7},{轨道交通6号线二期},38.9818505592308,117.33490810183
141,咸水沽西,{7},{轨道交通6号线二期},38.9794938921836,117.367216221429
142,双港,{7},{轨道交通6号线二期},39.0295428769643,117.27119353345
143,景荷道,{7},{轨道交通6号线二期},39.0184847889654,117.278031124468
144,天津大学北洋园校区,{7},{轨道交通6号线二期},38.9917323685872,117.302175379438
145,景荔道,{7},{轨道交通6号线二期},39.0105740424322,117.283001120318
146,小东庄,{8},{津滨轻轨9号线},39.0631755955654,117.396892689185
147,中山门,{8},{津滨轻轨9号线},39.0999871045798,117.257809631637
148,新立,{8},{津滨轻轨9号线},39.0848234923077,117.329561161814
149,太湖路,{8},{津滨轻轨9号线},39.0188272624349,117.717095925435
150,东兴路,{8},{津滨轻轨9号线},39.102693388231,117.235975510992
151,泰达,{8},{津滨轻轨9号线},39.0246551722894,117.673146631101
152,东海路,{8},{津滨轻轨9号线},39.0396535117464,117.730936280484
153,军粮城,{8},{津滨轻轨9号线},39.0468489956666,117.449548880078
154,十一经路,{8},{津滨轻轨9号线},39.1206150990338,117.217362218883
155,胡家园,{8},{津滨轻轨9号线},39.0397481532939,117.601379222417
