stationid,stationname,lineids,linenames,lat,lng
1,丹水池,{1},{地铁1号线},30.6460868646822,114.324619506797
2,堤角,{1},{地铁1号线},30.6681893037645,114.33280775484
3,头道街,{1},{地铁1号线},30.6201033741933,114.308522202063
4,太平洋,{1},{地铁1号线},30.5766000388276,114.235281007431
5,东吴大道,{1},{地铁1号线},30.6272935020902,114.122955567801
6,三店,{1},{地铁1号线},30.6514717332412,114.11521302561
7,二七路,{1},{地铁1号线},30.6274585013466,114.31337129971
8,五环大道,{1},{地铁1号线},30.6199806425975,114.133157743437
9,舵落口,{1},{地铁1号线},30.6122806901461,114.164064474581
10,竹叶海,{1},{地铁1号线},30.6173651388906,114.158284706121
11,硚口路,{1},{地铁1号线},30.5740364583047,114.245026792805
12,滠口新城,{1},{地铁1号线},30.6867901015269,114.336887024432
13,额头湾,{1},{地铁1号线},30.6209098929643,114.150339311624
14,滕子岗,{1},{地铁1号线},30.6769811993052,114.336035882738
15,利济北路,{1},{地铁1号线},30.5799415057305,114.264819018062
16,汉西一路,{1},{地铁1号线},30.5879259815239,114.213370132914
17,汉口北,{1},{地铁1号线},30.7141791472236,114.32419464516
18,新荣,{1},{地铁1号线},30.6582196634947,114.329092828125
19,友谊路,{1},{地铁1号线},30.5834721131989,114.273129979585
20,古田一路,{1},{地铁1号线},30.6068168823101,114.177610618768
21,古田三路,{1},{地铁1号线},30.5958485195736,114.199197970788
22,古田二路,{1},{地铁1号线},30.5999262290634,114.191135685478
23,古田四路,{1},{地铁1号线},30.5916185675621,114.206317107298
24,徐州新村,{1},{地铁1号线},30.6335952596469,114.31749707185
25,径河,{1},{地铁1号线},30.6615259835076,114.115277916018
26,崇仁路,{1},{地铁1号线},30.5764319634331,114.256652181648
27,循礼门,"{1,2}","{地铁1号线,地铁2号线}",30.5878993896397,114.281106880171
28,宗关,"{1,3}","{地铁1号线,地铁3号线}",30.5827352199883,114.220549090194
