stationid,stationname,lineids,linenames,lat,lng
1,万寿路,{1},{地铁1号线},34.2710045907838,109.008313171077
2,开远门,{1},{地铁1号线},34.2709327700145,108.887936792432
3,后卫寨,{1},{地铁1号线},34.3017646567871,108.80896576637
4,康复路,{1},{地铁1号线},34.2710161418302,108.979671550613
5,三桥,{1},{地铁1号线},34.2917594397995,108.827434052616
6,皂河,{1},{地铁1号线},34.2857373394521,108.847812330852
7,半坡,{1},{地铁1号线},34.2768926326141,109.050763528116
8,劳动路,{1},{地铁1号线},34.2711440400838,108.90537394438
9,北槐,{1},{地铁1号线},34.3187228018417,108.758388156978
10,朝阳门,{1},{地铁1号线},34.2716298505843,108.969109135466
11,浐河,{1},{地铁1号线},34.275428043795,109.039221751966
12,洒金桥,{1},{地铁1号线},34.2713132978901,108.929144650767
13,枣园,{1},{地铁1号线},34.2808683832984,108.85819288388
14,沣河森林公园,{1},{地铁1号线},34.3217209727288,108.74908588976
15,玉祥门,{1},{地铁1号线},34.2712124433834,108.916080527186
16,沣东自贸园,{1},{地铁1号线},34.3085071180166,108.792495487278
17,汉城路,{1},{地铁1号线},34.2746835945829,108.869166092407
18,长乐坡,{1},{地铁1号线},34.2734236355804,109.02563794459
19,上林路,{1},{地铁1号线},34.3146131406578,108.772989523306
20,北大街,"{1,2}","{地铁1号线,地铁2号线}",34.2714931590942,108.942521211148
21,通化门,"{1,3}","{地铁1号线,地铁3号线}",34.2711547569998,108.990544798586
22,五路口,"{1,4}","{地铁1号线,地铁4号线}",34.2712667519074,108.958225043275
23,纺织城,"{1,7}","{地铁1号线,地铁9号线}",34.2804399358959,109.064705490835
24,运动公园,{2},{地铁2号线},34.3539615652663,108.943053360795
25,会展中心,{2},{地铁2号线},34.1997658505043,108.942708842489
26,体育场,{2},{地铁2号线},34.2340099672278,108.942168545872
27,永宁门,{2},{地铁2号线},34.2499374584436,108.942257476852
28,钟楼,{2},{地铁2号线},34.2631556518854,108.942468017177
