stationid,stationname,lineids,linenames,lat,lng
1,医学院,{1},{地铁1号线},34.74870647,113.636365
2,黄河南路,{1},{地铁1号线},34.76381592,113.738313
3,市民中心,{1},{地铁1号线},34.76323831,113.5474253
4,燕庄,{1},{地铁1号线},34.76424115,113.6972458
5,郑州火车站,{1},{地铁1号线},34.74759637,113.649835
6,市体育中心,{1},{地铁1号线},34.77397174,113.8043936
7,农业南路,{1},{地铁1号线},34.76637149,113.749148
8,东风南路,{1},{地铁1号线},34.76550406,113.7609559
9,郑大科技园,{1},{地铁1号线},34.81813701,113.5355987
10,绿城广场,{1},{地铁1号线},34.74871371,113.6273889
11,碧沙岗,{1},{地铁1号线},34.75622,113.6184363
12,郑州大学,{1},{地铁1号线},34.80885304,113.5352296
13,博学路,{1},{地铁1号线},34.76091208,113.7864118
14,西三环,{1},{地铁1号线},34.76107887,113.5823903
15,河南工业大学,{1},{地铁1号线},34.82794081,113.5360429
16,河南大学新区,{1},{地铁1号线},34.82165735,113.806729
17,人民路,{1},{地铁1号线},34.75850525,113.6676327
18,西流湖,{1},{地铁1号线},34.76243744,113.5641852
19,民航路,{1},{地铁1号线},34.76491259,113.70966
20,兰寨,{1},{地铁1号线},34.78465523,113.534888
21,龙子湖,{1},{地铁1号线},34.79379151,113.8044458
22,秦岭路,{1},{地铁1号线},34.75803499,113.5973709
23,梧桐街,{1},{地铁1号线},34.7952358,113.534888
24,文苑北路,{1},{地铁1号线},34.80968559,113.8061535
25,紫荆山,"{1,2}","{地铁1号线,地铁2号线}",34.7631554,113.6761335
26,二七广场,"{1,3}","{地铁1号线,地铁3号线}",34.75369655,113.6589823
27,会展中心,"{1,4}","{地铁1号线,地铁4号线}",34.76805824,113.7195842
28,郑州东站,"{1,5}","{地铁1号线,地铁5号线}",34.76021477,113.7712232
29,五一公园,"{1,5}","{地铁1号线,地铁5号线}",34.75703944,113.607363
30,铁炉,"{1,6}","{地铁1号线,地铁14号线}",34.76905612,113.5347045
31,站马屯,{2},{地铁2号线},34.68555338,113.6762931
32,东风路,{2},{地铁2号线},34.79696592,113.6754935
33,二里岗,{2},{地铁2号线},34.73041315,113.6758419
34,关虎屯,{2},{地铁2号线},34.79002357,113.6755423
35,黄河迎宾馆,{2},{地铁2号线},34.86817971,113.6373193
36,刘庄,{2},{地铁2号线},34.84492918,113.6729063
37,北三环,{2},{地铁2号线},34.80614966,113.6753333
38,南三环,{2},{地铁2号线},34.70005905,113.6761875
39,陇海东路,{2},{地铁2号线},34.73940259,113.675906
40,金达路,{2},{地铁2号线},34.86362997,113.6731903
41,金洼,{2},{地铁2号线},34.86797378,113.6566656
42,惠济区政府,{2},{地铁2号线},34.8670616,113.6069715
43,贾河,{2},{地铁2号线},34.86819409,113.5869904
44,柳林,{2},{地铁2号线},34.82951287,113.6750931
45,毛庄,{2},{地铁2号线},34.86770901,113.6202935
46,花寨,{2},{地铁2号线},34.70699512,113.6761442
47,东大街,"{2,3}","{地铁2号线,地铁3号线}",34.74944845,113.6766284
48,沙门,"{2,4}","{地铁2号线,地铁4号线}",34.82047678,113.6762359
49,黄河路,"{2,5}","{地铁2号线,地铁5号线}",34.77548077,113.6759336
50,南五里堡,"{2,5}","{地铁2号线,地铁5号线}",34.7215651,113.6758516
51,南四环,"{2,7}","{地铁2号线,城郊线}",34.6638574,113.6757721
52,大石桥,{3},{地铁3号线},34.76612991,113.6496234
53,郑州文庙,{3},{地铁3号线},34.74800002,113.6853684
54,凤凰台,{3},{地铁3号线},34.7479683,113.7074429
55,通泰路,{3},{地铁3号线},34.74890176,113.7271356
56,东周,{3},{地铁3号线},34.74748733,113.7521256
57,兴隆铺,{3},{地铁3号线},34.80798417,113.6219319
58,西大街,{3},{地铁3号线},34.75143909,113.6706469
59,人民公园,{3},{地铁3号线},34.75953854,113.6540612
