id,sid1,sid2,Eudistance
0,1,1,0.0
1,1,2,27477.09783515
2,1,3,3453.06360259
3,1,4,16496.33570735
4,1,5,7356.66462845
5,1,6,14522.73315968
6,1,7,29462.67343011
7,1,8,22263.42454429
8,1,9,12150.68767552
9,1,10,4781.82274691
10,1,11,3604.5654245
11,1,12,18698.49929845
12,1,13,19613.46240044
13,1,14,25376.65803987
14,1,15,23204.2342623
15,1,16,17480.96841175
16,1,17,21061.87789744
17,1,18,10288.03203903
18,1,19,13483.81504798
19,1,20,9123.95765623
20,1,21,2375.43975245
21,1,22,11413.54024347
22,1,23,3274.00899207
23,1,24,3234.48498811
24,1,25,2554.74534265
25,1,26,20402.09754822
26,1,27,19256.16251166
27,1,28,1075.30592746
28,1,29,5982.1860883
29,1,30,1871.23245641
30,1,31,4149.81594526
31,1,32,17927.63185381
32,1,33,15520.5071838
33,1,34,12081.9488193
34,1,35,8864.37414159
35,1,36,836.90399414
36,1,37,1636.57637764
37,1,38,19116.73804617
38,1,39,3723.85887221
39,1,40,16914.99960103
40,1,41,7347.34921256
41,1,42,7369.75071231
42,1,43,15915.85374587
43,1,44,9845.72425059
44,1,45,5550.29024588
45,1,46,8757.48573256
46,1,47,6442.47148519
47,1,48,18498.31067278
48,1,49,15783.19616203
49,1,50,6618.36173749
50,1,51,14314.90224008
51,1,52,3184.41950265
52,1,53,2460.30135049
53,1,54,20405.16328569
54,1,55,5273.58017679
55,1,56,8174.77668589
56,1,57,386.14081667
57,1,58,9564.19525657
58,1,59,4531.87091711
59,1,60,14983.88178864
60,1,61,10908.41653575
61,1,62,18966.46386132
62,1,63,5522.55850385
63,1,64,3991.24836922
64,1,65,26202.39398058
65,1,66,8722.29016766
66,1,67,17487.66334084
67,1,68,5843.7499657
68,1,69,9821.42543544
69,1,70,21825.44629708
70,1,71,20534.95201482
71,1,72,4951.06559872
72,1,73,23234.58466039
73,1,74,14322.583498
74,1,75,4670.41639381
75,1,76,4388.29339799
76,1,77,28777.02009943
77,1,78,15580.97003524
78,1,79,27399.07113704
79,1,80,24914.71883978
80,1,81,2680.76597264
81,1,82,7744.84934309
82,1,83,1455.45703391
83,1,84,959.15598704
84,1,85,3742.58719431
85,1,86,5443.11836892
86,1,87,2130.2803305
87,1,88,2003.32554854
88,1,89,15302.74137986
89,1,90,17956.10016032
90,1,91,3467.98005857
91,1,92,13908.34964112
92,1,93,19613.51784568
93,1,94,13774.24660409
94,1,95,20088.3431074
95,1,96,19307.68746534
96,1,97,13031.02809479
97,1,98,8056.63374427
98,1,99,7073.38322028
99,1,100,20114.90641657
100,1,101,20389.26064942
101,1,102,14583.63468135
102,1,103,16852.86559836
103,1,104,9595.89232494
104,1,105,11030.12582454
105,1,106,2657.30859551
106,1,107,4137.40353065
107,1,108,3353.47425691
108,1,109,5909.24751449
109,1,110,9233.82353181
110,1,111,8654.76666301
111,1,112,20155.25849857
112,1,113,17696.99961212
113,1,114,20297.06562867
114,1,115,9758.99017504
115,1,116,10342.77168859
116,1,117,13140.70760913
117,1,118,20760.35484048
118,1,119,20595.33711545
119,1,120,7058.89833704
120,1,121,9577.59299127
121,1,122,19269.53826702
122,1,123,9692.57103889
123,1,124,18330.02003618
124,1,125,18839.77006605
125,1,126,15187.2096803
126,1,127,7663.81517278
127,1,128,19834.97918919
128,1,129,20230.65079752
129,1,130,20474.64266001
130,1,131,10087.64429848
131,1,132,8039.67091973
132,1,133,14227.81841863
133,1,134,6477.12146762
134,1,135,19553.14656619
135,1,136,9847.32408609
136,1,137,13120.67480242
137,1,138,31974.67698153
138,1,139,33955.79403543
139,1,140,6821.55409833
140,1,141,1918.72002631
141,1,142,36328.74801943
142,1,143,17091.08368712
143,1,144,35843.37824365
144,1,145,22304.46694228
145,1,146,15229.78126499
146,1,147,26019.46987811
147,1,148,29400.0502129
148,1,149,28589.88376971
149,1,150,30958.63617864
150,1,151,32969.20087579
151,1,152,34767.11526409
152,1,153,21091.09803727
