lineid,linename,fullnames
1,LINE 1,"{""LINE 1 (PINGGUOYUAN-SIHUIDONG)"",""LINE 1 (SIHUIDONG-PINGGUOYUAN)""}"
2,LINE 2,"{""LINE 2 (XIZHIMEN-XIZHIMEN)"",""LINE 2 (JISHUITAN-JISHUITAN)""}"
3,LINE 4,"{""LINE 4 (TIANGONGYUAN-ANHEQIAO NORTH)"",""LINE 4 (ANHEQIAO NORTH-TIANGONGYUAN)""}"
4,LINE 5,"{""LINE 5 (TIANTONGYUAN NORTH-SONGJIAZHUANG)"",""LINE 5 (SONGJIAZHUANG-TIANTONGYUAN NORTH)""}"
5,LINE 6,"{""LINE 6 (JIN¡¯ANQIAO-LUCHENG)"",""LINE 6 (LUCHENG-JIN¡¯ANQIAO)""}"
6,LINE 7,"{""LINE 7 (BEIJING WEST RAILWAY STATION-HUAZHUANG)"",""LINE 7 (HUAZHUANG-BEIJING WEST RAILWAY STATION)""}"
7,LINE 8S,"{""LINE 8S (YINGHAI-ZHUSHIKOU)"",""LINE 8S (ZHUSHIKOU-YINGHAI)""}"
8,LINE 8,"{""LINE 8 (ZHUXINZHUANG-NATIONAL ART MUSEUM)"",""LINE 8 (NATIONAL ART MUSEUM-ZHUXINZHUANG)""}"
9,LINE 9,"{""LINE 9 (GUOGONGZHUANG-NATIONAL LIBRARY)"",""LINE 9 (NATIONAL LIBRARY-GUOGONGZHUANG)""}"
10,LINE 10,"{""LINE 10 (BAGOU-BAGOU)"",""LINE 10 (CHEDAOGOU-CHEDAOGOU)""}"
11,LINE 13,"{""LINE 13 (DONGZHIMEN-XIZHIMEN)"",""LINE 13 (XIZHIMEN-DONGZHIMEN)""}"
12,LINE 14E,"{""LINE 14E (BEIJING SOUTH RAILWAY STATION-SHANGEZHUANG)"",""LINE 14E (SHANGEZHUANG-BEIJING SOUTH RAILWAY STATION)""}"
13,LINE 14W,"{""LINE 14W (XIJU-ZHANGGUOZHUANG)"",""LINE 14W (ZHANGGUOZHUANG-XIJU)""}"
14,LINE 15,"{""LINE 15 (FENGBO-QINGHUA DONGLU XIKOU)"",""LINE 15 (QINGHUA DONGLU XIKOU-FENGBO)""}"
15,LINE 16,"{""LINE 16 (BEIANHE-XIYUAN)"",""LINE 16 (XIYUAN-BEIANHE)""}"
16,LINE S1,"{""LINE S1 (JIN¡¯ANQIAO-SHICHANG)"",""LINE S1 (SHICHANG-JIN¡¯ANQIAO)""}"
17,BATONG LINE,"{""BATONG LINE (HUAZHUANG-SIHUI)"",""BATONG LINE (SIHUI-HUAZHUANG)""}"
18,CHANGPING LINE,"{""CHANGPING LINE (XI'ERQI-CHANGPING XISHANKOU)"",""CHANGPING LINE (CHANGPING XISHANKOU-XI'ERQI)""}"
19,DAXING AIRPORT EXPRESS,"{""DAXING AIRPORT EXPRESS (CAOQIAO-DAXING AIRPORT)"",""DAXING AIRPORT EXPRESS (DAXING AIRPORT-CAOQIAO)""}"
20,FANGSHAN LINE,"{""FANGSHAN LINE (GUOGONGZHUANG-YANCUNDONG)"",""FANGSHAN LINE (YANCUNDONG-GUOGONGZHUANG)""}"
21,AIRPORT EXPRESS,"{""AIRPORT EXPRESS (DONGZHIMEN-DONGZHIMEN)""}"
22,WESTERN SUBURBAN LINE,"{""WESTERN SUBURBAN LINE (XIANGSHAN-BAGOU)"",""WESTERN SUBURBAN LINE (BAGOU-XIANGSHAN)""}"
23,YANFANG LINE,"{""YANFANG LINE (YANCUNDONG-YANSHAN)"",""YANFANG LINE (YANSHAN-YANCUNDONG)""}"
24,YIZHUANG LINE,"{""YIZHUANG LINE (YIZHUANG RAILWAY STATION-SONGJIAZHUANG)"",""YIZHUANG LINE (SONGJIAZHUANG-YIZHUANG RAILWAY STATION)""}"
