lineid,linename,fullnames
1,LINE 1,"{""LINE 1 (FUJIN ROAD-XINZHUANG)"",""LINE 1 (XINZHUANG-FUJIN ROAD)""}"
2,LINE 2,"{""LINE 2 (PUDONG INTERNATIONAL AIRPORT-EAST XUJING)"",""LINE 2 (EAST XUJING-PUDONG INTERNATIONAL AIRPORT)""}"
3,LINE 3,"{""LINE 3 (SHANGHAI SOUTH RAILWAY STATION-NORTH JIANGYANG ROAD)"",""LINE 3 (NORTH JIANGYANG ROAD-SHANGHAI SOUTH RAILWAY STATION)""}"
4,LINE 4,"{""LINE 4 (OUTER RING(YISHAN ROAD-YISHAN ROAD))"",""LINE 4 (INNER RING(YISHAN ROAD-YISHAN ROAD))""}"
5,LINE 5A,"{""LINE 5A (XINZHUANG-FENGXIAN XINCHENG)"",""LINE 5A (FENGXIAN XINCHENG-XINZHUANG)""}"
6,LINE 5B,"{""LINE 5B (MINHUANG DEVELOPMENT ZONE-DONGCHUAN ROAD)"",""LINE 5B (DONGCHUAN ROAD-MINHUANG DEVELOPMENT ZONE)""}"
7,LINE 6,"{""LINE 6 (ORIENTAL SPORTS CENTER-GANGCHENG ROAD)"",""LINE 6 (GANGCHENG ROAD-ORIENTAL SPORTS CENTER)""}"
8,LINE 7,"{""LINE 7 (MEILAN LAKE-HUAMU ROAD)"",""LINE 7 (HUAMU ROAD-MEILAN LAKE)""}"
9,LINE 8,"{""LINE 8 (SHENDU HIGHWAY-SHIGUANG ROAD)"",""LINE 8 (SHIGUANG ROAD-SHENDU HIGHWAY)""}"
10,LINE 9,"{""LINE 9 (CAOLU-SONGJIANG SOUTH RAILWAY STATION)"",""LINE 9 (SONGJIANG SOUTH RAILWAY STATION-CAOLU)""}"
11,LINE 10A,"{""LINE 10A (XINJIANGWANCHENG-HONGQIAO RAILWAY STATION)"",""LINE 10A (HONGQIAO RAILWAY STATION-XINJIANGWANCHENG)""}"
12,LINE 10B,"{""LINE 10B (XINJIANGWANCHENG-HANGZHONG ROAD)"",""LINE 10B (HANGZHONG ROAD-XINJIANGWANCHENG)""}"
13,LINE 11A,"{""LINE 11A (HUAQIAO-DISNEY RESORT)"",""LINE 11A (DISNEY RESORT-HUAQIAO)""}"
14,LINE 11B,"{""LINE 11B (NORTH JIADING-DISNEY RESORT)"",""LINE 11B (DISNEY RESORT-NORTH JIADING)""}"
15,LINE 12,"{""LINE 12 (JINHAI ROAD-QISHEN ROAD)"",""LINE 12 (QISHEN ROAD-JINHAI ROAD)""}"
16,LINE 13,"{""LINE 13 (ZHANGJIANG ROAD-JINYUN ROAD)"",""LINE 13 (JINYUN ROAD-ZHANGJIANG ROAD)""}"
17,LINE 16,"{""LINE 16 (DISHUI LAKE-LONGYANG ROAD)"",""LINE 16 (LONGYANG ROAD-DISHUI LAKE)""}"
18,LINE 17,"{""LINE 17 (ORIENTAL LAND-HONGQIAO RAILWAY STATION)"",""LINE 17 (HONGQIAO RAILWAY STATION-ORIENTAL LAND)""}"
19,MAGLEV LINE,"{""MAGLEV LINE (LONGYANG ROAD-PUDONG INTERNATIONAL AIRPORT)"",""MAGLEV LINE (PUDONG INTERNATIONAL AIRPORT-LONGYANG ROAD)""}"
20,PUJIANG LINE,"{""PUJIANG LINE (SHENDU HIGHWAY-HUIZHEN ROAD)"",""PUJIANG LINE (HUIZHEN ROAD-SHENDU HIGHWAY)""}"
