stationid,stationname,lineids,linenames,lat,lng
1,MUXIDI,{1},"{""LINE 1""}",39.90614419,116.3313326
2,GUCHENG,{1},"{""LINE 1""}",39.90615316,116.1844542
3,TIAN'ANMENDONG,{1},"{""LINE 1""}",39.90633242,116.3952964
4,TIAN'ANMENXI,{1},"{""LINE 1""}",39.90606169,116.3854103
5,YONG'ANLI,{1},"{""LINE 1""}",39.90717995,116.4443122
6,WANSHOU LU,{1},"{""LINE 1""}",39.9062128,116.2889118
7,BAJIAO YOULEYUAN,{1},"{""LINE 1""}",39.90616324,116.2067171
8,BABAOSHAN,{1},"{""LINE 1""}",39.90620494,116.229788
9,YUQUAN LU,{1},"{""LINE 1""}",39.90623347,116.246972
10,WANGFUJING,{1},"{""LINE 1""}",39.90671491,116.4053829
11,PINGGUOYUAN,{1},"{""LINE 1""}",39.92493926,116.1718633
12,NANLISHI LU,{1},"{""LINE 1""}",39.90589965,116.3464013
13,WUKESONG,{1},"{""LINE 1""}",39.90627676,116.2682454
14,FUXINGMEN,"{1,2}","{""LINE 1"",""LINE 2""}",39.90587914,116.3509955
15,JIANGUOMEN,"{1,2}","{""LINE 1"",""LINE 2""}",39.90722615,116.4292136
16,XIDAN,"{1,3}","{""LINE 1"",""LINE 4""}",39.90584314,116.3692188
17,DONGDAN,"{1,4}","{""LINE 1"",""LINE 5""}",39.90691559,116.4127131
18,MILITARY MUSEUM,"{1,9}","{""LINE 1"",""LINE 9""}",39.90626108,116.3166219
19,GUOMAO,"{1,10}","{""LINE 1"",""LINE 10""}",39.90745797,116.4545695
20,GONGZHUFEN,"{1,10}","{""LINE 1"",""LINE 10""}",39.90643003,116.3041576
21,DAWANG LU,"{1,12}","{""LINE 1"",""LINE 14E""}",39.9075473,116.4708955
22,SIHUIDONG,"{1,17}","{""LINE 1"",""BATONG LINE""}",39.90742897,116.5096417
23,SIHUI,"{1,17}","{""LINE 1"",""BATONG LINE""}",39.90752942,116.4895521
24,ANDINGMEN,{2},"{""LINE 2""}",39.9477211,116.4019685
25,HEPINGMEN,{2},"{""LINE 2""}",39.89873034,116.3779647
26,DONGSI SHITIAO,{2},"{""LINE 2""}",39.93253957,116.4279143
27,JISHUITAN,{2},"{""LINE 2""}",39.94733224,116.3664839
28,FUCHENGMEN,{2},"{""LINE 2""}",39.922394,116.3500586
29,QIANMEN,{2},"{""LINE 2""}",39.89878415,116.3916529
30,ZHANGCHUN JIE,{2},"{""LINE 2""}",39.89808465,116.3571623
31,BEIJING RAILWAY STATION,{2},"{""LINE 2""}",39.90368562,116.4209067
32,XUANWUMEN,"{2,3}","{""LINE 2"",""LINE 4""}",39.89841486,116.3681505
33,XIZHIMEN,"{2,3,11}","{""LINE 2"",""LINE 4"",""LINE 13""}",39.93936227,116.3486802
34,LAMA TEMPLE,"{2,4}","{""LINE 2"",""LINE 5""}",39.94749011,116.4104652
35,CHONGWENMEN,"{2,4}","{""LINE 2"",""LINE 5""}",39.89955765,116.4117659
36,CHAOYANGMEN,"{2,5}","{""LINE 2"",""LINE 6""}",39.92315025,116.427473
37,CHEGONGZHUANG,"{2,5}","{""LINE 2"",""LINE 6""}",39.93123702,116.3491259
38,GULOUDAJIE,"{2,8}","{""LINE 2"",""LINE 8""}",39.94687906,116.3876085
39,DONGZHIMEN,"{2,11,21}","{""LINE 2"",""LINE 13"",""AIRPORT EXPRESS""}",39.94048014,116.4286341
40,ZAOYUAN,{3},"{""LINE 4""}",39.75208593,116.3262217
41,SHENGWU YIYAO JIDI,{3},"{""LINE 4""}",39.68519955,116.3155763
42,HUANGCUN RAILWAY STATION,{3},"{""LINE 4""}",39.72134461,116.3267467
43,QINGYUAN LU,{3},"{""LINE 4""}",39.74136277,116.3262682
44,LINGJING HUTONG,{3},"{""LINE 4""}",39.91468591,116.3675347
45,TIANGONGYUAN,{3},"{""LINE 4""}",39.66902505,116.3138017
46,RENMIN UNIVERSITY,{3},"{""LINE 4""}",39.96566542,116.3153886
47,XINJIEKOU,{3},"{""LINE 4""}",39.9392479,116.3614135
48,GONGYI XIQIAO,{3},"{""LINE 4""}",39.83493607,116.3645872
49,MAJIAPU,{3},"{""LINE 4""}",39.85178825,116.3651602
50,ZHONGGUANCUN,{3},"{""LINE 4""}",39.98277487,116.3103902
51,GAOMIDIANBEI,{3},"{""LINE 4""}",39.77254749,116.3245956
52,TAORANTING,{3},"{""LINE 4""}",39.87715307,116.3681906
53,XIHONGMEN,{3},"{""LINE 4""}",39.78843218,116.3224586
54,HUANGCUN XIDAJIE,{3},"{""LINE 4""}",39.73039294,116.3263848
55,ANHEQIAO NORTH,{3},"{""LINE 4""}",40.01112518,116.2639817
56,XISI,{3},"{""LINE 4""}",39.92280757,116.3670824
57,YUANMINGYUAN PARK,{3},"{""LINE 4""}",39.99816975,116.3033208
58,PEKING UNIVERSITY EAST GATE,{3},"{""LINE 4""}",39.99081185,116.3095938
59,BEIJING ZOO,{3},"{""LINE 4""}",39.93694434,116.3324398
60,XINGONG,{3},"{""LINE 4""}",39.81101692,116.3593883
61,BEIGONGMEN,{3},"{""LINE 4""}",40.00109282,116.2715417
62,YIHEZHUANG,{3},"{""LINE 4""}",39.71117915,116.3129022
63,GAOMIDIANNAN,{3},"{""LINE 4""}",39.76206322,116.3256622
64,WEIGONGCUN,{3},"{""LINE 4""}",39.95637838,116.3171699
65,PING'ANLI,"{3,5}","{""LINE 4"",""LINE 6""}",39.93184395,116.3659062
66,CAISHIKOU,"{3,6}","{""LINE 4"",""LINE 7""}",39.88790793,116.3682505
67,NATIONAL LIBRARY,"{3,9}","{""LINE 4"",""LINE 9""}",39.94181324,116.3191931
68,HAIDIANHUANGZHUANG,"{3,10}","{""LINE 4"",""LINE 10""}",39.97470492,116.3116649
69,JIAOMEN WEST,"{3,10}","{""LINE 4"",""LINE 10""}",39.84452533,116.3649343
70,BEIJING SOUTH RAILWAY STATION,"{3,12}","{""LINE 4"",""LINE 14E""}",39.86355061,116.3729399
71,XIYUAN,"{3,15}","{""LINE 4"",""LINE 16""}",39.9973541,116.2853652
72,LIUJIAYAO,{4},"{""LINE 5""}",39.85615782,116.4158731
73,LISHUIQIAO SOUTH,{4},"{""LINE 5""}",40.04048875,116.4083217
74,TEMPLE OF HEAVEN EAST GATE,{4},"{""LINE 5""}",39.88093622,116.4147024
75,TIANTONGYUAN NORTH,{4},"{""LINE 5""}",40.08191323,116.406713
76,BEIXINQIAO,{4},"{""LINE 5""}",39.93949396,116.4106491
77,TIANTONGYUAN SOUTH,{4},"{""LINE 5""}",40.0650715,116.4064597
78,HEPINGLI BEIJIE,{4},"{""LINE 5""}",39.95715503,116.4123782
79,HEPING XIQIAO,{4},"{""LINE 5""}",39.96689223,116.411782
80,BEIYUANLU NORTH,{4},"{""LINE 5""}",40.02921578,116.4118542
81,ZHANGZIZHONG LU,{4},"{""LINE 5""}",39.93230134,116.4109326
