sid,name,linesid,lines,lat,lng
1,HUAQIANG ROAD,{1},"{""LINE 1""}",22.54312835,114.0800812
2,HOURUI,{1},"{""LINE 1""}",22.63170074,113.8304801
3,GUOMAO,{1},"{""LINE 1""}",22.5424072,114.1136413
4,TAOYUAN,{1},"{""LINE 1""}",22.53537452,113.9199332
5,ZHUZILIN,{1},"{""LINE 1""}",22.53616747,114.0089586
6,SHENZHEN UNIVERSITY,{1},"{""LINE 1""}",22.54122314,113.9389137
7,AIRPORT EAST,{1},"{""LINE 1""}",22.64998941,113.8176758
8,PINGZHOU,{1},"{""LINE 1""}",22.57200351,113.865868
9,BAISHIZHOU,{1},"{""LINE 1""}",22.5426192,113.9619593
10,XIANGMIHU,{1},"{""LINE 1""}",22.54157835,114.0336248
11,LUOHU,{1},"{""LINE 1""}",22.53429012,114.1138056
12,LIYUMEN,{1},"{""LINE 1""}",22.53515192,113.8985111
13,XIN'AN,{1},"{""LINE 1""}",22.55075892,113.8895799
14,GUSHU,{1},"{""LINE 1""}",22.60373009,113.8421118
15,XIXIANG,{1},"{""LINE 1""}",22.57854257,113.8577169
16,DAXIN,{1},"{""LINE 1""}",22.53524804,113.9103559
17,BAO'AN STADIUM,{1},"{""LINE 1""}",22.56324314,113.8764608
18,OCT,{1},"{""LINE 1""}",22.53638025,113.9803323
19,HI-TECH PARK,{1},"{""LINE 1""}",22.54328747,113.9489978
20,QIAOCHENG EAST,{1},"{""LINE 1""}",22.53523165,113.9917931
21,GRAND THEATER,"{1,2}","{""LINE 1"",""LINE 2""}",22.54437884,114.103135
22,WINDOW OF THE WORLD,"{1,2}","{""LINE 2"",""LINE 1""}",22.53976588,113.9691844
23,SHOPPING PARK,"{1,3}","{""LINE 3"",""LINE 1""}",22.5371624,114.0489082
24,LAOJIE,"{1,3}","{""LINE 1"",""LINE 3""}",22.54722513,114.1112151
25,CONVENTION & EXHIBITION CENTER,"{1,4}","{""LINE 4"",""LINE 1""}",22.53738851,114.0560266
26,BAO'AN CENTER,"{1,5}","{""LINE 1"",""LINE 5""}",22.55756696,113.8823411
27,QIANHAIWAN,"{1,5,11}","{""LINE 5"",""LINE 1"",""LINE 11""}",22.53958533,113.8929229
28,SCIENCE MUSEUM,"{1,6}","{""LINE 1"",""LINE 6""}",22.54269473,114.0905244
29,CHEGONGMIAO,"{1,7,9,11}","{""LINE 9"",""LINE 11"",""LINE 7"",""LINE 1""}",22.53873688,114.0221186
