id,city,line_o,station_o,line_d,station_d,line1,line2,line3,line4,line5,line6,transfer1,transfer2,transfer3,transfer4,transfer5,HH1,MM1,SS1,HH2,MM2,SS2,d_time,nroutes,choice,age
1,bj,LINE 4,ZHONGGUANCUN,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 4,,,,,,,,,,,17,5,45,17,10,48,303,1,1,2
2,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 10,HAIDIANHUANGZHUANG,LINE 4,,,,,,,,,,,11,53,7,12,4,22,675,1,1,2
3,bj,LINE 4,HAIDIANHUANGZHUANG,LINE 2,XIZHIMEN,LINE 4,,,,,,,,,,,14,17,15,14,34,7,1012,1,1,2
4,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,ZHONGGUANCUN,LINE 9,LINE 4,,,,,NATIONAL LIBRARY,,,,,10,1,52,10,28,46,1614,2,3,2
5,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 1 (BATONG LINE),YUQUAN LU,LINE 9,LINE 1 (BATONG LINE),,,,,MILITARY MUSEUM,,,,,8,46,36,9,14,17,1661,2,3,2
6,bj,LINE 4,YIHEZHUANG,LINE 4,XIZHIMEN,LINE 4,,,,,,,,,,,14,47,39,15,50,6,3747,1,3,2
7,bj,LINE 4,XIZHIMEN,LINE 4,YIHEZHUANG,LINE 4,,,,,,,,,,,9,3,16,9,58,57,3341,1,3,2
8,bj,LINE 4,HUANGCUN RAILWAY STATION,LINE 4,XIZHIMEN,LINE 4,,,,,,,,,,,14,52,51,15,48,48,3357,1,2,2
9,bj,LINE 4,XIZHIMEN,LINE 4,XIHONGMEN,LINE 4,,,,,,,,,,,8,51,15,9,35,57,2682,1,2,2
10,bj,LINE 13,HUILONGGUAN,LINE 13,QINGHE RAILWAY STATION,LINE 13,,,,,,,,,,,19,35,4,19,47,52,768,1,2,3
